                       	strncasecmp	simple_strncasecmp	stupid_strncasecmp
Length   64, alignment  3/ 6:	759.281	815.422	896
Length   64, alignment  6/ 3:	759.266	814.625	890.297
Length   64, alignment  6/ 3:	759.266	814.625	890.297
Length  128, alignment  4/ 0:	1445.31	1553.55	1608.06
Length  128, alignment  4/ 0:	1454.27	1565.75	1617.84
Length  128, alignment  4/ 0:	1464.02	1576.33	1627.61
Length  128, alignment  0/ 4:	1443.69	1554.36	1608.89
Length  128, alignment  0/ 4:	1455.08	1564.94	1618.66
Length  128, alignment  0/ 4:	1463.22	1575.52	1628.41
Length  128, alignment  4/ 0:	1452.64	1560.88	1611.33
Length  128, alignment  4/ 0:	1452.62	1561.69	1610.52
Length  128, alignment  0/ 4:	1452.64	1562.5	1617.83
Length  128, alignment  0/ 4:	1452.64	1562.5	1615.39
Length  128, alignment  4/ 0:	1452.64	1562.5	1616.2
Length  128, alignment  4/ 0:	1451.81	1562.5	1616.2
Length  128, alignment  0/ 4:	1452.64	1561.69	1615.39
Length  128, alignment  0/ 4:	1451.83	1563.31	1614.59
Length  256, alignment  5/ 2:	2832.03	3046.88	3013.5
Length  256, alignment  5/ 2:	2842.61	3058.27	3024.89
Length  256, alignment  5/ 2:	2850.75	3068.86	3033.86
Length  256, alignment  2/ 5:	2832.03	3046.88	3013.52
Length  256, alignment  2/ 5:	2842.61	3059.08	3023.28
Length  256, alignment  2/ 5:	2849.94	3068.03	3034.66
Length  256, alignment  5/ 2:	2839.36	3055.02	3022.45
Length  256, alignment  5/ 2:	2839.36	3057.45	3021.66
Length  256, alignment  2/ 5:	2840.17	3055.81	3022.45
Length  256, alignment  2/ 5:	2839.36	3055.83	3022.47
Length  256, alignment  5/ 2:	2840.17	3055	3022.45
Length  256, alignment  5/ 2:	2840.17	3055.83	3023.27
Length  256, alignment  2/ 5:	2840.17	3245.44	3026.53
Length  256, alignment  2/ 5:	2839.36	3055.83	3021.66
Length  512, alignment  6/ 4:	5605.47	6035.16	5835.78
Length  512, alignment  6/ 4:	5616.05	6047.36	5846.36
Length  512, alignment  6/ 4:	5625	6057.12	5856.12
Length  512, alignment  4/ 6:	5604.64	6035.16	5836.59
Length  512, alignment  4/ 6:	5617.67	6046.55	5846.36
Length  512, alignment  4/ 6:	5624.19	6057.12	5857.75
Length  512, alignment  6/ 4:	5613.61	6044.11	5844.73
Length  512, alignment  6/ 4:	5614.42	6221.52	5845.55
Length  512, alignment  4/ 6:	5614.42	6042.48	5845.53
Length  512, alignment  4/ 6:	5613.59	6043.3	5844.72
Length  512, alignment  6/ 4:	5614.42	6042.48	5843.92
Length  512, alignment  6/ 4:	5614.42	6043.28	5842.28
Length  512, alignment  4/ 6:	5614.42	6043.3	5844.72
Length  512, alignment  4/ 6:	5613.61	6043.28	5845.55
Length 1024, alignment  7/ 6:	11152.3	12008.5	11647.1
Length 1024, alignment  7/ 6:	11162.9	12019	11484.4
Length 1024, alignment  7/ 6:	11171.9	12029.6	11494.1
Length 1024, alignment  6/ 7:	11153.2	12008.5	11475.4
Length 1024, alignment  6/ 7:	11162.1	12018.2	11483.6
Length 1024, alignment  6/ 7:	11309.4	12031.2	11495.8
Length 1024, alignment  7/ 6:	11160.5	12016.6	11482.7
Length 1024, alignment  7/ 6:	11171.9	12018.2	11482.8
Length 1024, alignment  6/ 7:	11161.3	12015.8	11481.9
Length 1024, alignment  6/ 7:	11160.5	12207.8	11482.8
Length 1024, alignment  7/ 6:	11161.3	12016.6	11481.1
Length 1024, alignment  7/ 6:	11160.5	12015.8	11481.9
Length 1024, alignment  6/ 7:	11160.5	12016.6	11481.1
Length 1024, alignment  6/ 7:	11161.3	12185.1	11483.5
