                       	bcopy	simple_bcopy
Length  272, alignment 32/ 0:	165.203	739.75
Length  272, alignment  0/17:	236.812	733.234
Length  272, alignment 17/ 0:	226.234	731.609
Length  288, alignment  0/32:	158.688	771.484
Length  288, alignment 32/ 0:	148.109	780.422
Length  288, alignment  0/18:	252.281	779.625
Length  288, alignment 18/ 0:	226.234	782.875
Length  304, alignment  0/32:	170.078	820.312
Length  304, alignment 32/ 0:	173.344	815.422
Length  304, alignment  0/19:	254.719	812.172
Length  304, alignment 19/ 0:	244.141	812.188
Length  320, alignment  0/32:	171.703	851.234
Length  320, alignment 32/ 0:	156.25	853.672
Length  320, alignment  0/20:	179.047	861.016
Length  320, alignment 20/ 0:	164.391	859.375
Length  336, alignment  0/32:	187.172	902.5
Length  336, alignment 32/ 0:	180.672	900.891
Length  336, alignment  0/21:	277.5	899.25
Length  336, alignment 21/ 0:	245.766	894.359
Length  352, alignment  0/32:	168.469	931.797
Length  352, alignment 32/ 0:	164.391	933.438
Length  352, alignment  0/22:	301.922	932.625
Length  352, alignment 22/ 0:	243.328	932.625
Length  368, alignment  0/32:	186.359	970.875
Length  368, alignment 32/ 0:	198.578	973.312
Length  368, alignment  0/23:	305.172	972.5
Length  368, alignment 23/ 0:	266.109	972.5
Length  384, alignment  0/32:	189.609	1014
Length  384, alignment 32/ 0:	173.344	1014
Length  384, alignment  0/24:	187.172	1012.38
Length  384, alignment 24/ 0:	172.516	1013.98
Length  400, alignment  0/32:	204.266	1052.25
Length  400, alignment 32/ 0:	197.75	1053.05
Length  400, alignment  0/25:	310.875	1052.25
Length  400, alignment 25/ 0:	306.812	1218.27
Length  416, alignment  0/32:	193.688	1092.12
Length  416, alignment 32/ 0:	190.422	1092.94
Length  416, alignment  0/26:	320.641	1091.3
Length  416, alignment 26/ 0:	303.547	1101.89
Length  432, alignment  0/32:	213.219	1140.95
Length  432, alignment 32/ 0:	214.031	1140.94
Length  432, alignment  0/27:	329.578	1139.33
Length  432, alignment 27/ 0:	324.703	1140.95
Length  448, alignment  0/32:	201.812	1181.64
Length  448, alignment 32/ 0:	198.562	1173.5
Length  448, alignment  0/28:	228.672	1171.88
Length  448, alignment 28/ 0:	209.141	1174.31
Length  464, alignment  0/32:	221.359	1213.39
Length  464, alignment 32/ 0:	222.984	1219.88
Length  464, alignment  0/29:	355.641	1219.89
Length  464, alignment 29/ 0:	314.125	1220.7
Length  480, alignment  0/32:	209.953	1259.77
Length  480, alignment 32/ 0:	205.078	1261.39
Length  480, alignment  0/30:	392.25	1251.62
Length  480, alignment 30/ 0:	310.875	1254.08
Length  496, alignment  0/32:	230.312	1299.64
Length  496, alignment 32/ 0:	232.75	1300.45
Length  496, alignment  0/31:	376.781	1299.64
Length  496, alignment 31/ 0:	333.656	1294.75
Length 1024, alignment  0/ 0:	354	2621.25
Length 1024, alignment 32/ 0:	355.625	2621.27
Length 1024, alignment  0/32:	359.703	2619.62
Length 1024, alignment 32/32:	346.688	2620.44
Length 1056, alignment  0/ 0:	354.812	2707.53
Length 1056, alignment 33/ 0:	638.016	2700.19
Length 1056, alignment  0/33:	670.562	2700.19
Length 1056, alignment 33/33:	481.766	2701
Length 1088, alignment  0/ 0:	372.719	2781.58
Length 1088, alignment 34/ 0:	662.422	2781.58
Length 1088, alignment  0/34:	678.719	2780.77
Length 1088, alignment 34/34:	483.406	2787.27
Length 1120, alignment  0/ 0:	373.531	2868.64
Length 1120, alignment 35/ 0:	668.938	2867.83
Length 1120, alignment  0/35:	697.438	2859.7
Length 1120, alignment 35/35:	502.125	2860.52
Length 1152, alignment  0/ 0:	388.188	2942.7
Length 1152, alignment 36/ 0:	410.969	2941.89
Length 1152, alignment  0/36:	432.141	2947.58
Length 1152, alignment 36/36:	467.938	2948.41
Length 1184, alignment  0/ 0:	388.188	3029.8
Length 1184, alignment 37/ 0:	643.703	3020.84
Length 1184, alignment  0/37:	766.594	3019.2
Length 1184, alignment 37/37:	431.328	3029.78
Length 1216, alignment  0/ 0:	397.125	3107.91
Length 1216, alignment 38/ 0:	668.125	3101.41
Length 1216, alignment  0/38:	775.547	3118.48
Length 1216, alignment 38/38:	439.453	3109.53
Length 1248, alignment  0/ 0:	406.078	3180.34
Length 1248, alignment 39/ 0:	680.328	3188.47
Length 1248, alignment  0/39:	796.719	3187.66
Length 1248, alignment 39/39:	448.406	3181.16
Length 1280, alignment  0/ 0:	414.234	3266.61
Length 1280, alignment 40/ 0:	414.219	3267.42
Length 1280, alignment  0/40:	433.75	3267.41
Length 1280, alignment 40/40:	423.172	3261.72
Length 1312, alignment  0/ 0:	423.172	3347.17
Length 1312, alignment 41/ 0:	772.312	3342.28
Length 1312, alignment  0/41:	795.906	3347.17
Length 1312, alignment 41/41:	590.828	3339.84
Length 1344, alignment  0/ 0:	430.5	3428.56
Length 1344, alignment 42/ 0:	786.953	3428.55
Length 1344, alignment  0/42:	822.75	3425.3
Length 1344, alignment 42/42:	602.219	3421.22
Length 1376, alignment  0/ 0:	438.641	3507.48
Length 1376, alignment 43/ 0:	804.844	3500.98
Length 1376, alignment  0/43:	830.891	3506.67
Length 1376, alignment 43/43:	624.188	3507.48
Length 1408, alignment  0/ 0:	447.594	3587.23
Length 1408, alignment 44/ 0:	492.359	3580.73
Length 1408, alignment  0/44:	527.344	3588.06
Length 1408, alignment 44/44:	596.516	3588.06
Length 1440, alignment  0/ 0:	454.109	3667.81
Length 1440, alignment 45/ 0:	782.062	3670.25
Length 1440, alignment  0/45:	906.578	3665.36
Length 1440, alignment 45/45:	498.047	3667.81
Length 1472, alignment  0/ 0:	472	3749.19
Length 1472, alignment 46/ 0:	777.984	3903.81
Length 1472, alignment  0/46:	917.969	3747.56
Length 1472, alignment 46/46:	504.547	3750
Length 1504, alignment  0/ 0:	473.625	3827.31
Length 1504, alignment 47/ 0:	791.828	3827.31
Length 1504, alignment  0/47:	937.5	3827.31
Length 1504, alignment 47/47:	522.469	3828.12
Length 1536, alignment  0/ 0:	480.953	3907.06
Length 1536, alignment 48/ 0:	480.141	3909.52
Length 1536, alignment  0/48:	492.344	3907.06
Length 1536, alignment 48/48:	479.328	3907.88
Length 1568, alignment  0/ 0:	488.281	3990.06
Length 1568, alignment 49/ 0:	911.469	3988.45
Length 1568, alignment  0/49:	936.688	3986
Length 1568, alignment 49/49:	657.562	3990.06
Length 1600, alignment  0/ 0:	497.234	4068.2
Length 1600, alignment 50/ 0:	921.219	4068.19
Length 1600, alignment  0/50:	956.219	4068.19
Length 1600, alignment 50/50:	656.734	4068.19
Length 1632, alignment  0/ 0:	505.359	4160.97
Length 1632, alignment 51/ 0:	938.312	4147.95
Length 1632, alignment  0/51:	963.531	4152.84
Length 1632, alignment 51/51:	668.125	4147.95
Length 1664, alignment  0/ 0:	513.516	4229.33
Length 1664, alignment 52/ 0:	558.266	4226.89
Length 1664, alignment  0/52:	601.406	4226.89
Length 1664, alignment 52/52:	648.594	4227.7
Length 1696, alignment  0/ 0:	528.156	4309.91
Length 1696, alignment 53/ 0:	897.625	4584.95
Length 1696, alignment  0/53:	1045.75	4306.64
Length 1696, alignment 53/53:	565.594	4309.08
Length 1728, alignment  0/ 0:	529.781	4388.03
Length 1728, alignment 54/ 0:	902.516	4388.02
Length 1728, alignment  0/54:	1055.5	4392.89
Length 1728, alignment 54/54:	574.547	4395.34
Length 1760, alignment  0/ 0:	538.734	4475.91
Length 1760, alignment 55/ 0:	911.469	4474.28
Length 1760, alignment  0/55:	1083.98	4466.95
Length 1760, alignment 55/55:	590.016	4467.78
Length 1792, alignment  0/ 0:	555.828	4548.34
Length 1792, alignment 56/ 0:	555.016	4560.55
Length 1792, alignment  0/56:	581.875	4546.7
Length 1792, alignment 56/56:	549.312	4548.33
Length 1824, alignment  0/ 0:	554.203	4628.91
Length 1824, alignment 57/ 0:	1044.92	4636.23
Length 1824, alignment  0/57:	1076.67	4628.09
Length 1824, alignment 57/57:	786.141	4627.28
Length 1856, alignment  0/ 0:	563.141	4707.84
Length 1856, alignment 58/ 0:	1053.06	4715.98
Length 1856, alignment  0/58:	1088.05	4706.22
Length 1856, alignment 58/58:	787.75	4716.8
Length 1888, alignment  0/ 0:	572.109	4794.11
Length 1888, alignment 59/ 0:	1077.47	4786.78
Length 1888, alignment  0/59:	1106.77	4959.31
Length 1888, alignment 59/59:	801.594	4787.59
Length 1920, alignment  0/ 0:	587.578	4869.8
Length 1920, alignment 60/ 0:	631.516	4874.67
Length 1920, alignment  0/60:	680.328	4875.5
