                    	wcsrchr	simple_wcsrchr
Length    8, alignment in bytes  0:	75.6875	56.9688
Length    9, alignment in bytes  0:	78.9375	60.2188
Length    9, alignment in bytes  0:	78.125	59.4062
Length   10, alignment in bytes  0:	80.5625	63.4688
Length   10, alignment in bytes  0:	81.375	62.6719
Length   11, alignment in bytes  0:	85.4531	78.9375
Length   11, alignment in bytes  0:	85.4531	78.9375
Length   12, alignment in bytes  0:	89.5156	83
Length   12, alignment in bytes  0:	87.8906	83.0156
Length   13, alignment in bytes  0:	91.9531	87.8906
Length   13, alignment in bytes  0:	91.1406	87.8906
Length   14, alignment in bytes  0:	96.8438	90.3438
Length   14, alignment in bytes  0:	95.2188	89.5156
Length   15, alignment in bytes  0:	106.609	93.5938
Length   15, alignment in bytes  0:	100.109	92.7812
Length   16, alignment in bytes  0:	102.531	96.8438
Length   16, alignment in bytes  0:	102.547	96.8438
Length   17, alignment in bytes  0:	104.984	99.2812
Length   17, alignment in bytes  0:	105.781	100.094
Length   18, alignment in bytes  0:	108.234	104.156
Length   18, alignment in bytes  0:	108.234	104.156
Length   19, alignment in bytes  0:	112.312	106.609
Length   19, alignment in bytes  0:	112.297	106.609
Length   20, alignment in bytes  0:	115.547	110.672
Length   20, alignment in bytes  0:	125.328	110.688
Length   21, alignment in bytes  0:	118.812	113.125
Length   21, alignment in bytes  0:	127.766	113.125
Length   22, alignment in bytes  0:	122.062	116.375
Length   22, alignment in bytes  0:	122.062	116.375
Length   23, alignment in bytes  0:	125.328	120.453
Length   23, alignment in bytes  0:	126.141	120.438
Length   24, alignment in bytes  0:	130.203	123.703
Length   24, alignment in bytes  0:	128.578	131.016
Length   25, alignment in bytes  0:	132.656	126.141
Length   25, alignment in bytes  0:	133.469	135.094
Length   26, alignment in bytes  0:	135.906	130.219
Length   26, alignment in bytes  0:	135.078	139.156
Length   27, alignment in bytes  0:	139.156	133.469
Length   27, alignment in bytes  0:	139.984	141.609
Length   28, alignment in bytes  0:	141.594	135.906
Length   28, alignment in bytes  0:	142.422	138.359
Length   29, alignment in bytes  0:	144.859	139.969
Length   29, alignment in bytes  0:	145.672	139.969
Length   30, alignment in bytes  0:	148.922	143.234
Length   30, alignment in bytes  0:	150.547	144.047
Length   31, alignment in bytes  0:	153	146.484
Length   31, alignment in bytes  0:	160.328	147.297
Length   32, alignment in bytes  0:	155.438	151.375
Length   32, alignment in bytes  0:	163.578	150.547
