                       	memmove	simple_memmove
Length 1088, alignment 34/ 0:	422.359	2770.98
Length 1088, alignment  0/34:	465.484	2775.88
Length 1088, alignment 34/34:	370.281	2770.19
Length 1120, alignment  0/ 0:	358.078	2851.56
Length 1120, alignment 35/ 0:	437	2850.75
Length 1120, alignment  0/35:	463.062	2855.62
Length 1120, alignment 35/35:	378.422	2851.56
Length 1152, alignment  0/ 0:	341.797	2939.45
Length 1152, alignment 36/ 0:	356.438	2939.45
Length 1152, alignment  0/36:	393.062	2942.7
Length 1152, alignment 36/36:	372.719	2938.64
Length 1184, alignment  0/ 0:	363.766	3019.2
Length 1184, alignment 37/ 0:	435.391	3011.89
Length 1184, alignment  0/37:	474.453	3013.5
Length 1184, alignment 37/37:	393.891	3009.44
Length 1216, alignment  0/ 0:	355.641	3098.95
Length 1216, alignment 38/ 0:	439.453	3099.78
Length 1216, alignment  0/38:	478.516	3099.77
Length 1216, alignment 38/38:	391.453	3091.64
Length 1248, alignment  0/ 0:	386.547	3170.58
Length 1248, alignment 39/ 0:	453.281	3180.34
Length 1248, alignment  0/39:	483.391	3181.14
Length 1248, alignment 39/39:	407.719	3171.39
Length 1280, alignment  0/ 0:	377.609	3251.14
Length 1280, alignment 40/ 0:	371.922	3257.66
Length 1280, alignment  0/40:	407.703	3260.91
Length 1280, alignment 40/40:	410.156	3251.95
Length 1312, alignment  0/ 0:	393.875	3339.84
Length 1312, alignment 41/ 0:	489.906	3337.41
Length 1312, alignment  0/41:	526.531	3334.16
Length 1312, alignment 41/41:	423.172	3339.84
Length 1344, alignment  0/ 0:	385.734	3419.59
Length 1344, alignment 42/ 0:	502.109	3575.84
Length 1344, alignment  0/42:	534.672	3421.23
Length 1344, alignment 42/42:	432.125	3411.45
Length 1376, alignment  0/ 0:	409.344	3497.72
Length 1376, alignment 43/ 0:	507.812	3491.2
Length 1376, alignment  0/43:	538.734	3502.61
Length 1376, alignment 43/43:	437.828	3497.72
Length 1408, alignment  0/ 0:	409.344	3579.09
Length 1408, alignment 44/ 0:	420.734	3579.92
Length 1408, alignment  0/44:	467.938	3580.73
