                       	memmem	simple_memmem
String >DNAI<7R2=7KS, offset 80494:	291627	520365
String FZ52=G=Y4?WC[9E, offset 612:	3150.22	4155.27
String 1, offset 163838:	309629	824375
String GW0J=5640F1GEP, offset 14142:	59638.7	91710.6
String MUGIB[<>Y2U83D[F8TIG2I?7C20, offset 85162:	358111	550543
String @OKI?1[IIPRCZ9XH, offset 284:	1394.05	1951.5
String 1Z0, offset 5676:	10867.5	28582.4
String [S=SVINNH1?WXSEW3O6XF38?P2QARRU, offset 15579:	65964.4	105003
String R<58, offset 303:	1416.83	1929.53
String 1>QG79OA55IUOD<9?1?K, offset 138567:	262537	697218
String 804S@ERR@FE@L, offset 58219:	110986	293490
String Z8, offset 20884:	87535.8	135109
String 1, offset 163838:	309862	824555
String G=9, offset 192:	975.75	1381.02
String JKZE5FVUNVTA5QCV2QL3NU[Y>N, offset 144816:	674307	939508
String 4, offset 163838:	309606	823964
String K37<GE0P=EAC[U5, offset 97404:	453813	634976
String DC9Y7?ZDXW@AP6V8Z, offset 140:	1050.62	948.891
String 9, offset 163838:	309963	823955
String OY2BY64YX@1BIE=5C39G5, offset 160474:	673654	1.04675e+06
String OPW6Y>4LK1HIAM<E>NH=EVQEFI>, offset 19406:	81957.2	123481
String DINR@WHLWAHNFB@[C9M=PXI, offset 24871:	104965	170843
String G8K>X?PEKV[6CRO99[21, offset 454:	2482.09	2941.08
String D[KZIJIJH2D>RIMM@YH=[6, offset 1808:	8094.89	11727.7
String 14C7=EOB, offset 940:	2062.19	4851.89
String 2[E, offset 574:	1273.59	2998.05
String 6INY>8, offset 7757:	14862.5	39065.8
String [=G=YZ?WC[I4HZJN6UXH, offset 615:	3161.62	3863.94
String U8, offset 6173:	25730	38386.2
String 7, offset 163838:	309565	824662
String PNFE4DVFXQJT5@H11JHSI1E, offset 258:	1702.47	1930.33
String <2W>6@B6=G46>X?PEK, offset 445:	2260.75	2749.03
String TCQD[@HFDBMY4, offset 72378:	304325	476067
String 8[HVW1PFG2JTRCRZO4DW@8>5CIMQW4<, offset 779:	2203.77	4037.27
String 3RA, offset 8304:	15925.3	41777.3
String A47>GY1I4DXOVJGB, offset 742:	3497.72	5255.53
String 8GLCX61[TL9BZZKEP, offset 69186:	131365	348542
String BZ2EK41JVQCK1FZ@[=G=Y3, offset 599:	3286.14	3987.62
String Z=AN@F@0M>DCM<TLX?ZP, offset 8626:	40161.1	58190.1
String 2, offset 163838:	309552	824313
String E2LB<8MA2F1CU7WQ78GF2=3568I9<, offset 61492:	288919	398968
String 5P2SRJVBB>QHK?HVZU, offset 10139:	19641.1	51009.9
String VF132TD@66OJ59IW, offset 264:	1270.34	2077.64
String BJ[[BYCH4HC@5PV?K, offset 14115:	59768.9	95501.3
String RVPTP91, offset 6050:	25732.4	38308.1
String BGTUX9<EK, offset 39392:	166273	253807
String A<C21Y@0=0XOVJGB564, offset 742:	3570.14	5067.55
String 2VV5OSY<[S=3DV@>EV[P2MNA3P[Z, offset 4974:	10145.7	25100.9
String 1, offset 163838:	309461	824176
String O66UN8MTMFO8H51=, offset 23070:	97270.5	146900
String 8, offset 163838:	309555	824035
String 0, offset 163838:	309633	824132
String G6@I68XOVJG7@H8UZDH, offset 746:	4154.45	4901.53
String Q=5U<L>KJIZRN9Q[HSFNCXZWBFCEFR, offset 49414:	231136	320930
String 0=, offset 22184:	42018.2	111751
String 9, offset 163838:	309492	824065
String W3ZA7D7, offset 1036:	5162.77	7234.7
String 1, offset 163838:	309469	824168
String 5, offset 163838:	309465	824350
String 1, offset 163838:	309584	824001
String Y69, offset 734:	3171.39	4300.95
String DV2Y, offset 2219:	10458.2	16130.4
String 1, offset 163838:	309946	824465
String 5, offset 163838:	309665	824151
String @W8IFS>C2, offset 9461:	39628.1	61611.3
String 4, offset 163838:	309611	824726
String 5, offset 163838:	309492	824108
String S?0RL9VV[[E2DIC985I, offset 83309:	389070	541816
String TYSEMAR=P4QF>FHEJ, offset 502:	2569.17	3455.41
String 4, offset 163838:	309473	824148
String CRZ6M12@<>8CIM4W?<I>, offset 792:	3837.08	5215.66
String 9, offset 163838:	309809	824399
String U@X9J[INNVKQ@WDHV[RI=?HNHXX, offset 34436:	161178	218829
String 1, offset 163838:	309503	824074
String 2, offset 163838:	309561	823905
String Q>2LQ7W@XORPOK>L@ZKN2EY>6ED, offset 230:	1449.38	1523.44
String 6?, offset 48291:	92065.4	243808
String 4, offset 163838:	309868	824151
String O4>X4IZ8KA5C8GY@, offset 733:	4003.91	4807.94
String YGWUXR@8UN852584FR@, offset 29462:	124263	194278
String XVCCE5F2[83, offset 9058:	42153.3	58033
String 33EFUQ=5K, offset 574:	1413.58	3002.11
String R5P=ZP0@TV01B?5VVEFZ, offset 342:	1979.17	2082.52
String FJD56T<UI7P7[JSVG, offset 205:	1395.67	1424.97
String 4T=RANRRYZARJ=, offset 676:	1691.89	3524.56
String 854CC9N6<UJ=7V, offset 7692:	14904.8	38722.3
String ME3LEHR<1M4EM8, offset 5742:	24436.8	37552.1
String ELA<4?ULO4N@YE@1[O=O?MR[?SHN<K, offset 80550:	376278	523138
String 4U1N2UHUG<>RVPTM9, offset 550:	1544.59	2876.78
String 2, offset 163838:	309488	824194
String 7, offset 163838:	309509	824250
String O1619TL5=XYN1RSST2B3GZ>QR6DT, offset 80209:	377813	516624
String CGN?=493J7J2@LY8F@0N0MP6WN, offset 116862:	491147	758606
String 8, offset 224:	514.328	1201.98
String NPD4UN>SFGDK=0?<ZJ?DVHSF, offset 527:	3134.77	3636.08
String 32O4M5DMX9V6VU[@AHVV, offset 1370:	3133.95	7027.19
String 8, offset 163838:	309465	824026
String VH9, offset 20121:	85046.4	125808
String 15NFPXDS8[?UAT63TN, offset 2599:	5419.09	13366.7
String 6S>Z76MIC5DV6<<7GFYLVSHM1DYT5F, offset 2795:	6031.89	14152.8
String U8TF5CASV=<?[9COSBJF, offset 4206:	19618.3	26366.4
String 6, offset 163838:	309766	824210
String 1=0Q2R7AJWRH, offset 1783:	3758.95	9073.91
String 7, offset 163838:	309572	824207
String C9UQK, offset 47355:	220571	327671
String OI?0, offset 176:	961.094	1166.19
String <@B8>U3I?64C, offset 2061:	8732.09	12665.2
String Q0190[>POIH8L<1EBNXB, offset 7135:	33214.5	49582.5
String 5207[ET?LR3U, offset 62456:	118951	314703
String 2IBY, offset 1156:	2386.88	5922.05
String [I9JI, offset 20468:	85926.9	129049
String M2>, offset 58448:	246121	368126
String 3, offset 163838:	309605	824017
String 866AF<8SHMP1KT<K2TDY245GXL, offset 5446:	10977.4	27457.7
String HUC1SUL??P, offset 323:	1824.55	2456.06
String 2, offset 163838:	309530	824193
String 0, offset 163838:	309575	823988
String 67O<R3IZIHG2K7O1286=E?2UUW8M, offset 18944:	36446.1	95493.2
String ZMGKGT4>RWQGFE?NQONSQWKRV@P, offset 1226:	5713.7	8371.58
String DP@7UYI??58?XXEPVL11E9Y?[TJ>, offset 11287:	53000.5	77077.6
String MLUC2Z, offset 4490:	19490.6	29061.7
String X4OHELMPLRF0G3A2IDGEQIP, offset 1308:	6026.2	9060.06
String OMDW5<>FC, offset 795:	3637.7	5674.64
String 3, offset 47414:	90355.6	239228
String KMIXUWUSZUQ8KOPX[A<JP>, offset 5937:	28024.1	39091.8
String CUK=HXG0I1H?E[, offset 1337:	5358.89	8797.19
String ZS0ATMOPN=?SBT?WAEAKILFU>JT1[, offset 2906:	8422.86	19489.8
String 1SB2Z=59Y, offset 64965:	123402	327245
String 6C7RP=0C7[D8Y6H9UMKG[4W58@?02, offset 60564:	115704	305297
String 1, offset 163838:	309560	824023
