                       	strtok	oldstrtok
Length   40/20, alignment  3/15, found:	499.672	1076.66
Length   40/20, alignment  3/15, fail:	499.672	1077.47
Length   40/20, alignment  9/ 0, found:	500.484	1069.34
Length   40/20, alignment  9/ 0, fail:	509.438	1070.14
Length   40/20, alignment  9/ 3, found:	508.625	1069.33
Length   40/20, alignment  9/ 3, fail:	498.859	1079.92
Length   40/20, alignment  9/ 9, found:	499.672	1078.3
Length   40/20, alignment  9/ 9, fail:	499.688	1077.47
Length   40/20, alignment  9/15, found:	499.688	1081.53
Length   40/20, alignment  9/15, fail:	507.812	1069.34
Length   40/20, alignment 15/ 0, found:	509.453	1073.41
Length   40/20, alignment 15/ 0, fail:	500.484	1070.14
Length   40/20, alignment 15/ 3, found:	499.672	1078.28
Length   40/20, alignment 15/ 3, fail:	499.672	1076.66
Length   40/20, alignment 15/ 9, found:	501.312	1078.3
Length   40/20, alignment 15/ 9, fail:	500.5	1070.16
Length   40/20, alignment 15/15, found:	509.438	1065.27
Length   40/20, alignment 15/15, fail:	509.438	1069.34
Length   60/20, alignment  0/ 0, found:	550.141	1126.3
Length   60/20, alignment  0/ 0, fail:	550.125	1127.92
Length   60/20, alignment  0/ 3, found:	549.328	1127.12
Length   60/20, alignment  0/ 3, fail:	558.266	1119.8
Length   60/20, alignment  0/ 9, found:	559.094	1118.97
Length   60/20, alignment  0/ 9, fail:	549.312	1128.75
Length   60/20, alignment  0/15, found:	550.141	1129.55
Length   60/20, alignment  0/15, fail:	550.141	1120.59
Length   60/20, alignment  3/ 0, found:	556.641	1119.78
Length   60/20, alignment  3/ 0, fail:	549.312	1127.12
Length   60/20, alignment  3/ 3, found:	549.312	1127.12
Length   60/20, alignment  3/ 3, fail:	549.312	1128.75
Length   60/20, alignment  3/ 9, found:	549.328	1118.17
Length   60/20, alignment  3/ 9, fail:	557.453	1118.98
Length   60/20, alignment  3/15, found:	549.312	1127.12
Length   60/20, alignment  3/15, fail:	549.328	1128.73
Length   60/20, alignment  9/ 0, found:	548.5	1123.86
Length   60/20, alignment  9/ 0, fail:	557.453	1121.42
Length   60/20, alignment  9/ 3, found:	557.453	1119.8
Length   60/20, alignment  9/ 3, fail:	550.125	1127.12
Length   60/20, alignment  9/ 9, found:	549.312	1128.75
Length   60/20, alignment  9/ 9, fail:	549.312	1127.92
Length   60/20, alignment  9/15, found:	557.453	1119.8
Length   60/20, alignment  9/15, fail:	559.078	1114.92
Length   60/20, alignment 15/ 0, found:	550.141	1133.62
Length   60/20, alignment 15/ 0, fail:	549.328	1125.5
Length   60/20, alignment 15/ 3, found:	548.5	1113.28
Length   60/20, alignment 15/ 3, fail:	557.453	1114.09
Length   60/20, alignment 15/ 9, found:	549.312	1114.92
Length   60/20, alignment 15/ 9, fail:	549.328	1127.11
Length   60/20, alignment 15/15, found:	550.141	1126.3
Length   60/20, alignment 15/15, fail:	549.312	1119.8
Length   80/20, alignment  0/ 0, found:	604.656	1166.17
Length   80/20, alignment  0/ 0, fail:	594.062	1173.5
Length   80/20, alignment  0/ 3, found:	595.703	1170.25
Length   80/20, alignment  0/ 3, fail:	594.891	1166.19
Length   80/20, alignment  0/ 9, found:	817.875	1167.81
Length   80/20, alignment  0/ 9, fail:	596.516	1173.5
Length   80/20, alignment  0/15, found:	594.078	1175.12
Length   80/20, alignment  0/15, fail:	602.203	1158.84
Length   80/20, alignment  3/ 0, found:	594.891	1172.69
Length   80/20, alignment  3/ 0, fail:	593.25	1174.31
Length   80/20, alignment  3/ 3, found:	594.891	1165.38
Length   80/20, alignment  3/ 3, fail:	603.844	1166.19
Length   80/20, alignment  3/ 9, found:	595.703	1175.14
Length   80/20, alignment  3/ 9, fail:	594.891	1173.5
Length   80/20, alignment  3/15, found:	595.703	1165.36
Length   80/20, alignment  3/15, fail:	603.844	1165.36
Length   80/20, alignment  9/ 0, found:	595.703	1172.69
Length   80/20, alignment  9/ 0, fail:	595.703	1174.31
Length   80/20, alignment  9/ 3, found:	603.828	1166.19
Length   80/20, alignment  9/ 3, fail:	595.703	1172.69
Length   80/20, alignment  9/ 9, found:	595.703	1173.5
Length   80/20, alignment  9/ 9, fail:	594.891	1166.17
Length   80/20, alignment  9/15, found:	603.031	1166.17
Length   80/20, alignment  9/15, fail:	595.703	1174.31
Length   80/20, alignment 15/ 0, found:	594.891	1173.5
Length   80/20, alignment 15/ 0, fail:	594.891	1164.55
Length   80/20, alignment 15/ 3, found:	603.016	1164.55
Length   80/20, alignment 15/ 3, fail:	594.078	1173.5
Length   80/20, alignment 15/ 9, found:	594.891	1174.31
Length   80/20, alignment 15/ 9, fail:	594.891	1166.17
Length   80/20, alignment 15/15, found:	603.844	1165.36
Length   80/20, alignment 15/15, fail:	594.891	1174.31
Length  100/20, alignment  0/ 0, found:	640.453	1220.7
Length  100/20, alignment  0/ 0, fail:	647.797	1211.75
Length  100/20, alignment  0/ 3, found:	642.891	1219.89
Length  100/20, alignment  0/ 3, fail:	640.453	1220.7
Length  100/20, alignment  0/ 9, found:	649.406	1211.75
Length  100/20, alignment  0/ 9, fail:	648.594	1220.7
Length  100/20, alignment  0/15, found:	640.469	1219.89
Length  100/20, alignment  0/15, fail:	641.281	1211.75
Length  100/20, alignment  3/ 0, found:	649.422	1210.94
Length  100/20, alignment  3/ 0, fail:	642.094	1219.08
Length  100/20, alignment  3/ 3, found:	641.281	1222.33
Length  100/20, alignment  3/ 3, fail:	660	1210.94
Length  100/20, alignment  3/ 9, found:	641.281	1219.08
Length  100/20, alignment  3/ 9, fail:	642.094	1219.89
Length  100/20, alignment  3/15, found:	648.609	1211.75
Length  100/20, alignment  3/15, fail:	640.469	1218.27
Length  100/20, alignment  9/ 0, found:	641.266	1219.89
Length  100/20, alignment  9/ 0, fail:	650.234	1205.23
Length  100/20, alignment  9/ 3, found:	651.047	1214.19
Length  100/20, alignment  9/ 3, fail:	642.094	1218.27
Length  100/20, alignment  9/ 9, found:	641.281	1210.12
Length  100/20, alignment  9/ 9, fail:	650.234	1212.56
Length  100/20, alignment  9/15, found:	641.266	1220.7
Length  100/20, alignment  9/15, fail:	641.266	1219.89
Length  100/20, alignment 15/ 0, found:	651.031	1212.56
Length  100/20, alignment 15/ 0, fail:	640.469	1219.08
Length  100/20, alignment 15/ 3, found:	642.891	1218.25
Length  100/20, alignment 15/ 3, fail:	650.219	1210.94
Length  100/20, alignment 15/ 9, found:	640.469	1218.25
Length  100/20, alignment 15/ 9, fail:	640.469	1215.02
Length  100/20, alignment 15/15, found:	651.047	1211.75
Length  100/20, alignment 15/15, fail:	642.094	1218.27
Length  120/20, alignment  0/ 0, found:	686.844	1264.64
Length  120/20, alignment  0/ 0, fail:	694.172	1256.52
Length  120/20, alignment  0/ 3, found:	882.969	1267.91
Length  120/20, alignment  0/ 3, fail:	687.672	1259.77
Length  120/20, alignment  0/ 9, found:	697.422	1251.62
Length  120/20, alignment  0/ 9, fail:	686.859	1260.58
Length  120/20, alignment  0/15, found:	687.672	1252.44
Length  120/20, alignment  0/15, fail:	694.984	1259.77
Length  120/20, alignment  3/ 0, found:	686.844	1261.39
Length  120/20, alignment  3/ 0, fail:	694.984	1250.81
Length  120/20, alignment  3/ 3, found:	687.656	1259.77
Length  120/20, alignment  3/ 3, fail:	686.844	1261.39
Length  120/20, alignment  3/ 9, found:	695	1251.62
Length  120/20, alignment  3/ 9, fail:	686.031	1260.58
Length  120/20, alignment  3/15, found:	686.844	1260.59
Length  120/20, alignment  3/15, fail:	694.984	1251.64
Length  120/20, alignment  9/ 0, found:	686.844	1261.39
Length  120/20, alignment  9/ 0, fail:	687.656	1260.58
Length  120/20, alignment  9/ 3, found:	694.984	1252.44
Length  120/20, alignment  9/ 3, fail:	686.844	1259.77
Length  120/20, alignment  9/ 9, found:	686.844	1257.31
Length  120/20, alignment  9/ 9, fail:	694.172	1262.2
Length  120/20, alignment  9/15, found:	686.859	1263.84
Length  120/20, alignment  9/15, fail:	694.172	1252.44
Length  120/20, alignment 15/ 0, found:	686.844	1258.95
Length  120/20, alignment 15/ 0, fail:	686.031	1265.47
Length  120/20, alignment 15/ 3, found:	699.047	1276.86
Length  120/20, alignment 15/ 3, fail:	686.844	1263.02
Length  120/20, alignment 15/ 9, found:	686.031	1256.52
Length  120/20, alignment 15/ 9, fail:	695.797	1266.27
Length  120/20, alignment 15/15, found:	687.672	1267.09
Length  120/20, alignment 15/15, fail:	694.984	1258.12
Length  140/20, alignment  0/ 0, found:	732.422	1311.05
Length  140/20, alignment  0/ 0, fail:	732.422	1313.48
Length  140/20, alignment  0/ 3, found:	740.562	1311.03
Length  140/20, alignment  0/ 3, fail:	733.234	1310.22
Length  140/20, alignment  0/ 9, found:	739.75	1302.09
Length  140/20, alignment  0/ 9, fail:	732.422	1311.84
Length  140/20, alignment  0/15, found:	734.062	1302.89
Length  140/20, alignment  0/15, fail:	743	1312.67
Length  140/20, alignment  3/ 0, found:	733.234	1311.03
Length  140/20, alignment  3/ 0, fail:	740.562	1302.09
Length  140/20, alignment  3/ 3, found:	733.234	1310.22
Length  140/20, alignment  3/ 3, fail:	733.234	1303.72
Length  140/20, alignment  3/ 9, found:	741.375	1311.03
Length  140/20, alignment  3/ 9, fail:	732.422	1311.03
Length  140/20, alignment  3/15, found:	742.188	1302.89
Length  140/20, alignment  3/15, fail:	731.609	1311.03
Length  140/20, alignment  9/ 0, found:	732.422	1303.72
Length  140/20, alignment  9/ 0, fail:	741.375	1311.03
Length  140/20, alignment  9/ 3, found:	732.422	1313.47
Length  140/20, alignment  9/ 3, fail:	743.828	1302.91
Length  140/20, alignment  9/ 9, found:	732.422	1310.22
Length  140/20, alignment  9/ 9, fail:	740.562	1302.08
Length  140/20, alignment  9/15, found:	731.609	1311.84
Length  140/20, alignment  9/15, fail:	732.422	1309.41
Length  140/20, alignment 15/ 0, found:	742.188	1312.66
Length  140/20, alignment 15/ 0, fail:	734.047	1310.23
Length  140/20, alignment 15/ 3, found:	741.359	1302.08
Length  140/20, alignment 15/ 3, fail:	731.609	1486
Length  140/20, alignment 15/ 9, found:	734.047	1297.2
Length  140/20, alignment 15/ 9, fail:	734.047	1306.97
Length  140/20, alignment 15/15, found:	732.422	1311.05
Length  140/20, alignment 15/15, fail:	741.375	1302.08
Length  160/20, alignment  0/ 0, found:	778.797	1357.42
Length  160/20, alignment  0/ 0, fail:	786.953	1347.66
Length  160/20, alignment  0/ 3, found:	778.797	1356.61
Length  160/20, alignment  0/ 3, fail:	777.984	1349.28
Length  160/20, alignment  0/ 9, found:	778.812	1355.8
Length  160/20, alignment  0/ 9, fail:	777.984	1356.59
Length  160/20, alignment  0/15, found:	788.578	1357.42
Length  160/20, alignment  0/15, fail:	778.812	1354.98
Length  160/20, alignment  3/ 0, found:	799.156	1358.23
Length  160/20, alignment  3/ 0, fail:	779.625	1355.8
Length  160/20, alignment  3/ 3, found:	786.953	1349.28
Length  160/20, alignment  3/ 3, fail:	778.812	1356.61
Length  160/20, alignment  3/ 9, found:	786.953	1350.11
Length  160/20, alignment  3/ 9, fail:	779.625	1358.23
Length  160/20, alignment  3/15, found:	778.812	1349.28
Length  160/20, alignment  3/15, fail:	778.812	1357.42
Length  160/20, alignment  9/ 0, found:	778.812	1356.59
Length  160/20, alignment  9/ 0, fail:	786.125	1356.61
Length  160/20, alignment  9/ 3, found:	778.812	1357.42
Length  160/20, alignment  9/ 3, fail:	786.141	1358.23
Length  160/20, alignment  9/ 9, found:	778.812	1357.42
Length  160/20, alignment  9/ 9, fail:	786.953	1350.09
Length  160/20, alignment  9/15, found:	778	1355.8
Length  160/20, alignment  9/15, fail:	786.141	1348.47
Length  160/20, alignment 15/ 0, found:	777.172	1358.23
Length  160/20, alignment 15/ 0, fail:	778.812	1350.11
Length  160/20, alignment 15/ 3, found:	786.938	1356.61
Length  160/20, alignment 15/ 3, fail:	777.984	1357.42
Length  160/20, alignment 15/ 9, found:	786.125	1355.8
Length  160/20, alignment 15/ 9, fail:	778	1356.61
Length  160/20, alignment 15/15, found:	786.938	1349.28
Length  160/20, alignment 15/15, fail:	779.625	1357.42
Length  180/20, alignment  0/ 0, found:	830.891	1395.67
Length  180/20, alignment  0/ 0, fail:	824.391	1403
Length  180/20, alignment  0/ 3, found:	832.516	1395.67
Length  180/20, alignment  0/ 3, fail:	823.578	1401.38
Length  180/20, alignment  0/ 9, found:	836.594	1402.17
Length  180/20, alignment  0/ 9, fail:	824.391	1401.38
Length  180/20, alignment  0/15, found:	832.516	1402.19
Length  180/20, alignment  0/15, fail:	825.203	1402.17
Length  180/20, alignment  3/ 0, found:	832.516	1403
Length  180/20, alignment  3/ 0, fail:	823.562	1405.44
Length  180/20, alignment  3/ 3, found:	832.516	1402.19
Length  180/20, alignment  3/ 3, fail:	823.578	1403.81
Length  180/20, alignment  3/ 9, found:	831.703	1403
Length  180/20, alignment  3/ 9, fail:	824.391	1402.19
Length  180/20, alignment  3/15, found:	830.891	1404.62
Length  180/20, alignment  3/15, fail:	823.578	1403
Length  180/20, alignment  9/ 0, found:	833.328	1402.19
Length  180/20, alignment  9/ 0, fail:	823.578	1403
Length  180/20, alignment  9/ 3, found:	1009.12	1403.81
Length  180/20, alignment  9/ 3, fail:	825.203	1413.56
Length  180/20, alignment  9/ 9, found:	834.141	1401.38
Length  180/20, alignment  9/ 9, fail:	825.203	1404.61
Length  180/20, alignment  9/15, found:	832.516	1403
Length  180/20, alignment  9/15, fail:	824.391	1398.94
Length  180/20, alignment 15/ 0, found:	833.328	1399.73
Length  180/20, alignment 15/ 0, fail:	824.375	1399.73
Length  180/20, alignment 15/ 3, found:	831.703	1398.12
Length  180/20, alignment 15/ 3, fail:	823.562	1398.11
Length  180/20, alignment 15/ 9, found:	832.516	1397.3
Length  180/20, alignment 15/ 9, fail:	825.188	1398.11
Length  180/20, alignment 15/15, found:	833.328	1398.92
Length  180/20, alignment 15/15, fail:	823.578	1399.75
Length  200/20, alignment  0/ 0, found:	877.266	1443.69
Length  200/20, alignment  0/ 0, fail:	869.141	1441.25
Length  200/20, alignment  0/ 3, found:	870.766	1448.58
Length  200/20, alignment  0/ 3, fail:	878.094	1435.55
Length  200/20, alignment  0/ 9, found:	869.141	1444.5
Length  200/20, alignment  0/ 9, fail:	879.719	1444.5
Length  200/20, alignment  0/15, found:	870.766	1450.19
Length  200/20, alignment  0/15, fail:	878.094	1443.69
Length  200/20, alignment  3/ 0, found:	870.766	1443.69
Length  200/20, alignment  3/ 0, fail:	878.094	1443.69
Length  200/20, alignment  3/ 3, found:	869.953	1434.73
Length  200/20, alignment  3/ 3, fail:	869.141	1444.5
Length  200/20, alignment  3/ 9, found:	877.281	1434.73
Length  200/20, alignment  3/ 9, fail:	869.953	1443.69
Length  200/20, alignment  3/15, found:	879.719	1441.25
Length  200/20, alignment  3/15, fail:	870.766	1448.58
Length  200/20, alignment  9/ 0, found:	878.094	1449.38
Length  200/20, alignment  9/ 0, fail:	870.781	1447.77
Length  200/20, alignment  9/ 3, found:	878.094	1459.14
Length  200/20, alignment  9/ 3, fail:	869.953	1451.02
Length  200/20, alignment  9/ 9, found:	879.734	1449.39
Length  200/20, alignment  9/ 9, fail:	869.953	1440.42
Length  200/20, alignment  9/15, found:	869.969	1448.58
Length  200/20, alignment  9/15, fail:	878.906	1441.23
Length  200/20, alignment 15/ 0, found:	870.766	1450.2
Length  200/20, alignment 15/ 0, fail:	877.281	1450.19
Length  200/20, alignment 15/ 3, found:	870.766	1447.75
Length  200/20, alignment 15/ 3, fail:	876.469	1447.75
Length  200/20, alignment 15/ 9, found:	869.953	1450.19
Length  200/20, alignment 15/ 9, fail:	888.672	1450.2
Length  200/20, alignment 15/15, found:	869.141	1440.44
Length  200/20, alignment 15/15, fail:	870.766	1447.75
Length  220/20, alignment  0/ 0, found:	923.656	1486
Length  220/20, alignment  0/ 0, fail:	916.344	1490.89
Length  220/20, alignment  0/ 3, found:	922.031	1496.59
Length  220/20, alignment  0/ 3, fail:	915.516	1494.95
Length  220/20, alignment  0/ 9, found:	923.656	1494.14
Length  220/20, alignment  0/ 9, fail:	924.484	1485.19
Length  220/20, alignment  0/15, found:	917.156	1490.06
Length  220/20, alignment  0/15, fail:	923.672	1496.58
Length  220/20, alignment  3/ 0, found:	915.531	1486.81
Length  220/20, alignment  3/ 0, fail:	915.531	1494.14
Length  220/20, alignment  3/ 3, found:	923.672	1493.33
Length  220/20, alignment  3/ 3, fail:	916.328	1495.78
Length  220/20, alignment  3/ 9, found:	925.297	1494.95
Length  220/20, alignment  3/ 9, fail:	915.531	1485.19
Length  220/20, alignment  3/15, found:	917.156	1495.77
Length  220/20, alignment  3/15, fail:	924.484	1493.33
Length  220/20, alignment  9/ 0, found:	916.328	1490.08
Length  220/20, alignment  9/ 0, fail:	924.469	1490.89
Length  220/20, alignment  9/ 3, found:	924.469	1481.12
Length  220/20, alignment  9/ 3, fail:	917.156	1490.89
Length  220/20, alignment  9/ 9, found:	924.484	1490.08
Length  220/20, alignment  9/ 9, fail:	915.531	1494.95
Length  220/20, alignment  9/15, found:	924.469	1497.41
Length  220/20, alignment  9/15, fail:	924.484	1487.62
Length  220/20, alignment 15/ 0, found:	917.156	1494.95
Length  220/20, alignment 15/ 0, fail:	923.656	1494.14
Length  220/20, alignment 15/ 3, found:	917.156	1494.95
Length  220/20, alignment 15/ 3, fail:	925.297	1496.59
Length  220/20, alignment 15/ 9, found:	924.484	1486.81
Length  220/20, alignment 15/ 9, fail:	915.531	1494.95
Length  220/20, alignment 15/15, found:	924.484	1493.33
Length  220/20, alignment 15/15, fail:	916.344	1494.95
Length  240/20, alignment  0/ 0, found:	970.047	1541.34
Length  240/20, alignment  0/ 0, fail:	970.859	1532.39
Length  240/20, alignment  0/ 3, found:	961.094	1542.16
Length  240/20, alignment  0/ 3, fail:	970.047	1540.53
Length  240/20, alignment  0/ 9, found:	970.859	1533.2
Length  240/20, alignment  0/ 9, fail:	961.109	1542.16
Length  240/20, alignment  0/15, found:	970.062	1538.91
Length  240/20, alignment  0/15, fail:	961.109	1531.58
Length  240/20, alignment  3/ 0, found:	962.734	1541.34
Length  240/20, alignment  3/ 0, fail:	971.688	1540.53
Length  240/20, alignment  3/ 3, found:	962.734	1542.16
Length  240/20, alignment  3/ 3, fail:	961.906	1539.72
Length  240/20, alignment  3/ 9, found:	970.047	1538.89
Length  240/20, alignment  3/ 9, fail:	961.109	1540.53
Length  240/20, alignment  3/15, found:	970.047	1540.53
Length  240/20, alignment  3/15, fail:	970.859	1531.58
Length  240/20, alignment  9/ 0, found:	961.922	1535.64
Length  240/20, alignment  9/ 0, fail:	970.875	1534.83
Length  240/20, alignment  9/ 3, found:	970.859	1532.39
Length  240/20, alignment  9/ 3, fail:	961.922	1539.72
Length  240/20, alignment  9/ 9, found:	970.859	1539.7
Length  240/20, alignment  9/ 9, fail:	961.094	1532.39
Length  240/20, alignment  9/15, found:	961.922	1540.53
Length  240/20, alignment  9/15, fail:	1145.83	1542.16
Length  240/20, alignment 15/ 0, found:	970.859	1532.39
Length  240/20, alignment 15/ 0, fail:	961.922	1535.66
Length  240/20, alignment 15/ 3, found:	970.047	1540.52
Length  240/20, alignment 15/ 3, fail:	962.734	1533.2
Length  240/20, alignment 15/ 9, found:	961.922	1534.83
Length  240/20, alignment 15/ 9, fail:	969.234	1541.34
Length  240/20, alignment 15/15, found:	961.094	1532.38
Length  240/20, alignment 15/15, fail:	962.734	1540.53
Length  260/20, alignment  0/ 0, found:	1014.81	1585.3
Length  260/20, alignment  0/ 0, fail:	1007.48	1577.97
Length  260/20, alignment  0/ 3, found:	1007.48	1587.72
Length  260/20, alignment  0/ 3, fail:	1014.81	1586.91
Length  260/20, alignment  0/ 9, found:	1016.44	1572.27
Length  260/20, alignment  0/ 9, fail:	1007.48	1584.47
Length  260/20, alignment  0/15, found:	1016.44	1585.28
Length  260/20, alignment  0/15, fail:	1016.44	1586.91
Length  260/20, alignment  3/ 0, found:	1008.31	1586.11
Length  260/20, alignment  3/ 0, fail:	1015.62	1586.91
Length  260/20, alignment  3/ 3, found:	1014.81	1586.91
Length  260/20, alignment  3/ 3, fail:	1009.12	1590.98
Length  260/20, alignment  3/ 9, found:	1008.31	1586.92
Length  260/20, alignment  3/ 9, fail:	1016.44	1586.91
Length  260/20, alignment  3/15, found:	1007.48	1577.95
Length  260/20, alignment  3/15, fail:	1007.48	1586.09
Length  260/20, alignment  9/ 0, found:	1016.44	1586.11
Length  260/20, alignment  9/ 0, fail:	1015.62	1577.97
Length  260/20, alignment  9/ 3, found:	1007.5	1587.72
Length  260/20, alignment  9/ 3, fail:	1016.44	1581.22
Length  260/20, alignment  9/ 9, found:	1016.44	1579.58
Length  260/20, alignment  9/ 9, fail:	1007.48	1582.84
Length  260/20, alignment  9/15, found:	1007.48	1581.22
Length  260/20, alignment  9/15, fail:	1014.81	1582.03
Length  260/20, alignment 15/ 0, found:	1018.06	1573.08
Length  260/20, alignment 15/ 0, fail:	1007.48	1586.09
Length  260/20, alignment 15/ 3, found:	1016.44	1586.92
Length  260/20, alignment 15/ 3, fail:	1016.44	1585.3
Length  260/20, alignment 15/ 9, found:	1006.67	1586.92
Length  260/20, alignment 15/ 9, fail:	1014.81	1585.28
Length  260/20, alignment 15/15, found:	1016.44	1586.92
Length  260/20, alignment 15/15, fail:	1007.48	1578.78
Length  280/20, alignment  0/ 0, found:	1053.06	1631.67
Length  280/20, alignment  0/ 0, fail:	1061.19	1632.48
Length  280/20, alignment  0/ 3, found:	1062.83	1633.31
Length  280/20, alignment  0/ 3, fail:	1053.88	1632.48
Length  280/20, alignment  0/ 9, found:	1053.06	1630.86
Length  280/20, alignment  0/ 9, fail:	1062.02	1634.11
Length  280/20, alignment  0/15, found:	1062.83	1634.92
Length  280/20, alignment  0/15, fail:	1054.69	1623.53
Length  280/20, alignment  3/ 0, found:	1053.06	1632.48
Length  280/20, alignment  3/ 0, fail:	1061.2	1631.67
Length  280/20, alignment  3/ 3, found:	1062.83	1631.67
Length  280/20, alignment  3/ 3, fail:	1053.88	1624.36
Length  280/20, alignment  3/ 9, found:	1053.88	1632.48
Length  280/20, alignment  3/ 9, fail:	1061.19	1630.05
Length  280/20, alignment  3/15, found:	1062.02	1631.67
Length  280/20, alignment  3/15, fail:	1053.88	1634.12
Length  280/20, alignment  9/ 0, found:	1054.69	1643.88
Length  280/20, alignment  9/ 0, fail:	1063.64	1632.5
Length  280/20, alignment  9/ 3, found:	1062	1630.86
Length  280/20, alignment  9/ 3, fail:	1053.86	1632.48
Length  280/20, alignment  9/ 9, found:	1053.06	1631.67
Length  280/20, alignment  9/ 9, fail:	1061.19	1631.67
Length  280/20, alignment  9/15, found:	1062.02	1632.48
Length  280/20, alignment  9/15, fail:	1053.05	1631.67
Length  280/20, alignment 15/ 0, found:	1053.06	1633.3
Length  280/20, alignment 15/ 0, fail:	1061.19	1631.67
Length  280/20, alignment 15/ 3, found:	1063.62	1623.53
Length  280/20, alignment 15/ 3, fail:	1053.06	1631.67
Length  280/20, alignment 15/ 9, found:	1062.02	1630.05
Length  280/20, alignment 15/ 9, fail:	1061.2	1630.86
Length  280/20, alignment 15/15, found:	1061.19	1622.72
Length  280/20, alignment 15/15, fail:	1053.88	1630.86
Length  300/20, alignment  0/ 0, found:	1106.77	1676.42
Length  300/20, alignment  0/ 0, fail:	1107.58	1678.06
Length  300/20, alignment  0/ 3, found:	1108.39	1677.25
Length  300/20, alignment  0/ 3, fail:	1099.45	1678.88
Length  300/20, alignment  0/ 9, found:	1098.64	1678.88
Length  300/20, alignment  0/ 9, fail:	1105.95	1676.44
Length  300/20, alignment  0/15, found:	1108.39	1677.25
Length  300/20, alignment  0/15, fail:	1106.78	1680.5
Length  300/20, alignment  3/ 0, found:	1099.44	1676.44
Length  300/20, alignment  3/ 0, fail:	1099.45	1677.23
Length  300/20, alignment  3/ 3, found:	1106.77	1676.44
Length  300/20, alignment  3/ 3, fail:	1107.59	1677.25
Length  300/20, alignment  3/ 9, found:	1099.44	1670.73
Length  300/20, alignment  3/ 9, fail:	1098.62	1678.06
Length  300/20, alignment  3/15, found:	1107.59	1678.06
Length  300/20, alignment  3/15, fail:	1107.58	1676.44
Length  300/20, alignment  9/ 0, found:	1105.95	1678.86
Length  300/20, alignment  9/ 0, fail:	1099.45	1669.11
Length  300/20, alignment  9/ 3, found:	1100.25	1677.25
Length  300/20, alignment  9/ 3, fail:	1107.59	1845.7
Length  300/20, alignment  9/ 9, found:	1110.03	1683.77
Length  300/20, alignment  9/ 9, fail:	1110.02	1679.69
Length  300/20, alignment  9/15, found:	1109.2	1664.22
Length  300/20, alignment  9/15, fail:	1098.62	1677.25
Length  300/20, alignment 15/ 0, found:	1097.81	1671.55
Length  300/20, alignment 15/ 0, fail:	1107.59	1674.8
Length  300/20, alignment 15/ 3, found:	1105.95	1675.61
Length  300/20, alignment 15/ 3, fail:	1098.62	1668.3
Length  300/20, alignment 15/ 9, found:	1099.44	1678.05
Length  300/20, alignment 15/ 9, fail:	1108.39	1678.06
Length  300/20, alignment 15/15, found:	1109.2	1678.05
Length  300/20, alignment 15/15, fail:	1107.58	1678.88
Length   42/21, alignment  0/ 0, found:	503.734	1089.67
Length   42/21, alignment  0/ 0, fail:	502.109	1088.06
Length   42/21, alignment  0/ 3, found:	513.516	1079.92
Length   42/21, alignment  0/ 3, fail:	510.25	1083.17
Length   42/21, alignment  0/ 9, found:	502.109	1087.23
Length   42/21, alignment  0/ 9, fail:	502.922	1087.23
Length   42/21, alignment  0/15, found:	503.734	1091.31
Length   42/21, alignment  0/15, fail:	503.75	1091.31
Length   42/21, alignment  3/ 0, found:	522.469	1094.56
Length   42/21, alignment  3/ 0, fail:	524.078	1092.12
Length   42/21, alignment  3/ 3, found:	515.141	1102.7
Length   42/21, alignment  3/ 3, fail:	515.938	1102.7
Length   42/21, alignment  3/ 9, found:	515.141	1101.08
Length   42/21, alignment  3/ 9, fail:	515.953	1101.89
Length   42/21, alignment  3/15, found:	524.078	1092.12
Length   42/21, alignment  3/15, fail:	524.906	1093.75
Length   42/21, alignment  9/ 0, found:	503.734	1088.86
Length   42/21, alignment  9/ 0, fail:	502.938	1088.05
Length   42/21, alignment  9/ 3, found:	503.734	1090.48
Length   42/21, alignment  9/ 3, fail:	503.734	1087.25
Length   42/21, alignment  9/ 9, found:	512.703	1079.91
Length   42/21, alignment  9/ 9, fail:	511.078	1079.92
Length   42/21, alignment  9/15, found:	502.922	1089.69
Length   42/21, alignment  9/15, fail:	502.938	1090.5
Length   42/21, alignment 15/ 0, found:	515.953	1101.08
Length   42/21, alignment 15/ 0, fail:	515.141	1101.06
Length   42/21, alignment 15/ 3, found:	523.281	1087.23
Length   42/21, alignment 15/ 3, fail:	524.094	1092.94
Length   42/21, alignment 15/ 9, found:	515.953	1101.08
Length   42/21, alignment 15/ 9, fail:	515.125	1100.27
Length   42/21, alignment 15/15, found:	515.938	1101.89
Length   42/21, alignment 15/15, fail:	515.141	1092.94
Length   63/21, alignment  0/ 0, found:	560.703	1128.75
Length   63/21, alignment  0/ 0, fail:	552.562	1137.69
Length   63/21, alignment  0/ 3, found:	552.578	1137.7
Length   63/21, alignment  0/ 3, fail:	553.391	1138.52
Length   63/21, alignment  0/ 9, found:	560.703	1128.73
Length   63/21, alignment  0/ 9, fail:	572.922	1128.73
Length   63/21, alignment  0/15, found:	552.562	1137.7
Length   63/21, alignment  0/15, fail:	552.562	1138.5
Length   63/21, alignment  3/ 0, found:	561.531	1147.47
Length   63/21, alignment  3/ 0, fail:	570.469	1137.7
Length   63/21, alignment  3/ 3, found:	561.516	1146.64
Length   63/21, alignment  3/ 3, fail:	562.344	1147.45
Length   63/21, alignment  3/ 9, found:	561.531	1149.09
