                       	memcmp	simple_memcmp
Length    1, alignment  0/ 0:	77.3125	42.3125
Length    1, alignment  0/ 0:	81.375	43.9531
Length    1, alignment  0/ 0:	80.5781	42.3125
Length    2, alignment  0/ 0:	77.3125	48.0156
Length    2, alignment  0/ 0:	80.5625	48.0156
Length    2, alignment  0/ 0:	80.5625	48.8281
Length    3, alignment  0/ 0:	76.5	52.8906
Length    3, alignment  0/ 0:	81.375	52.8906
Length    3, alignment  0/ 0:	79.75	52.0938
Length    4, alignment  0/ 0:	76.5	59.4062
Length    4, alignment  0/ 0:	75.6719	59.4062
Length    4, alignment  0/ 0:	74.0469	57.7812
Length    5, alignment  0/ 0:	77.3125	66.7344
Length    5, alignment  0/ 0:	81.375	61.8438
Length    5, alignment  0/ 0:	80.5625	59.4062
Length    6, alignment  0/ 0:	77.3125	72.4375
Length    6, alignment  0/ 0:	80.5625	70
Length    6, alignment  0/ 0:	80.5625	70.8125
Length    7, alignment  0/ 0:	78.125	75.6875
Length    7, alignment  0/ 0:	80.5625	76.5
Length    7, alignment  0/ 0:	80.5625	77.3125
Length    8, alignment  0/ 0:	78.9531	82.1875
Length    8, alignment  0/ 0:	74.875	80.5625
Length    8, alignment  0/ 0:	74.0469	79.75
Length    9, alignment  0/ 0:	76.5	85.4375
Length    9, alignment  0/ 0:	80.5625	84.625
Length    9, alignment  0/ 0:	79.75	83.8125
Length   10, alignment  0/ 0:	78.125	88.7031
Length   10, alignment  0/ 0:	81.375	89.5156
Length   10, alignment  0/ 0:	80.5625	89.5156
Length   11, alignment  0/ 0:	78.125	93.5938
Length   11, alignment  0/ 0:	81.375	93.5938
Length   11, alignment  0/ 0:	81.375	92.7656
Length   12, alignment  0/ 0:	77.3125	97.6562
Length   12, alignment  0/ 0:	74.0469	98.4688
Length   12, alignment  0/ 0:	74.0469	95.2188
Length   13, alignment  0/ 0:	77.2969	101.734
Length   13, alignment  0/ 0:	80.5625	102.547
Length   13, alignment  0/ 0:	80.5781	100.922
Length   14, alignment  0/ 0:	76.5	105.797
Length   14, alignment  0/ 0:	80.5781	105.797
Length   14, alignment  0/ 0:	81.375	104.984
Length   15, alignment  0/ 0:	77.3125	109.859
Length   15, alignment  0/ 0:	81.3906	109.047
Length   15, alignment  0/ 0:	82.1875	109.859
Length    4, alignment  0/ 0:	78.125	57.7812
Length    4, alignment  0/ 0:	74.0625	58.5938
Length    4, alignment  0/ 0:	74.0469	57.7812
Length   32, alignment  0/ 0:	74.0625	181.484
Length   32, alignment  7/ 2:	110.688	180.672
Length   32, alignment  0/ 0:	74.0625	181.469
Length   32, alignment  0/ 0:	73.2344	181.484
Length    8, alignment  0/ 0:	77.3125	79.75
Length    8, alignment  0/ 0:	74.875	80.5625
Length    8, alignment  0/ 0:	74.0469	81.3906
Length   64, alignment  0/ 0:	87.8906	314.125
Length   64, alignment  6/ 4:	117.188	316.578
Length   64, alignment  0/ 0:	87.0781	314.125
Length   64, alignment  0/ 0:	86.2656	313.312
Length   16, alignment  0/ 0:	69.1875	113.922
Length   16, alignment  0/ 0:	66.7344	113.938
Length   16, alignment  0/ 0:	66.7344	113.938
Length  128, alignment  0/ 0:	139.984	581.875
Length  128, alignment  5/ 6:	201.016	582.672
Length  128, alignment  0/ 0:	137.531	579.438
Length  128, alignment  0/ 0:	136.719	580.234
Length   32, alignment  0/ 0:	74.8594	179.844
Length   32, alignment  0/ 0:	73.25	180.672
Length   32, alignment  0/ 0:	72.4219	180.656
Length  256, alignment  0/ 0:	196.938	1115.73
Length  256, alignment  4/ 8:	250.641	1114.91
Length  256, alignment  0/ 0:	187.984	1113.28
Length  256, alignment  0/ 0:	186.359	1114.09
Length   64, alignment  0/ 0:	87.8906	315.766
Length   64, alignment  0/ 0:	87.0781	312.5
Length   64, alignment  0/ 0:	85.4531	314.125
Length  512, alignment  0/ 0:	297.859	2180.98
Length  512, alignment  3/10:	517.578	2523.59
Length  512, alignment  0/ 0:	293.781	2181.81
Length  512, alignment  0/ 0:	293.781	2181.81
Length  128, alignment  0/ 0:	140.781	582.688
Length  128, alignment  0/ 0:	137.531	581.047
