                        	memset	builtin_memset	simple_memset
Length   11, alignment  0, c  0:	54.5312	55.3438	62.6562
Length   12, alignment 12, c  0:	52.0781	64.2969	65.1094
Length   12, alignment  0, c  0:	55.3281	55.3438	65.0938
Length   13, alignment 13, c  0:	62.6562	64.2969	66.7344
Length   13, alignment  0, c  0:	55.3281	55.3438	66.7344
Length   14, alignment 14, c  0:	58.5938	59.4062	70
Length   14, alignment  0, c  0:	54.5156	56.1562	69.1719
Length   15, alignment 15, c  0:	53.7031	55.3438	69.1719
Length   15, alignment  0, c  0:	55.3281	56.1562	69.9844
Length   16, alignment 16, c  0:	53.7188	56.9688	72.4219
Length   17, alignment 17, c  0:	62.6562	61.0469	83.8281
Length   17, alignment  0, c  0:	55.3281	55.3438	73.2344
Length   18, alignment 18, c  0:	59.4062	60.2344	75.6875
Length   18, alignment  0, c  0:	53.7188	54.5156	75.6875
Length   19, alignment 19, c  0:	55.3281	56.1562	76.5
Length   19, alignment  0, c  0:	53.7031	55.3438	76.5
Length   20, alignment 20, c  0:	52.9062	56.9688	78.9375
Length   20, alignment  0, c  0:	54.5312	56.1562	78.125
Length   21, alignment 21, c  0:	62.6719	62.6719	80.5625
Length   21, alignment  0, c  0:	53.7031	55.3438	80.5781
Length   22, alignment 22, c  0:	58.5938	59.4062	82.1875
Length   22, alignment  0, c  0:	53.7031	57.7812	81.375
Length   23, alignment 23, c  0:	54.5156	56.1562	84.6406
Length   23, alignment  0, c  0:	54.5156	56.1562	83.8125
Length   24, alignment 24, c  0:	53.7031	56.1406	84.6406
Length   24, alignment  0, c  0:	53.7031	56.1562	86.2656
Length   25, alignment 25, c  0:	61.0312	64.2812	87.0781
Length   25, alignment  0, c  0:	52.9062	56.1562	87.0781
Length   26, alignment 26, c  0:	59.4062	61.0312	88.7031
Length   26, alignment  0, c  0:	54.5156	55.3438	87.8906
Length   27, alignment 27, c  0:	56.1562	56.1562	90.3438
Length   27, alignment  0, c  0:	53.7188	56.1562	90.3281
Length   28, alignment 28, c  0:	52.8906	64.2969	91.9688
Length   28, alignment  0, c  0:	53.7188	55.3438	93.5938
Length   29, alignment 29, c  0:	62.6562	63.4844	94.3906
Length   29, alignment  0, c  0:	54.5156	55.3438	93.5781
Length   30, alignment 30, c  0:	59.4062	60.2188	96.0312
Length   30, alignment  0, c  0:	54.5156	55.3281	95.2188
Length   31, alignment 31, c  0:	61.8594	61.8438	96.8281
Length   31, alignment  0, c  0:	52.0781	51.2656	97.6562
Length   32, alignment  0, c  0:	55.3438	55.3438	98.4688
Length   32, alignment 32, c  0:	54.5156	65.1094	99.2812
Length   64, alignment  0, c  0:	62.6562	61.8438	152.188
Length   64, alignment  0, c  0:	62.6562	61.8438	152.172
Length   96, alignment  0, c  0:	68.3594	69.1719	205.078
Length   96, alignment 32, c  0:	67.5469	68.3594	204.266
Length  128, alignment  0, c  0:	74.0625	74.875	258.797
Length  128, alignment  0, c  0:	74.0469	74.875	257.984
Length  160, alignment  0, c  0:	89.5156	91.1406	311.688
Length  160, alignment 32, c  0:	88.7031	92.7656	311.688
Length  192, alignment  0, c  0:	96.0312	97.6562	374.344
Length  192, alignment  0, c  0:	96.0156	97.6562	365.406
Length  224, alignment  0, c  0:	103.344	104.172	419.109
Length  224, alignment 32, c  0:	102.547	104.172	418.297
Length  256, alignment  0, c  0:	109.047	110.672	472
Length  256, alignment  0, c  0:	108.234	111.5	480.141
Length  288, alignment  0, c  0:	115.562	118	526.531
Length  288, alignment 32, c  0:	115.562	117.188	524.906
Length  320, alignment  0, c  0:	122.062	125.328	578.609
Length  320, alignment  0, c  0:	122.078	124.516	578.609
Length  352, alignment  0, c  0:	129.406	139.156	632.328
Length  352, alignment 32, c  0:	129.406	130.203	632.312
Length  384, alignment  0, c  0:	135.906	136.719	686.031
Length  384, alignment  0, c  0:	135.906	138.344	693.359
Length  416, alignment  0, c  0:	142.422	144.859	747.062
Length  416, alignment 32, c  0:	141.594	144.031	747.062
Length  448, alignment  0, c  0:	149.734	150.562	799.969
Length  448, alignment  0, c  0:	148.922	151.375	792.641
Length  480, alignment  0, c  0:	155.438	157.875	845.531
Length  480, alignment 32, c  0:	155.438	166.016	844.719
Length   14, alignment  1, c  0:	65.1094	65.1094	68.3594
Length 1024, alignment  3, c  0:	276.688	275.875	1752.11
Length   64, alignment  4, c  0:	69.9844	69.9844	152.172
Length   25, alignment  2, c  0:	58.5938	58.5938	87.0781
Length    1, alignment  0, c 65:	55.3281	56.1562	35.7969
Length    2, alignment  0, c 65:	54.5312	56.1562	39.875
Length    4, alignment  0, c 65:	54.5312	56.1562	42.3125
Length    8, alignment  0, c 65:	52.8906	56.1406	49.6406
Length   16, alignment  0, c 65:	54.5156	56.1406	72.4219
Length   32, alignment  0, c 65:	62.6719	55.3438	99.2812
Length   64, alignment  0, c 65:	61.8594	61.8438	153
Length  128, alignment  0, c 65:	75.6875	74.0625	259.609
Length  256, alignment  0, c 65:	109.047	118.812	472.828
Length  512, alignment  0, c 65:	162.75	164.391	899.25
Length 1024, alignment  0, c 65:	269.375	271.812	1761.06
Length 2048, alignment  0, c 65:	483.391	492.359	3474.94
Length 4096, alignment  0, c 65:	909.828	912.281	6901.86
Length 8192, alignment  0, c 65:	1770.83	1774.09	13748.4
Length 16384, alignment  0, c 65:	3488.77	3488.78	27613.1
Length 32768, alignment  0, c 65:	6937.66	6945	54888.5
Length 65536, alignment  0, c 65:	13818.4	13820	109939
Length 131072, alignment  0, c 65:	27579.8	27593.6	219862
Length    1, alignment  1, c 65:	55.3438	56.1562	35
Length    2, alignment  2, c 65:	57.7812	58.5938	39.0625
Length    3, alignment  3, c 65:	56.1562	56.1406	41.5
Length    3, alignment  0, c 65:	54.5156	56.1562	40.6875
Length    4, alignment  4, c 65:	52.8906	56.1562	42.3281
Length    5, alignment  5, c 65:	61.8594	61.8438	43.9531
Length    5, alignment  0, c 65:	55.3281	55.3438	43.9375
Length    6, alignment  6, c 65:	58.5938	61.0312	47.2031
Length    6, alignment  0, c 65:	55.3281	55.3438	45.5781
Length    7, alignment  7, c 65:	54.5312	54.5312	47.2031
Length    7, alignment  0, c 65:	53.7188	55.3438	71.6094
Length    8, alignment  8, c 65:	54.5312	56.1562	51.2656
Length    9, alignment  9, c 65:	62.6719	63.4844	52.0781
Length    9, alignment  0, c 65:	54.5156	56.1562	51.2656
Length   10, alignment 10, c 65:	57.7812	68.3594	61.8438
Length   10, alignment  0, c 65:	53.7188	55.3281	61.8438
Length   11, alignment 11, c 65:	55.3281	56.9688	63.4844
Length   11, alignment  0, c 65:	53.7188	55.3438	63.4688
Length   12, alignment 12, c 65:	53.7031	56.1562	66.7344
Length   12, alignment  0, c 65:	54.5156	56.1562	65.9219
Length   13, alignment 13, c 65:	63.4688	62.6562	67.5469
Length   13, alignment  0, c 65:	53.7031	55.3438	67.5469
Length   14, alignment 14, c 65:	57.7812	59.4062	69.1719
Length   14, alignment  0, c 65:	54.5156	56.1562	76.4844
Length   15, alignment 15, c 65:	54.5312	55.3438	70.7969
Length   15, alignment  0, c 65:	54.5312	55.3438	71.6094
Length   16, alignment 16, c 65:	54.5156	55.3438	72.4375
Length   17, alignment 17, c 65:	62.6719	61.0312	74.0469
Length   17, alignment  0, c 65:	53.7188	56.1562	73.2344
Length   18, alignment 18, c 65:	58.5938	61.0312	75.6875
Length   18, alignment  0, c 65:	53.7031	54.5312	74.875
Length   19, alignment 19, c 65:	56.1562	56.1406	77.3125
Length   19, alignment  0, c 65:	53.7188	56.1562	77.3125
Length   20, alignment 20, c 65:	53.7188	54.5156	78.9375
Length   20, alignment  0, c 65:	53.7188	56.1562	78.9375
Length   21, alignment 21, c 65:	62.6562	61.8594	80.5625
Length   21, alignment  0, c 65:	53.7188	56.1406	79.75
Length   22, alignment 22, c 65:	58.5938	59.4062	81.375
Length   22, alignment  0, c 65:	53.7031	64.2969	80.5625
Length   23, alignment 23, c 65:	54.5312	56.1406	83
Length   23, alignment  0, c 65:	53.7031	56.9688	83.8125
Length   24, alignment 24, c 65:	54.5312	55.3281	86.2656
Length   24, alignment  0, c 65:	54.5156	55.3281	85.4531
Length   25, alignment 25, c 65:	60.2188	61.0469	86.2656
Length   25, alignment  0, c 65:	55.3438	56.1562	87.8906
Length   26, alignment 26, c 65:	57.7656	58.5938	87.8906
Length   26, alignment  0, c 65:	53.7188	55.3438	88.7031
Length   27, alignment 27, c 65:	56.1562	55.3438	91.1406
Length   27, alignment  0, c 65:	54.5156	55.3438	90.3281
Length   28, alignment 28, c 65:	54.5156	54.5312	91.9531
Length   28, alignment  0, c 65:	56.1562	56.1562	91.9688
Length   29, alignment 29, c 65:	62.6719	63.4844	93.5781
Length   29, alignment  0, c 65:	54.5156	56.1406	102.531
Length   30, alignment 30, c 65:	57.7812	59.4062	96.0312
Length   30, alignment  0, c 65:	53.7188	55.3281	96.0312
Length   31, alignment 31, c 65:	61.8594	61.8438	96.8438
Length   31, alignment  0, c 65:	51.2812	52.0938	96.8281
Length   32, alignment  0, c 65:	54.5156	54.5312	98.4844
Length   32, alignment 32, c 65:	53.7031	55.3281	98.4688
Length   64, alignment  0, c 65:	61.0312	60.2344	151.359
Length   64, alignment  0, c 65:	61.0312	62.6562	153
Length   96, alignment  0, c 65:	68.3594	68.3594	205.891
Length   96, alignment 32, c 65:	68.3594	68.3594	205.891
Length  128, alignment  0, c 65:	75.6719	74.875	259.609
Length  128, alignment  0, c 65:	74.875	74.875	266.922
Length  160, alignment  0, c 65:	88.7031	92.7656	310.875
Length  160, alignment 32, c 65:	89.5156	91.9688	311.688
Length  192, alignment  0, c 65:	96.8438	97.6562	364.594
Length  192, alignment  0, c 65:	96.0312	96.8438	375.984
Length  224, alignment  0, c 65:	102.547	104.156	418.297
Length  224, alignment 32, c 65:	101.719	103.344	419.109
Length  256, alignment  0, c 65:	109.047	113.109	472.828
Length  256, alignment  0, c 65:	109.047	110.672	480.141
Length  288, alignment  0, c 65:	115.547	118	533.844
Length  288, alignment 32, c 65:	115.547	117.188	524.906
Length  320, alignment  0, c 65:	122.078	124.516	578.609
Length  320, alignment  0, c 65:	122.875	124.516	578.609
Length  352, alignment  0, c 65:	136.719	131.031	632.328
Length  352, alignment 32, c 65:	130.219	130.203	632.328
Length  384, alignment  0, c 65:	135.906	138.359	685.219
Length  384, alignment  0, c 65:	135.906	145.672	685.219
Length  416, alignment  0, c 65:	140.781	152.984	939.125
Length  416, alignment 32, c 65:	143.234	144.047	739.75
Length  448, alignment  0, c 65:	149.75	150.562	792.641
Length  448, alignment  0, c 65:	157.062	150.562	791.828
Length  480, alignment  0, c 65:	163.578	157.062	846.344
Length  480, alignment 32, c 65:	155.438	157.875	845.547
Length   14, alignment  1, c 65:	62.6562	59.4062	69.1719
Length 1024, alignment  3, c 65:	275.875	284.016	1761.06
Length   64, alignment  4, c 65:	69.1719	69.9844	151.375
Length   25, alignment  2, c 65:	58.5938	59.4062	87.0781
Length    1, alignment  0, c 130:	55.3438	56.1562	36.625
Length    2, alignment  0, c 130:	54.5312	56.1562	39.875
Length    4, alignment  0, c 130:	53.7031	56.9688	42.3125
Length    8, alignment  0, c 130:	54.5312	55.3281	48.8281
Length   16, alignment  0, c 130:	53.7031	56.1562	73.25
Length   32, alignment  0, c 130:	54.5312	55.3438	99.2812
Length   64, alignment  0, c 130:	61.8438	61.0312	152.172
Length  128, alignment  0, c 130:	74.875	74.0625	258.797
Length  256, alignment  0, c 130:	109.062	111.5	472.016
Length  512, alignment  0, c 130:	161.141	163.562	898.438
Length 1024, alignment  0, c 130:	276.688	271	1761.06
Length 2048, alignment  0, c 130:	483.391	485.031	3484.7
Length 4096, alignment  0, c 130:	919.594	911.453	6901.05
Length 8192, alignment  0, c 130:	1772.45	1765.14	13750.8
Length 16384, alignment  0, c 130:	3487.95	3481.44	27451.2
Length 32768, alignment  0, c 130:	6936.03	6946.61	55073.2
Length 65536, alignment  0, c 130:	13819.2	13820	109959
Length 131072, alignment  0, c 130:	27579.8	27579.8	220186
Length    1, alignment  1, c 130:	56.9688	392.25	35.8125
Length    2, alignment  2, c 130:	58.5938	60.2188	40.6875
Length    3, alignment  3, c 130:	56.1562	55.3438	40.6875
Length    3, alignment  0, c 130:	52.9062	55.3281	41.5
Length    4, alignment  4, c 130:	52.8906	56.1562	43.125
Length    5, alignment  5, c 130:	62.6562	62.6719	45.5625
Length    5, alignment  0, c 130:	54.5156	56.1406	43.9531
Length    6, alignment  6, c 130:	57.7812	58.5938	46.3906
Length    6, alignment  0, c 130:	53.7031	55.3438	45.5781
Length    7, alignment  7, c 130:	54.5156	56.1562	52.0938
Length    7, alignment  0, c 130:	54.5156	56.1562	47.2031
Length    8, alignment  8, c 130:	53.7031	55.3281	50.4531
Length    9, alignment  9, c 130:	62.6719	61.0312	52.0781
Length    9, alignment  0, c 130:	56.1562	55.3438	51.2656
Length   10, alignment 10, c 130:	59.4062	58.5938	61.8438
Length   10, alignment  0, c 130:	54.5156	56.1562	61.8438
Length   11, alignment 11, c 130:	56.1562	56.1406	64.2969
Length   11, alignment  0, c 130:	52.8906	56.1562	63.4844
Length   12, alignment 12, c 130:	52.9062	55.3438	65.9219
Length   12, alignment  0, c 130:	54.5312	56.1406	65.1094
Length   13, alignment 13, c 130:	63.4688	62.6719	66.7344
Length   13, alignment  0, c 130:	65.1094	56.9688	66.7344
Length   14, alignment 14, c 130:	59.4062	60.2344	68.3594
Length   14, alignment  0, c 130:	53.7188	56.1562	69.1719
Length   15, alignment 15, c 130:	53.7031	53.7188	69.9844
Length   15, alignment  0, c 130:	54.5156	56.1562	70.7969
Length   16, alignment 16, c 130:	53.7188	56.1406	71.625
Length   17, alignment 17, c 130:	62.6719	64.2812	74.0625
Length   17, alignment  0, c 130:	54.5312	55.3438	74.0469
Length   18, alignment 18, c 130:	57.7656	60.2188	74.875
Length   18, alignment  0, c 130:	54.5156	64.2812	74.875
Length   19, alignment 19, c 130:	55.3438	56.1562	78.125
Length   19, alignment  0, c 130:	53.7188	56.1562	77.3125
Length   20, alignment 20, c 130:	52.9062	52.8906	78.9375
Length   20, alignment  0, c 130:	53.7031	55.3438	78.125
Length   21, alignment 21, c 130:	62.6562	63.4688	79.75
Length   21, alignment  0, c 130:	54.5312	53.7188	80.5625
Length   22, alignment 22, c 130:	59.4062	59.4062	83
Length   22, alignment  0, c 130:	54.5312	56.1562	82.2031
Length   23, alignment 23, c 130:	54.5312	55.3438	83.8281
Length   23, alignment  0, c 130:	54.5156	54.5312	84.6406
Length   24, alignment 24, c 130:	53.7188	65.0938	86.2656
Length   24, alignment  0, c 130:	54.5312	55.3281	86.2656
Length   25, alignment 25, c 130:	63.4688	65.0938	87.0781
Length   25, alignment  0, c 130:	55.3438	54.5312	87.8906
Length   26, alignment 26, c 130:	59.4062	60.2188	90.3281
Length   26, alignment  0, c 130:	54.5312	56.1562	88.7031
Length   27, alignment 27, c 130:	56.1406	54.5312	90.3281
Length   27, alignment  0, c 130:	54.5312	54.5312	99.2969
Length   28, alignment 28, c 130:	52.9062	54.5156	91.9531
Length   28, alignment  0, c 130:	53.7188	56.9688	92.7656
Length   29, alignment 29, c 130:	62.6719	62.6562	94.3906
Length   29, alignment  0, c 130:	54.5312	55.3438	93.5781
Length   30, alignment 30, c 130:	58.5938	59.4062	94.4062
Length   30, alignment  0, c 130:	53.7031	56.1562	95.2031
Length   31, alignment 31, c 130:	61.8594	63.4844	97.6562
Length   31, alignment  0, c 130:	50.4531	52.0781	97.6562
Length   32, alignment  0, c 130:	55.3438	56.1562	108.234
Length   32, alignment 32, c 130:	56.1406	55.3438	98.4688
Length   64, alignment  0, c 130:	61.8594	62.6562	151.375
Length   64, alignment  0, c 130:	61.0469	62.6562	153
Length   96, alignment  0, c 130:	76.5	69.1719	205.078
Length   96, alignment 32, c 130:	68.3594	69.1719	206.703
Length  128, alignment  0, c 130:	74.875	75.6875	257.984
Length  128, alignment  0, c 130:	74.0625	74.875	258.781
Length  160, alignment  0, c 130:	88.7031	90.3281	322.266
Length  160, alignment 32, c 130:	90.3281	90.3438	313.312
Length  192, alignment  0, c 130:	104.984	97.6562	364.578
Length  192, alignment  0, c 130:	95.2188	97.6562	364.578
Length  224, alignment  0, c 130:	102.531	104.156	426.438
Length  224, alignment 32, c 130:	101.719	103.344	418.297
Length  256, alignment  0, c 130:	109.062	111.5	472
Length  256, alignment  0, c 130:	109.047	110.672	472
Length  288, alignment  0, c 130:	116.375	118	534.672
Length  288, alignment 32, c 130:	116.375	117.188	533.859
Length  320, alignment  0, c 130:	121.266	124.516	587.578
Length  320, alignment  0, c 130:	122.891	124.516	578.609
Length  352, alignment  0, c 130:	129.391	130.203	632.328
Length  352, alignment 32, c 130:	128.578	131.828	632.328
Length  384, alignment  0, c 130:	136.719	138.344	684.406
Length  384, alignment  0, c 130:	143.234	138.359	685.219
