                    	strrchr	simple_strrchr
Length   26, alignment in bytes  0:	84.6406	129.391
Length   27, alignment in bytes  0:	84.6406	131.844
Length   27, alignment in bytes  0:	84.6406	132.656
Length   28, alignment in bytes  0:	86.25	135.906
Length   28, alignment in bytes  0:	85.4531	135.906
Length   29, alignment in bytes  0:	89.5156	137.531
Length   29, alignment in bytes  0:	89.5156	139.156
Length   30, alignment in bytes  0:	91.1562	142.406
Length   30, alignment in bytes  0:	89.5156	140.797
Length   31, alignment in bytes  0:	88.7031	145.672
Length   31, alignment in bytes  0:	89.5156	145.672
Length   32, alignment in bytes  0:	89.5156	148.109
Length   32, alignment in bytes  0:	89.5156	148.938
