                    	wcschrnul	simple_WCSCHRNUL	stupid_WCSCHRNUL
Length   12, alignment in bytes  0:	79.7656	75.6875	164.375
Length   12, alignment in bytes  0:	80.5781	74.0625	165.203
Length   13, alignment in bytes  0:	83.0156	78.125	176.594
Length   13, alignment in bytes  0:	83	77.3125	177.422
Length   14, alignment in bytes  0:	86.2656	79.75	179.031
Length   14, alignment in bytes  0:	85.4531	79.7656	179.844
Length   15, alignment in bytes  0:	87.0781	81.3906	189.609
Length   15, alignment in bytes  0:	88.7031	82.2031	188
Length   16, alignment in bytes  0:	90.3281	84.625	197.75
Length   16, alignment in bytes  0:	90.3438	85.4531	198.562
Length   17, alignment in bytes  0:	93.5938	86.2656	205.078
Length   17, alignment in bytes  0:	92.7656	87.8906	204.266
Length   18, alignment in bytes  0:	96.0312	90.3281	209.969
Length   18, alignment in bytes  0:	95.2188	91.1406	208.328
Length   19, alignment in bytes  0:	97.6562	92.7812	218.094
Length   19, alignment in bytes  0:	99.2812	92.7812	218.922
Length   20, alignment in bytes  0:	100.109	95.2188	227.062
Length   20, alignment in bytes  0:	100.906	94.3906	225.422
Length   21, alignment in bytes  0:	102.547	97.6562	234.375
Length   21, alignment in bytes  0:	103.359	97.6562	234.375
Length   22, alignment in bytes  0:	105.797	100.906	239.266
Length   22, alignment in bytes  0:	106.609	100.094	240.078
Length   23, alignment in bytes  0:	107.422	103.344	247.391
Length   23, alignment in bytes  0:	108.234	104.172	248.203
Length   24, alignment in bytes  0:	111.5	105.797	257.969
Length   24, alignment in bytes  0:	111.5	105.797	257.156
Length   25, alignment in bytes  0:	113.938	108.234	265.297
Length   25, alignment in bytes  0:	113.125	786.938	267.734
Length   26, alignment in bytes  0:	116.375	109.875	268.562
Length   26, alignment in bytes  0:	115.562	111.484	270.188
Length   27, alignment in bytes  0:	118.812	113.125	277.5
Length   27, alignment in bytes  0:	118.828	113.125	277.516
Length   28, alignment in bytes  0:	121.25	113.922	286.453
Length   28, alignment in bytes  0:	119.641	114.75	286.469
Length   29, alignment in bytes  0:	122.875	118	294.594
Length   29, alignment in bytes  0:	124.516	118	293.781
Length   30, alignment in bytes  0:	125.328	120.438	299.484
Length   30, alignment in bytes  0:	125.328	120.438	299.484
Length   31, alignment in bytes  0:	127.766	122.891	307.609
Length   31, alignment in bytes  0:	127.766	123.688	308.438
Length   64, alignment in bytes  4:	209.969	205.891	553.375
Length   64, alignment in bytes  4:	210.781	205.906	554.203
Length   64, alignment in bytes  8:	209.969	204.266	553.391
Length   64, alignment in bytes  8:	210.781	205.078	552.578
Length   64, alignment in bytes 12:	209.969	205.078	553.391
Length   64, alignment in bytes 12:	209.969	205.891	553.391
Length   64, alignment in bytes 16:	211.594	205.078	552.562
Length   64, alignment in bytes 16:	209.953	205.891	552.562
Length   64, alignment in bytes 20:	211.594	205.078	551.766
Length   64, alignment in bytes 20:	210.781	205.078	552.578
Length   64, alignment in bytes 24:	210.781	205.891	554.203
Length   64, alignment in bytes 24:	210.766	205.891	552.578
