                            	wcsncat	stupid_wcsncat
Length   64/  16, alignment  5/ 6, N  512:	383.297	404.469
Length  128/ 128, alignment  0/ 0, N  512:	1183.27	1231.28
Length  128/ 128, alignment  4/ 0, N  512:	1182.45	1231.28
Length  128/  32, alignment  0/ 0, N  512:	702.312	751.953
Length  128/  32, alignment  4/ 0, N  512:	703.125	750.328
Length  256/ 256, alignment  0/ 0, N  512:	2302.25	2403.97
Length  256/ 256, alignment  3/ 2, N  512:	2302.23	2403.97
Length  256/  64, alignment  0/ 0, N  512:	1342.77	1444.5
Length  256/  64, alignment  3/ 2, N  512:	1342.78	1443.69
Length  512/ 512, alignment  0/ 0, N  512:	4545.91	4749.34
Length  512/ 512, alignment  2/ 4, N  512:	4545.89	4750.16
Length  512/ 128, alignment  0/ 0, N  512:	2624.52	2828.77
Length  512/ 128, alignment  2/ 4, N  512:	2626.14	2829.58
Length 1024/ 256, alignment  0/ 0, N  512:	3265.78	3469.23
Length 1024/ 256, alignment  1/ 6, N  512:	3265.8	3469.25
Length   16/   1, alignment  1/ 2, N  512:	120.438	120.438
Length   16/   1, alignment  2/ 1, N  512:	120.438	119.625
Length   16/  10, alignment  1/ 1, N  512:	172.531	174.156
Length   32/   1, alignment  2/ 4, N  512:	179.859	186.359
Length   32/   1, alignment  4/ 2, N  512:	179.859	187.172
Length   32/  10, alignment  2/ 2, N  512:	232.75	241.703
Length   64/   1, alignment  3/ 6, N  512:	300.297	320.641
Length   64/   1, alignment  6/ 3, N  512:	300.297	319.828
Length   64/  10, alignment  3/ 3, N  512:	350.75	374.359
Length  128/   1, alignment  4/ 0, N  512:	541.188	586.75
Length  128/   1, alignment  0/ 4, N  512:	539.547	586.75
Length  128/  10, alignment  4/ 4, N  512:	592.438	641.266
Length  256/   1, alignment  5/ 2, N  512:	1019.7	1281.75
Length  256/   1, alignment  2/ 5, N  512:	1020.52	1119.8
Length  256/  10, alignment  5/ 5, N  512:	1073.41	1174.33
Length  512/   1, alignment  6/ 4, N  512:	1983.23	2185.88
Length  512/   1, alignment  4/ 6, N  512:	1984.06	2185.88
Length  512/  10, alignment  6/ 6, N  512:	2034.52	2239.59
Length 1024/   1, alignment  7/ 6, N  512:	1984.05	2186.69
Length 1024/   1, alignment  6/ 7, N  512:	1983.23	2185.06
Length 1024/  10, alignment  7/ 7, N  512:	2036.94	2239.58
