                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length    4, alignment  0/ 0:	108.234	57.7812	61.0469
Length    4, alignment  0/ 4:	105.797	56.9688	58.5938
Length    4, alignment  4/ 0:	104.984	56.1562	58.5938
Length    5, alignment  0/ 0:	109.047	60.2188	69.9844
Length    5, alignment  0/ 5:	92.7656	61.0312	69.9844
Length    5, alignment  5/ 0:	92.7656	58.5938	70.7969
Length    6, alignment  0/ 0:	110.672	62.6562	74.8594
Length    6, alignment  0/ 6:	104.172	61.8438	74.8594
Length    6, alignment  6/ 0:	95.2188	61.0469	74.0625
Length    7, alignment  0/ 0:	114.734	72.4375	78.9531
Length    7, alignment  0/ 7:	106.609	70	78.125
Length    7, alignment  7/ 0:	104.172	71.6094	78.125
Length    8, alignment  0/ 0:	116.375	74.0469	81.3906
Length    8, alignment  0/ 0:	112.297	73.25	82.1875
Length    8, alignment  0/ 0:	113.109	74.0469	81.375
Length    9, alignment  0/ 0:	118.812	76.5	85.4531
Length    9, alignment  0/ 1:	124.516	74.875	86.2656
Length    9, alignment  1/ 0:	104.172	76.4844	85.4375
Length   10, alignment  0/ 0:	131.031	79.75	90.3281
Length   10, alignment  0/ 2:	126.141	78.9375	88.7031
Length   10, alignment  2/ 0:	118	88.7031	88.7031
Length   11, alignment  0/ 0:	137.547	81.3906	91.9688
Length   11, alignment  0/ 3:	136.719	80.5625	94.4062
Length   11, alignment  3/ 0:	127.766	80.5625	91.9531
Length   12, alignment  0/ 0:	139.969	84.6406	96.0312
Length   12, alignment  0/ 4:	137.531	83.8125	96.0312
Length   12, alignment  4/ 0:	146.484	89.5156	95.2031
Length   13, alignment  0/ 0:	142.422	95.2188	98.4688
Length   13, alignment  0/ 5:	135.906	85.4375	99.2812
Length   13, alignment  5/ 0:	131.828	102.531	100.094
Length   14, alignment  0/ 0:	144.859	88.7031	102.547
Length   14, alignment  0/ 6:	141.609	87.8906	102.547
Length   14, alignment  6/ 0:	119.641	96.0312	102.531
Length   15, alignment  0/ 0:	150.547	91.9688	105.797
Length   15, alignment  0/ 7:	151.359	90.3281	106.609
Length   15, alignment  7/ 0:	123.703	99.2812	104.984
Length   16, alignment  7/ 2:	133.453	116.375	109.047
Length   32, alignment  6/ 4:	143.234	122.078	161.125
Length   64, alignment  5/ 6:	209.953	161.938	269.359
Length  128, alignment  4/ 0:	236	193.672	493.172
Length  256, alignment  3/ 2:	439.453	373.531	918.781
