                                	strcspn	simple_strcspn	stupid_strcspn
Length   47, alignment  0, rej len  6:	401.203	1604.02	2131.34
Length   48, alignment  0, rej len  6:	410.969	1642.25	2198.08
Length   49, alignment  0, rej len  6:	409.344	1672.36	2236.33
Length   50, alignment  0, rej len  6:	409.344	1714.69	2284.34
Length   51, alignment  0, rej len  6:	410.156	1739.09	2317.7
Length   52, alignment  0, rej len  6:	524.906	1869.3	2362.47
Length   53, alignment  0, rej len  6:	418.297	1892.91	2432.47
Length   54, alignment  0, rej len  6:	418.297	1919.75	2467.45
Length   55, alignment  0, rej len  6:	419.094	1961.27	2530.92
Length   56, alignment  0, rej len  6:	427.25	1996.25	2574.86
Length   57, alignment  0, rej len  6:	428.062	2013.34	2574.06
Length   58, alignment  0, rej len  6:	428.062	2067.88	2655.44
Length   59, alignment  0, rej len  6:	428.875	2069.5	2653.81
Length   60, alignment  0, rej len  6:	437.828	2111.02	2708.33
Length   61, alignment  0, rej len  6:	437.016	2153.31	2751.47
Length   62, alignment  0, rej len  6:	437.016	2195.64	2811.69
Length   63, alignment  0, rej len  6:	437.828	2152.5	2862.14
