                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length  256, alignment  5/ 5:	384.125	308.438	908.203
Length  256, alignment  5/ 5:	375.984	307.609	907.391
Length  512, alignment  6/ 4:	658.359	632.312	1760.25
Length  512, alignment  4/ 6:	678.719	630.703	1761.08
Length  512, alignment  6/ 6:	581.859	521.656	1761.08
Length  512, alignment  6/ 6:	580.234	520.828	1761.06
Length 1024, alignment  7/ 6:	1226.41	1166.17	3468.42
Length 1024, alignment  6/ 7:	1163.73	1164.55	3468.42
Length 1024, alignment  7/ 7:	946.453	946.453	3468.42
Length 1024, alignment  7/ 7:	943.188	946.453	3469.23
Length    0, alignment  0/ 0:	68.3594	49.6406	38.25
Length    0, alignment  0/ 0:	66.7344	48.8281	37.4219
Length    0, alignment  0/ 0:	64.2812	48.8281	37.4375
Length    1, alignment  0/ 0:	70.7969	53.7188	44.75
Length    1, alignment  0/ 1:	68.3594	52.9062	44.7656
Length    1, alignment  1/ 0:	66.7344	52.8906	43.125
Length    2, alignment  0/ 0:	74.875	58.5938	51.2656
Length    2, alignment  0/ 2:	71.625	56.9688	48.8281
Length    2, alignment  2/ 0:	70.7969	56.9688	49.6406
Length    3, alignment  0/ 0:	105.797	62.6562	56.1562
Length    3, alignment  0/ 3:	87.0781	60.2188	55.3438
Length    3, alignment  3/ 0:	91.1406	59.4062	147.297
Length    4, alignment  0/ 0:	109.047	64.2812	59.4062
Length    4, alignment  0/ 4:	107.422	65.1094	58.5938
Length    4, alignment  4/ 0:	106.609	63.4844	57.7656
Length    5, alignment  0/ 0:	110.672	69.1719	70.7969
Length    5, alignment  0/ 5:	96.8281	65.9062	69.1719
Length    5, alignment  5/ 0:	96.0312	67.5469	69.9844
Length    6, alignment  0/ 0:	113.125	70	74.0625
Length    6, alignment  0/ 6:	107.422	69.1719	74.0625
Length    6, alignment  6/ 0:	97.6562	69.1719	74.0625
Length    7, alignment  0/ 0:	118	76.4844	78.125
Length    7, alignment  0/ 7:	107.422	74.875	76.4844
Length    7, alignment  7/ 0:	106.609	75.6875	77.3125
Length    8, alignment  0/ 0:	119.625	80.5625	80.5625
Length    8, alignment  0/ 0:	116.375	80.5625	81.375
Length    8, alignment  0/ 0:	115.562	79.75	79.75
Length    9, alignment  0/ 0:	122.891	84.625	85.4531
Length    9, alignment  0/ 1:	112.312	82.1875	84.6406
Length    9, alignment  1/ 0:	106.609	83.0156	85.4531
Length   10, alignment  0/ 0:	133.453	86.2656	87.8906
Length   10, alignment  0/ 2:	128.594	84.6406	88.7031
Length   10, alignment  2/ 0:	121.25	85.4531	87.8906
Length   11, alignment  0/ 0:	139.969	88.7031	90.3438
Length   11, alignment  0/ 3:	139.969	87.8906	91.1406
Length   11, alignment  3/ 0:	130.219	87.8906	91.1406
Length   12, alignment  0/ 0:	143.234	90.3438	94.3906
Length   12, alignment  0/ 4:	139.984	90.3281	94.4062
Length   12, alignment  4/ 0:	145.672	96.8438	94.3906
Length   13, alignment  0/ 0:	145.656	94.4062	99.2812
Length   13, alignment  0/ 5:	138.344	92.7812	98.4688
Length   13, alignment  5/ 0:	138.344	104.156	97.6562
Length   14, alignment  0/ 0:	147.297	96.8438	102.531
Length   14, alignment  0/ 6:	144.031	95.2031	100.922
Length   14, alignment  6/ 0:	122.078	101.719	100.906
Length   15, alignment  0/ 0:	153.812	97.6562	105.797
Length   15, alignment  0/ 7:	153	98.4688	104.172
Length   15, alignment  7/ 0:	125.328	103.344	104.172
Length   16, alignment  7/ 2:	135.094	110.672	108.234
Length   32, alignment  6/ 4:	145.672	124.516	161.125
Length   64, alignment  5/ 6:	211.578	166.016	269.375
Length  128, alignment  4/ 0:	239.25	201.812	480.953
Length  256, alignment  3/ 2:	440.266	375.984	907.391
Length  512, alignment  2/ 4:	703.938	642.094	1762.7
Length 1024, alignment  1/ 6:	1254.89	1175.14	3468.44
Length   16, alignment  1/ 2:	153.797	109.859	109.047
Length   16, alignment  1/ 1:	168.469	108.234	109.047
