                            	strncat	stupid_strncat
Length  512/ 128, alignment  0/ 0, N   32:	282.391	833.328
Length  512/ 128, alignment  2/ 4, N   32:	291.344	833.328
Length 1024/1024, alignment  0/ 0, N   32:	748.688	5350.75
Length 1024/1024, alignment  1/ 6, N   32:	782.078	5328.78
Length 1024/ 256, alignment  0/ 0, N   32:	348.312	1481.11
Length 1024/ 256, alignment  1/ 6, N   32:	366.203	1482.75
Length   16/   1, alignment  1/ 2, N   32:	156.25	122.891
Length   16/   1, alignment  2/ 1, N   32:	182.297	122.078
Length   16/  10, alignment  1/ 1, N   32:	189.609	177.406
Length   32/   1, alignment  2/ 4, N   32:	209.953	187.984
Length   32/   1, alignment  4/ 2, N   32:	257.969	187.172
Length   32/  10, alignment  2/ 2, N   32:	220.547	242.516
Length   64/   1, alignment  3/ 6, N   32:	205.891	187.984
Length   64/   1, alignment  6/ 3, N   32:	257.172	188
Length   64/  10, alignment  3/ 3, N   32:	234.375	242.516
Length  128/   1, alignment  4/ 0, N   32:	187.172	187.984
Length  128/   1, alignment  0/ 4, N   32:	257.969	187.172
Length  128/  10, alignment  4/ 4, N   32:	224.609	251.469
Length  256/   1, alignment  5/ 2, N   32:	199.375	187.984
Length  256/   1, alignment  2/ 5, N   32:	284.016	188.797
Length  256/  10, alignment  5/ 5, N   32:	241.703	242.5
Length  512/   1, alignment  6/ 4, N   32:	195.312	188
Length  512/   1, alignment  4/ 6, N   32:	265.297	187.172
Length  512/  10, alignment  6/ 6, N   32:	209.953	242.516
Length 1024/   1, alignment  7/ 6, N   32:	197.75	187.984
Length 1024/   1, alignment  6/ 7, N   32:	257.984	188
Length 1024/  10, alignment  7/ 7, N   32:	218.094	243.328
Length    2/   2, alignment  0/ 2, N  128:	96.0312	66.7344
Length    4/   4, alignment  0/ 0, N  128:	131.828	85.4375
Length    4/   4, alignment  4/ 0, N  128:	131.031	84.625
Length    8/   8, alignment  0/ 0, N  128:	148.922	134.281
Length    8/   8, alignment  0/ 0, N  128:	148.109	135.094
Length   16/  16, alignment  0/ 0, N  128:	201.016	208.344
Length   16/  16, alignment  7/ 2, N  128:	202.641	207.531
Length   16/   4, alignment  0/ 0, N  128:	161.141	148.922
Length   16/   4, alignment  7/ 2, N  128:	166.016	136.719
Length   32/  32, alignment  0/ 0, N  128:	226.234	354.812
Length   32/  32, alignment  6/ 4, N  128:	237.625	354.812
Length   32/   8, alignment  0/ 0, N  128:	186.375	234.375
Length   32/   8, alignment  6/ 4, N  128:	202.641	235.188
Length   64/  64, alignment  0/ 0, N  128:	301.922	655.922
Length   64/  64, alignment  5/ 6, N  128:	334.484	647.781
Length   64/  16, alignment  0/ 0, N  128:	273.438	407.719
Length   64/  16, alignment  5/ 6, N  128:	304.359	407.719
Length  128/ 128, alignment  0/ 0, N  128:	451.656	1233.73
Length  128/ 128, alignment  4/ 0, N  128:	455.719	1241.05
Length  128/  32, alignment  0/ 0, N  128:	389.812	753.578
Length  128/  32, alignment  4/ 0, N  128:	402.016	752.766
Length  256/ 256, alignment  0/ 0, N  128:	526.531	1882.31
Length  256/ 256, alignment  3/ 2, N  128:	847.156	1874.19
Length  256/  64, alignment  0/ 0, N  128:	417.484	913.906
Length  256/  64, alignment  3/ 2, N  128:	470.375	913.094
Length  512/ 512, alignment  0/ 0, N  128:	652.672	3168.12
