                       	strcmp	simple_strcmp	stupid_strcmp
Length   64, alignment  3/ 6:	264.484	307.609	759.281
Length   64, alignment  6/ 3:	264.484	307.625	759.281
Length  128, alignment  4/ 8:	480.141	581.047	1392.41
Length  128, alignment  8/ 4:	480.141	582.688	1393.23
Length  128, alignment  4/ 8:	478.516	574.547	1369.62
Length  128, alignment  8/ 4:	478.516	575.359	1383.47
Length  128, alignment  4/ 8:	477.703	575.359	1384.28
Length  128, alignment  8/ 4:	478.516	575.359	1384.27
Length  256, alignment  5/10:	907.391	1114.91	2299
Length  256, alignment 10/ 5:	906.578	1114.91	2299.81
Length  256, alignment  5/10:	904.125	1108.39	2290.86
Length  256, alignment 10/ 5:	904.953	1109.22	2290.03
Length  256, alignment  5/10:	905.766	1108.39	2290.86
Length  256, alignment 10/ 5:	904.938	1109.22	2290.86
Length  512, alignment  6/12:	1761.06	2181.8	4056
Length  512, alignment 12/ 6:	1761.06	2182.61	4054.36
Length  512, alignment  6/12:	1759.44	2176.11	4046.23
Length  512, alignment 12/ 6:	1758.62	2175.3	4047.03
Length  512, alignment  6/12:	1757.81	2175.3	4045.41
Length  512, alignment 12/ 6:	1757.81	2176.11	4045.41
Length 1024, alignment  7/14:	3467.61	4316.41	7560.22
Length 1024, alignment 14/ 7:	3468.42	4315.59	7560.22
Length 1024, alignment  7/14:	3464.36	4309.89	7551.27
Length 1024, alignment 14/ 7:	3465.98	4309.89	7550.45
Length 1024, alignment  7/14:	3465.16	4309.09	7552.08
Length 1024, alignment 14/ 7:	3465.17	4309.09	7551.27
