                       	strstr	simple_strstr	stupid_strstr
Length  105/15, alignment  0/ 3, fail:	1306.16	1337.08	1309.41
Length  105/15, alignment  0/ 9, found:	772.297	786.125	1085.61
Length  105/15, alignment  0/ 9, fail:	1300.45	1324.06	1320.81
Length  105/15, alignment  0/15, found:	772.297	810.547	1092.92
Length  105/15, alignment  0/15, fail:	1293.95	1329.75	1313.48
Length  105/15, alignment  3/ 0, found:	770.672	765.797	1069.33
Length  105/15, alignment  3/ 0, fail:	1280.92	1297.2	1286.61
Length  105/15, alignment  3/ 3, found:	762.531	780.438	1079.91
Length  105/15, alignment  3/ 3, fail:	1292.31	1312.66	1305.34
Length  105/15, alignment  3/ 9, found:	763.344	774.734	1078.28
Length  105/15, alignment  3/ 9, fail:	1269.53	1299.64	1311.84
Length  105/15, alignment  3/15, found:	760.906	778.797	1079.09
Length  105/15, alignment  3/15, fail:	1280.11	1302.89	1304.53
Length  105/15, alignment  9/ 0, found:	775.547	772.312	1074.22
Length  105/15, alignment  9/ 0, fail:	1289.88	1306.16	1291.5
Length  105/15, alignment  9/ 3, found:	768.219	786.125	1087.23
Length  105/15, alignment  9/ 3, fail:	1280.92	1316.73	1311.03
Length  105/15, alignment  9/ 9, found:	948.891	774.734	1092.92
Length  105/15, alignment  9/ 9, fail:	1273.61	1293.95	1320.8
Length  105/15, alignment  9/15, found:	776.375	786.953	1083.17
Length  105/15, alignment  9/15, fail:	1283.36	1315.11	1292.31
Length  105/15, alignment 15/ 0, found:	771.484	775.547	1062
Length  105/15, alignment 15/ 0, fail:	1279.3	1295.58	1298.83
Length  105/15, alignment 15/ 3, found:	773.109	797.531	1079.11
Length  105/15, alignment 15/ 3, fail:	1281.73	1307.78	1315.09
Length  105/15, alignment 15/ 9, found:	782.875	775.547	1093.75
Length  105/15, alignment 15/ 9, fail:	1276.05	1285	1321.62
Length  105/15, alignment 15/15, found:	781.25	789.391	1055.5
Length  105/15, alignment 15/15, fail:	1277.67	1305.33	1267.91
Length  120/15, alignment  0/ 0, found:	786.953	799.156	1202
Length  120/15, alignment  0/ 0, fail:	1427.41	1451.83	1489.25
Length  120/15, alignment  0/ 3, found:	794.266	804.844	1231.28
Length  120/15, alignment  0/ 3, fail:	1429.03	1468.09	1512.05
Length  120/15, alignment  0/ 9, found:	786.953	800.781	1221.52
Length  120/15, alignment  0/ 9, fail:	1421.7	1443.67	1510.41
Length  120/15, alignment  0/15, found:	794.281	805.656	1227.22
Length  120/15, alignment  0/15, fail:	1428.23	1464.84	1501.45
Length  120/15, alignment  3/ 0, found:	796.703	799.969	1201.17
Length  120/15, alignment  3/ 0, fail:	1427.42	1448.56	1473.8
Length  120/15, alignment  3/ 3, found:	799.969	827.641	1216.64
Length  120/15, alignment  3/ 3, fail:	1422.52	1454.27	1498.2
Length  120/15, alignment  3/ 9, found:	804.844	802.406	1221.52
Length  120/15, alignment  3/ 9, fail:	1428.22	1450.2	1499.02
Length  120/15, alignment  3/15, found:	799.969	815.422	1214.2
Length  120/15, alignment  3/15, fail:	1424.97	1463.2	1476.23
Length  120/15, alignment  9/ 0, found:	786.125	799.156	1200.36
Length  120/15, alignment  9/ 0, fail:	1406.25	1435.55	1488.45
Length  120/15, alignment  9/ 3, found:	795.906	804.859	1210.94
Length  120/15, alignment  9/ 3, fail:	1410.31	1448.56	1499.03
Length  120/15, alignment  9/ 9, found:	787.766	798.328	1216.64
Length  120/15, alignment  9/ 9, fail:	1402.17	1426.59	1507.97
Length  120/15, alignment  9/15, found:	797.531	804.859	1218.25
Length  120/15, alignment  9/15, fail:	1411.95	1449.38	1636.55
Length  120/15, alignment 15/ 0, found:	818.688	813.797	1195.47
Length  120/15, alignment 15/ 0, fail:	1429.86	1443.69	1465.66
Length  120/15, alignment 15/ 3, found:	808.922	834.953	1205.23
Length  120/15, alignment 15/ 3, fail:	1417.64	1455.89	1486.81
Length  120/15, alignment 15/ 9, found:	816.25	812.172	1219.89
Length  120/15, alignment 15/ 9, fail:	1423.34	1441.25	1487.64
Length  120/15, alignment 15/15, found:	808.922	834.156	1184.09
Length  120/15, alignment 15/15, fail:	1424.16	1450.2	1459.14
Length  135/15, alignment  0/ 0, found:	820.312	832.531	1330.56
Length  135/15, alignment  0/ 0, fail:	1569	1602.38	1669.11
Length  135/15, alignment  0/ 3, found:	821.938	838.203	1344.41
Length  135/15, alignment  0/ 3, fail:	1565.77	1617.03	1691.89
Length  135/15, alignment  0/ 9, found:	827.641	825.203	1350.92
Length  135/15, alignment  0/ 9, fail:	1573.08	1606.44	1697.58
Length  135/15, alignment  0/15, found:	826.828	838.203	1341.14
Length  135/15, alignment  0/15, fail:	1570.64	1615.39	1683.77
Length  135/15, alignment  3/ 0, found:	804.844	800.781	1335.45
Length  135/15, alignment  3/ 0, fail:	1555.17	1578.78	1667.48
Length  135/15, alignment  3/ 3, found:	802.406	812.984	1341.16
Length  135/15, alignment  3/ 3, fail:	1554.36	1592.61	1688.64
Length  135/15, alignment  3/ 9, found:	802.406	799.156	1362.31
Length  135/15, alignment  3/ 9, fail:	1553.55	1582.03	1696.77
Length  135/15, alignment  3/15, found:	803.234	814.609	1345.22
Length  135/15, alignment  3/15, fail:	1554.36	1593.42	1680.5
Length  135/15, alignment  9/ 0, found:	800.781	804.047	1340.33
Length  135/15, alignment  9/ 0, fail:	1542.97	1564.94	1672.36
Length  135/15, alignment  9/ 3, found:	799.969	825.203	1359.05
Length  135/15, alignment  9/ 3, fail:	1535.64	1581.22	1693.52
Length  135/15, alignment  9/ 9, found:	799.156	811.359	1362.31
Length  135/15, alignment  9/ 9, fail:	1534.83	1565.75	1703.28
Length  135/15, alignment  9/15, found:	799.156	826.016	1351.72
Length  135/15, alignment  9/15, fail:	1535.64	1572.27	1678.05
Length  135/15, alignment 15/ 0, found:	797.531	809.734	1496.59
Length  135/15, alignment 15/ 0, fail:	1554.36	1576.34	1652.84
Length  135/15, alignment 15/ 3, found:	798.344	825.188	1342.77
Length  135/15, alignment 15/ 3, fail:	1550.3	1581.22	1672.38
Length  135/15, alignment 15/ 9, found:	798.344	809.734	1349.28
Length  135/15, alignment 15/ 9, fail:	1541.34	1568.19	1685.39
Length  135/15, alignment 15/15, found:	798.344	817.062	1315.09
Length  135/15, alignment 15/15, fail:	1542.14	1587.72	1650.39
Length  150/15, alignment  0/ 0, found:	817.875	813.797	1472.98
Length  150/15, alignment  0/ 0, fail:	1715.5	1730.16	1858.72
Length  150/15, alignment  0/ 3, found:	811.359	834.969	1482.75
Length  150/15, alignment  0/ 3, fail:	1700.03	1748.05	1865.23
Length  150/15, alignment  0/ 9, found:	810.547	823.578	1496.58
Length  150/15, alignment  0/ 9, fail:	1699.22	1730.95	1868.5
Length  150/15, alignment  0/15, found:	817.875	830.078	1488.44
Length  150/15, alignment  0/15, fail:	1701.66	1744.78	1866.05
Length  150/15, alignment  3/ 0, found:	818.688	817.047	1468.11
Length  150/15, alignment  3/ 0, fail:	1680.5	1706.55	1856.28
Length  150/15, alignment  3/ 3, found:	813	836.578	1480.31
Length  150/15, alignment  3/ 3, fail:	1690.27	1724.45	1860.34
Length  150/15, alignment  3/ 9, found:	813.812	824.375	1490.08
Length  150/15, alignment  3/ 9, fail:	1679.69	1708.98	1862.8
Length  150/15, alignment  3/15, found:	821.938	828.438	1480.31
Length  150/15, alignment  3/15, fail:	1681.31	1722.83	1848.97
Length  150/15, alignment  9/ 0, found:	842.281	837.406	1468.91
Length  150/15, alignment  9/ 0, fail:	1679.69	1712.23	1856.28
Length  150/15, alignment  9/ 3, found:	834.141	871.594	1484.38
Length  150/15, alignment  9/ 3, fail:	1679.69	1726.06	1861.17
Length  150/15, alignment  9/ 9, found:	833.328	845.547	1494.14
Length  150/15, alignment  9/ 9, fail:	1684.56	1710.61	1867.67
Length  150/15, alignment  9/15, found:	842.297	851.234	1484.38
Length  150/15, alignment  9/15, fail:	1679.69	2159.83	1871.75
Length  150/15, alignment 15/ 0, found:	817.047	827.641	1455.89
Length  150/15, alignment 15/ 0, fail:	1682.12	1704.11	1845.7
Length  150/15, alignment 15/ 3, found:	816.234	839.031	1481.94
Length  150/15, alignment 15/ 3, fail:	1683.77	1719.58	1862.8
Length  150/15, alignment 15/ 9, found:	822.75	818.688	1482.75
Length  150/15, alignment 15/ 9, fail:	1677.25	1704.11	1854.66
Length  150/15, alignment 15/15, found:	824.375	833.328	1456.7
Length  150/15, alignment 15/15, fail:	1682.14	1717.94	1841.64
Length  165/15, alignment  0/ 0, found:	826.812	830.891	1597.48
Length  165/15, alignment  0/ 0, fail:	1829.42	1860.34	2040.2
Length  165/15, alignment  0/ 3, found:	827.625	844.734	1619.47
Length  165/15, alignment  0/ 3, fail:	1830.23	1874.19	2054.03
Length  165/15, alignment  0/ 9, found:	827.641	839.031	1628.42
Length  165/15, alignment  0/ 9, fail:	1825.36	1858.72	2057.3
Length  165/15, alignment  0/15, found:	834.953	845.531	1621.91
Length  165/15, alignment  0/15, fail:	1826.17	1870.92	2052.42
Length  165/15, alignment  3/ 0, found:	823.562	838.203	1600.75
Length  165/15, alignment  3/ 0, fail:	1800.95	1830.23	2036.95
Length  165/15, alignment  3/ 3, found:	845.531	842.281	1618.64
Length  165/15, alignment  3/ 3, fail:	1798.5	1845.7	2056.48
Length  165/15, alignment  3/ 9, found:	825.188	837.406	1629.22
Length  165/15, alignment  3/ 9, fail:	1804.2	1832.67	2056.48
Length  165/15, alignment  3/15, found:	833.328	842.297	1611.33
Length  165/15, alignment  3/15, fail:	1800.94	1844.08	2047.53
Length  165/15, alignment  9/ 0, found:	823.562	836.578	1602.38
Length  165/15, alignment  9/ 0, fail:	1809.08	1840	2033.7
Length  165/15, alignment  9/ 3, found:	831.719	842.281	1621.91
Length  165/15, alignment  9/ 3, fail:	1805	1845.7	2052.41
Length  165/15, alignment  9/ 9, found:	824.375	834.953	1628.42
Length  165/15, alignment  9/ 9, fail:	1984.86	1841.64	2058.11
Length  165/15, alignment  9/15, found:	823.562	849.609	1604
Length  165/15, alignment  9/15, fail:	1809.08	1853.02	2047.52
Length  165/15, alignment 15/ 0, found:	826.828	830.891	1595.06
Length  165/15, alignment 15/ 0, fail:	1801.77	1826.17	2027.17
Length  165/15, alignment 15/ 3, found:	826.828	854.484	1603.19
Length  165/15, alignment 15/ 3, fail:	1796.88	1838.38	2046.7
Length  165/15, alignment 15/ 9, found:	835.766	832.516	1615.41
Length  165/15, alignment 15/ 9, fail:	1797.69	1825.36	2050.78
Length  165/15, alignment 15/15, found:	827.641	853.688	1582.03
Length  165/15, alignment 15/15, fail:	1797.69	1839.19	2013.34
Length  180/15, alignment  0/ 0, found:	847.172	844.734	1739.09
Length  180/15, alignment  0/ 0, fail:	1953.12	2000.33	2221.69
Length  180/15, alignment  0/ 3, found:	840.656	864.25	1758.62
Length  180/15, alignment  0/ 3, fail:	1949.06	2001.14	2245.28
Length  180/15, alignment  0/ 9, found:	839.844	853.672	1764.31
Length  180/15, alignment  0/ 9, fail:	1951.5	1987.3	2244.45
Length  180/15, alignment  0/15, found:	839.031	865.078	1755.38
Length  180/15, alignment  0/15, fail:	1949.88	2001.95	2233.08
Length  180/15, alignment  3/ 0, found:	857.75	869.141	1730.95
Length  180/15, alignment  3/ 0, fail:	1951.5	1984.05	2218.42
Length  180/15, alignment  3/ 3, found:	865.875	875.656	1743.97
Length  180/15, alignment  3/ 3, fail:	1949.05	1996.25	2230.62
Length  180/15, alignment  3/ 9, found:	869.953	863.453	1752.11
Length  180/15, alignment  3/ 9, fail:	1953.12	1984.86	2234.7
Length  180/15, alignment  3/15, found:	869.953	876.469	1747.23
Length  180/15, alignment  3/15, fail:	1949.88	1997.88	2225.75
Length  180/15, alignment  9/ 0, found:	848.797	843.109	1912.44
Length  180/15, alignment  9/ 0, fail:	1941.73	1973.48	2220.05
Length  180/15, alignment  9/ 3, found:	849.609	857.75	1755.38
Length  180/15, alignment  9/ 3, fail:	1927.89	1984.05	2234.7
Length  180/15, alignment  9/ 9, found:	840.656	843.922	1751.3
Length  180/15, alignment  9/ 9, fail:	1932.78	1971.84	2246.09
Length  180/15, alignment  9/15, found:	841.469	865.062	1746.42
Length  180/15, alignment  9/15, fail:	1943.36	1984.06	2228.19
Length  180/15, alignment 15/ 0, found:	862.641	874.016	1729.33
Length  180/15, alignment 15/ 0, fail:	1971.84	2000.33	2211.09
Length  180/15, alignment 15/ 3, found:	862.625	885.422	1745.61
Length  180/15, alignment 15/ 3, fail:	1945	1990.56	2223.31
Length  180/15, alignment 15/ 9, found:	869.141	864.25	1747.23
Length  180/15, alignment 15/ 9, fail:	1944.19	1979.17	2233.89
Length  180/15, alignment 15/15, found:	869.953	878.906	1722
Length  180/15, alignment 15/15, fail:	1943.36	1993.81	2198.08
Length  195/15, alignment  0/ 0, found:	881.344	878.094	1871.75
Length  195/15, alignment  0/ 0, fail:	2119.14	2137.05	2408.05
Length  195/15, alignment  0/ 3, found:	882.969	890.297	1886.39
Length  195/15, alignment  0/ 3, fail:	2096.36	2150.06	2413.73
Length  195/15, alignment  0/ 9, found:	872.391	884.609	1883.12
Length  195/15, alignment  0/ 9, fail:	2095.55	2137.05	2424.31
Length  195/15, alignment  0/15, found:	873.203	898.438	1875
Length  195/15, alignment  0/15, fail:	2097.17	2150.06	2429.2
Length  195/15, alignment  3/ 0, found:	848.797	861	1864.41
Length  195/15, alignment  3/ 0, fail:	2078.45	2111.83	2402.34
Length  195/15, alignment  3/ 3, found:	856.125	865.062	1881.52
Length  195/15, alignment  3/ 3, fail:	2076.83	2304.69	2421.06
Length  195/15, alignment  3/ 9, found:	873.203	852.859	1884.77
Length  195/15, alignment  3/ 9, fail:	2076	2111.81	2416.98
Length  195/15, alignment  3/15, found:	847.984	874.828	1875
Length  195/15, alignment  3/15, fail:	2078.45	2124.84	2410.48
Length  195/15, alignment  9/ 0, found:	852.859	864.25	1870.11
Length  195/15, alignment  9/ 0, fail:	2062.98	2094.72	2413.73
Length  195/15, alignment  9/ 3, found:	853.672	878.906	1883.95
Length  195/15, alignment  9/ 3, fail:	2056.47	2110.19	2419.44
Length  195/15, alignment  9/ 9, found:	852.875	856.125	1888.02
Length  195/15, alignment  9/ 9, fail:	2055.67	2099.61	2428.38
Length  195/15, alignment  9/15, found:	862.625	869.141	1885.58
Length  195/15, alignment  9/15, fail:	2065.44	2108.56	2420.23
Length  195/15, alignment 15/ 0, found:	866.688	860.188	1861.17
Length  195/15, alignment 15/ 0, fail:	2072.77	2107.75	2399.08
Length  195/15, alignment 15/ 3, found:	865.891	877.266	1880.7
Length  195/15, alignment 15/ 3, fail:	2074.38	2122.39	2414.56
Length  195/15, alignment 15/ 9, found:	859.375	869.953	1883.95
Length  195/15, alignment 15/ 9, fail:	2071.94	2107.75	2431.64
Length  195/15, alignment 15/15, found:	858.562	883.781	1857.09
Length  195/15, alignment 15/15, fail:	2071.94	2121.58	2396.64
Length  210/15, alignment  0/ 0, found:	871.578	875.656	2005.2
Length  210/15, alignment  0/ 0, fail:	2244.47	2289.23	2591.14
Length  210/15, alignment  0/ 3, found:	879.719	889.484	2019.05
Length  210/15, alignment  0/ 3, fail:	2233.89	2303.88	2610.69
Length  210/15, alignment  0/ 9, found:	872.391	874.844	2025.56
Length  210/15, alignment  0/ 9, fail:	2416.19	2269.69	2618
Length  210/15, alignment  0/15, found:	870.766	896.797	2021.48
Length  210/15, alignment  0/15, fail:	2222.5	2281.09	2593.59
Length  210/15, alignment  3/ 0, found:	872.406	868.328	1999.52
Length  210/15, alignment  3/ 0, fail:	2207.03	2244.47	2584.64
Length  210/15, alignment  3/ 3, found:	864.266	891.125	2016.61
Length  210/15, alignment  3/ 3, fail:	2208.66	2275.39	2605.8
Length  210/15, alignment  3/ 9, found:	873.203	868.328	2023.11
Length  210/15, alignment  3/ 9, fail:	2208.66	2247.73	2612.3
Length  210/15, alignment  3/15, found:	865.078	892.734	2008.47
Length  210/15, alignment  3/15, fail:	2204.59	2259.11	2604.97
Length  210/15, alignment  9/ 0, found:	894.359	891.109	2003.58
Length  210/15, alignment  9/ 0, fail:	2211.11	2247.73	2591.14
Length  210/15, alignment  9/ 3, found:	886.219	912.266	2014.17
Length  210/15, alignment  9/ 3, fail:	2202.14	2259.12	2609.86
Length  210/15, alignment  9/ 9, found:	895.172	890.297	2033.69
Length  210/15, alignment  9/ 9, fail:	2202.95	2246.09	2617.19
Length  210/15, alignment  9/15, found:	886.234	912.281	2013.34
Length  210/15, alignment  9/15, fail:	2201.33	2260.73	2611.48
Length  210/15, alignment 15/ 0, found:	882.984	880.531	1996.27
Length  210/15, alignment 15/ 0, fail:	2209.47	2240.39	2584.64
Length  210/15, alignment 15/ 3, found:	875.656	900.078	2013.34
Length  210/15, alignment 15/ 3, fail:	2203.78	2254.23	2609.05
Length  210/15, alignment 15/ 9, found:	884.594	881.344	2021.48
Length  210/15, alignment 15/ 9, fail:	2199.7	2240.39	2789.72
Length  210/15, alignment 15/15, found:	877.281	903.328	1989.75
Length  210/15, alignment 15/15, fail:	2199.7	2259.11	2573.25
Length  225/15, alignment  0/ 0, found:	896.797	891.109	2139.48
Length  225/15, alignment  0/ 0, fail:	2352.7	2397.47	2794.61
Length  225/15, alignment  0/ 3, found:	889.5	904.141	2147.62
Length  225/15, alignment  0/ 3, fail:	2359.2	2413.73	2797.03
Length  225/15, alignment  0/ 9, found:	888.672	900.078	2152.5
Length  225/15, alignment  0/ 9, fail:	2356.77	2398.27	2801.92
Length  225/15, alignment  0/15, found:	888.672	913.891	2155.75
Length  225/15, alignment  0/15, fail:	2349.44	2419.44	2797.05
Length  225/15, alignment  3/ 0, found:	887.047	881.359	2136.23
Length  225/15, alignment  3/ 0, fail:	2330.73	2370.61	2774.25
Length  225/15, alignment  3/ 3, found:	884.594	894.375	2145.98
Length  225/15, alignment  3/ 3, fail:	2322.59	2383.62	2793.8
Length  225/15, alignment  3/ 9, found:	877.281	881.344	2156.58
Length  225/15, alignment  3/ 9, fail:	2329.92	2369.78	2797.05
Length  225/15, alignment  3/15, found:	878.094	906.578	2147.62
Length  225/15, alignment  3/15, fail:	2335.61	2383.62	2775.89
Length  225/15, alignment  9/ 0, found:	882.969	895.188	2136.23
Length  225/15, alignment  9/ 0, fail:	2333.98	2386.06	2788.08
Length  225/15, alignment  9/ 3, found:	892.734	900.875	2157.39
Length  225/15, alignment  9/ 3, fail:	2329.92	2390.95	2790.53
Length  225/15, alignment  9/ 9, found:	893.547	888.672	2157.38
Length  225/15, alignment  9/ 9, fail:	2331.55	2555.33	2805.98
Length  225/15, alignment  9/15, found:	896	900.891	2149.25
Length  225/15, alignment  9/15, fail:	2333.17	2390.14	2787.27
Length  225/15, alignment 15/ 0, found:	887.047	891.125	2137.05
Length  225/15, alignment 15/ 0, fail:	2333.98	2367.36	2775.06
Length  225/15, alignment 15/ 3, found:	888.672	915.531	2159.02
Length  225/15, alignment 15/ 3, fail:	2325.84	2379.56	2779.95
Length  225/15, alignment 15/ 9, found:	887.047	900.062	2149.25
Length  225/15, alignment 15/ 9, fail:	2326.66	2373.86	2786.47
Length  225/15, alignment 15/15, found:	896	904.953	2130.55
Length  225/15, alignment 15/15, fail:	2320.97	2381.19	2781.58
Length   32/16, alignment  0/ 0, found:	717.781	720.219	422.359
Length   32/16, alignment  0/ 0, fail:	717.781	725.094	439.453
Length   32/16, alignment  0/ 3, found:	717.766	745.438	413.406
Length   32/16, alignment  0/ 3, fail:	724.281	739.75	432.938
Length   32/16, alignment  0/ 9, found:	717.781	729.969	419.094
Length   32/16, alignment  0/ 9, fail:	723.469	725.906	430.516
Length   32/16, alignment  0/15, found:	716.953	735.688	405.266
Length   32/16, alignment  0/15, fail:	716.141	745.438	418.297
Length   32/16, alignment  3/ 0, found:	738.938	730.797	421.562
Length   32/16, alignment  3/ 0, fail:	717.781	729.984	424.812
Length   32/16, alignment  3/ 3, found:	737.312	746.25	407.719
Length   32/16, alignment  3/ 3, fail:	716.141	744.625	417.484
Length   32/16, alignment  3/ 9, found:	727.547	732.422	410.969
Length   32/16, alignment  3/ 9, fail:	715.328	723.469	428.875
Length   32/16, alignment  3/15, found:	729.984	748.703	397.125
Length   32/16, alignment  3/15, fail:	714.516	737.297	420.734
Length   32/16, alignment  9/ 0, found:	736.484	747.875	417.484
Length   32/16, alignment  9/ 0, fail:	729.969	729.172	439.453
Length   32/16, alignment  9/ 3, found:	734.859	762.531	410.156
Length   32/16, alignment  9/ 3, fail:	730.797	744.625	422.359
Length   32/16, alignment  9/ 9, found:	734.047	746.25	414.219
Length   32/16, alignment  9/ 9, fail:	721.844	729.984	427.25
Length   32/16, alignment  9/15, found:	742.188	754.391	414.234
Length   32/16, alignment  9/15, fail:	720.219	753.578	416.672
Length   32/16, alignment 15/ 0, found:	733.234	726.719	416.672
Length   32/16, alignment 15/ 0, fail:	711.25	725.906	417.484
Length   32/16, alignment 15/ 3, found:	730.797	741.375	401.219
Length   32/16, alignment 15/ 3, fail:	712.078	734.047	411.797
Length   32/16, alignment 15/ 9, found:	724.281	736.484	403.641
Length   32/16, alignment 15/ 9, fail:	718.594	718.594	424.797
Length   32/16, alignment 15/15, found:	904.125	751.953	376.797
Length   32/16, alignment 15/15, fail:	721.031	734.062	388.984
Length   48/16, alignment  0/ 0, found:	743	756.828	563.969
Length   48/16, alignment  0/ 0, fail:	846.359	849.609	642.094
Length   48/16, alignment  0/ 3, found:	742.188	770.672	562.344
Length   48/16, alignment  0/ 3, fail:	845.547	862.625	626.641
Length   48/16, alignment  0/ 9, found:	742.188	747.078	568.859
Length   48/16, alignment  0/ 9, fail:	834.953	859.375	633.141
Length   48/16, alignment  0/15, found:	751.141	762.531	563.156
Length   48/16, alignment  0/15, fail:	835.766	871.578	621.75
Length   48/16, alignment  3/ 0, found:	743.812	738.922	570.484
Length   48/16, alignment  3/ 0, fail:	857.75	877.281	629.062
Length   48/16, alignment  3/ 3, found:	735.672	753.578	555.828
Length   48/16, alignment  3/ 3, fail:	863.453	882.969	628.25
Length   48/16, alignment  3/ 9, found:	735.672	749.5	560.703
Length   48/16, alignment  3/ 9, fail:	864.25	869.141	633.141
Length   48/16, alignment  3/15, found:	736.5	763.344	547.688
Length   48/16, alignment  3/15, fail:	865.062	882.172	614.422
Length   48/16, alignment  9/ 0, found:	751.141	746.25	568.031
Length   48/16, alignment  9/ 0, fail:	865.078	888.672	633.141
Length   48/16, alignment  9/ 3, found:	751.953	762.531	568.844
Length   48/16, alignment  9/ 3, fail:	866.703	900.062	625
Length   48/16, alignment  9/ 9, found:	742.188	747.078	576.172
Length   48/16, alignment  9/ 9, fail:	863.438	880.531	629.078
Length   48/16, alignment  9/15, found:	743	770.672	554.188
Length   48/16, alignment  9/15, fail:	870.766	889.5	628.25
Length   48/16, alignment 15/ 0, found:	738.922	753.578	555.828
Length   48/16, alignment 15/ 0, fail:	860.188	864.266	635.578
Length   48/16, alignment 15/ 3, found:	738.125	756.828	546.875
Length   48/16, alignment 15/ 3, fail:	852.859	886.219	615.234
Length   48/16, alignment 15/ 9, found:	747.078	742.188	553.391
Length   48/16, alignment 15/ 9, fail:	852.047	872.406	625
Length   48/16, alignment 15/15, found:	746.25	755.219	532.219
Length   48/16, alignment 15/15, fail:	852.875	885.422	587.562
Length   64/16, alignment  0/ 0, found:	762.531	761.719	712.891
Length   64/16, alignment  0/ 0, fail:	960.297	977.375	839.844
Length   64/16, alignment  0/ 3, found:	758.469	775.547	704.75
Length   64/16, alignment  0/ 3, fail:	950.531	998.531	823.562
Length   64/16, alignment  0/ 9, found:	757.656	760.906	709.625
Length   64/16, alignment  0/ 9, fail:	957.031	975.75	834.969
Length   64/16, alignment  0/15, found:	757.656	783.688	697.438
Length   64/16, alignment  0/15, fail:	951.344	1009.94	807.281
Length   64/16, alignment  3/ 0, found:	761.719	755.203	712.891
Length   64/16, alignment  3/ 0, fail:	998.531	1008.31	828.453
Length   64/16, alignment  3/ 3, found:	750.328	777.172	697.422
Length   64/16, alignment  3/ 3, fail:	988.781	1027.02	809.719
Length   64/16, alignment  3/ 9, found:	759.281	755.219	712.891
Length   64/16, alignment  3/ 9, fail:	998.531	1005.05	827.641
Length   64/16, alignment  3/15, found:	751.953	777.188	690.109
Length   64/16, alignment  3/15, fail:	1174.33	1031.91	804.844
Length   64/16, alignment  9/ 0, found:	760.906	772.297	709.625
Length   64/16, alignment  9/ 0, fail:	1005.86	1014.81	829.266
Length   64/16, alignment  9/ 3, found:	767.406	777.984	714.516
Length   64/16, alignment  9/ 3, fail:	995.281	1024.58	826.016
Length   64/16, alignment  9/ 9, found:	758.453	769.859	706.391
Length   64/16, alignment  9/ 9, fail:	1005.86	1020.52	820.312
Length   64/16, alignment  9/15, found:	765.781	777.984	703.938
Length   64/16, alignment  9/15, fail:	996.906	1025.39	815.422
Length   64/16, alignment 15/ 0, found:	752.766	767.422	698.234
Length   64/16, alignment 15/ 0, fail:	1000.98	1013.19	808.109
Length   64/16, alignment 15/ 3, found:	762.531	772.297	699.047
Length   64/16, alignment 15/ 3, fail:	985.516	1017.25	809.734
Length   64/16, alignment 15/ 9, found:	753.594	766.609	695
Length   64/16, alignment 15/ 9, fail:	992.844	1011.55	808.109
Length   64/16, alignment 15/15, found:	760.906	773.938	673.016
Length   64/16, alignment 15/15, fail:	985.516	1013.17	787.766
Length   80/16, alignment  0/ 0, found:	771.484	785.312	852.875
Length   80/16, alignment  0/ 0, fail:	1073.41	1090.48	1023.77
Length   80/16, alignment  0/ 3, found:	772.297	791.828	845.547
Length   80/16, alignment  0/ 3, fail:	1067.7	1105.14	1016.44
Length   80/16, alignment  0/ 9, found:	780.438	777.188	859.375
Length   80/16, alignment  0/ 9, fail:	1066.08	1082.36	1028.64
Length   80/16, alignment  0/15, found:	781.25	791.016	847.984
Length   80/16, alignment  0/15, fail:	1062.81	1103.52	1034.34
Length   80/16, alignment  3/ 0, found:	764.984	778.812	846.344
Length   80/16, alignment  3/ 0, fail:	1120.61	1149.08	1022.95
Length   80/16, alignment  3/ 3, found:	766.594	793.469	839.031
Length   80/16, alignment  3/ 3, fail:	1136.88	1165.38	1008.3
Length   80/16, alignment  3/ 9, found:	769.031	778	843.906
Length   80/16, alignment  3/ 9, fail:	1130.38	1148.27	1013.19
Length   80/16, alignment  3/15, found:	775.562	784.5	839.031
Length   80/16, alignment  3/15, fail:	1129.56	1156.41	996.906
Length   80/16, alignment  9/ 0, found:	782.875	777.188	859.375
Length   80/16, alignment  9/ 0, fail:	1139.33	1148.27	1028.64
Length   80/16, alignment  9/ 3, found:	781.25	794.266	852.875
Length   80/16, alignment  9/ 3, fail:	1126.31	1162.92	1022.95
Length   80/16, alignment  9/ 9, found:	773.109	776.359	848.797
Length   80/16, alignment  9/ 9, fail:	1127.11	1155.59	1013.19
Length   80/16, alignment  9/15, found:	773.922	800.781	837.406
Length   80/16, alignment  9/15, fail:	1127.12	1167.81	1000.98
Length   80/16, alignment 15/ 0, found:	770.672	779.625	838.219
Length   80/16, alignment 15/ 0, fail:	1124.67	1145.02	1004.23
Length   80/16, alignment 15/ 3, found:	767.422	974.938	833.344
Length   80/16, alignment 15/ 3, fail:	1127.11	1160.48	995.281
Length   80/16, alignment 15/ 9, found:	779.625	773.109	846.344
Length   80/16, alignment 15/ 9, fail:	1123.86	1133.62	1001.8
Length   80/16, alignment 15/15, found:	776.359	785.328	812.984
Length   80/16, alignment 15/15, fail:	1124.69	1149.91	983.062
Length   96/16, alignment  0/ 0, found:	799.156	791.016	1013.19
Length   96/16, alignment  0/ 0, fail:	1163.73	1190.59	1232.09
Length   96/16, alignment  0/ 3, found:	795.891	806.484	1011.55
Length   96/16, alignment  0/ 3, fail:	1167.8	1205.25	1223.14
Length   96/16, alignment  0/ 9, found:	798.344	791.016	1016.44
