                       	strstr	simple_strstr	stupid_strstr
Length   12/2, alignment  3/15, found:	217.297	257.156	227.859
Length   12/2, alignment  3/15, fail:	124.516	118	229.484
Length   12/2, alignment  9/ 0, found:	231.938	246.578	221.344
Length   12/2, alignment  9/ 0, fail:	122.891	119.625	229.5
Length   12/2, alignment  9/ 3, found:	230.312	267.734	231.125
Length   12/2, alignment  9/ 3, fail:	122.875	119.625	227.859
Length   12/2, alignment  9/ 9, found:	231.938	245.766	220.531
Length   12/2, alignment  9/ 9, fail:	122.062	127.766	228.672
Length   12/2, alignment  9/15, found:	229.484	269.359	230.297
Length   12/2, alignment  9/15, fail:	121.25	118.812	225.422
Length   12/2, alignment 15/ 0, found:	218.906	233.562	208.328
Length   12/2, alignment 15/ 0, fail:	122.891	127.766	213.219
Length   12/2, alignment 15/ 3, found:	229.484	254.719	214.031
Length   12/2, alignment 15/ 3, fail:	122.891	119.625	209.141
Length   12/2, alignment 15/ 9, found:	226.234	234.375	206.719
Length   12/2, alignment 15/ 9, fail:	122.891	118.812	211.594
Length   12/2, alignment 15/15, found:	218.109	257.156	215.656
Length   12/2, alignment 15/15, fail:	122.062	119.625	209.969
Length   14/2, alignment  0/ 0, found:	244.141	249.828	244.141
Length   14/2, alignment  0/ 0, fail:	130.203	125.328	248.219
Length   14/2, alignment  0/ 3, found:	233.562	271	253.094
Length   14/2, alignment  0/ 3, fail:	126.953	124.5	253.906
Length   14/2, alignment  0/ 9, found:	244.141	248.203	243.328
Length   14/2, alignment  0/ 9, fail:	128.578	133.469	249.016
Length   14/2, alignment  0/15, found:	234.375	271.812	252.266
Length   14/2, alignment  0/15, fail:	126.953	122.891	246.578
Length   14/2, alignment  3/ 0, found:	247.391	262.047	244.141
Length   14/2, alignment  3/ 0, fail:	130.219	129.391	248.203
Length   14/2, alignment  3/ 3, found:	246.578	281.578	244.141
Length   14/2, alignment  3/ 3, fail:	131.016	129.391	251.469
Length   14/2, alignment  3/ 9, found:	247.406	262.859	244.953
Length   14/2, alignment  3/ 9, fail:	139.156	127.766	252.281
Length   14/2, alignment  3/15, found:	246.578	293.781	244.141
Length   14/2, alignment  3/15, fail:	129.391	128.578	256.344
Length   14/2, alignment  9/ 0, found:	234.375	249.031	243.328
Length   14/2, alignment  9/ 0, fail:	127.766	123.703	248.203
Length   14/2, alignment  9/ 3, found:	234.375	271	244.141
Length   14/2, alignment  9/ 3, fail:	128.578	124.5	258.797
Length   14/2, alignment  9/ 9, found:	233.562	249.844	244.953
Length   14/2, alignment  9/ 9, fail:	126.953	123.688	249.031
Length   14/2, alignment  9/15, found:	236.812	271.812	242.516
Length   14/2, alignment  9/15, fail:	126.953	125.312	247.406
Length   14/2, alignment 15/ 0, found:	244.953	262.047	223.797
Length   14/2, alignment 15/ 0, fail:	126.953	125.328	228.672
Length   14/2, alignment 15/ 3, found:	254.719	282.391	222.156
Length   14/2, alignment 15/ 3, fail:	127.766	123.703	227.062
Length   14/2, alignment 15/ 9, found:	244.953	262.047	231.125
Length   14/2, alignment 15/ 9, fail:	127.766	124.516	227.859
Length   14/2, alignment 15/15, found:	255.531	284.016	220.531
Length   14/2, alignment 15/15, fail:	130.219	132.656	227.047
Length   16/2, alignment  0/ 0, found:	239.266	253.094	275.875
Length   16/2, alignment  0/ 0, fail:	138.359	137.531	271
Length   16/2, alignment  0/ 3, found:	238.438	275.875	268.547
Length   16/2, alignment  0/ 3, fail:	137.531	135.078	275.891
Length   16/2, alignment  0/ 9, found:	240.891	266.938	266.938
Length   16/2, alignment  0/ 9, fail:	137.531	136.719	280.766
Length   16/2, alignment  0/15, found:	241.688	278.328	266.938
Length   16/2, alignment  0/15, fail:	137.531	136.719	272.625
