                    	memrchr	simple_memrchr
Length  256, position    7, alignment  7:	494.797	878.906
Length    2, position    1, alignment  0:	44.7656	42.3281
Length    2, position    1, alignment  0:	45.5781	41.5
Length    2, position    1, alignment  1:	45.5781	42.3125
Length    2, position    1, alignment  1:	45.5625	41.5
Length    2, position    1, alignment  0:	44.7656	41.5
Length    2, position    2, alignment  0:	56.9688	47.2031
Length    3, position    2, alignment  0:	44.75	42.3125
Length    3, position    2, alignment  0:	44.7656	40.6875
Length    3, position    2, alignment  2:	44.7656	39.875
Length    3, position    2, alignment  2:	44.75	42.3125
Length    3, position    1, alignment  0:	49.6406	48.0156
Length    3, position    2, alignment  0:	45.5625	41.5
Length    4, position    3, alignment  0:	54.5312	40.7031
Length    4, position    3, alignment  0:	54.5156	41.5
Length    4, position    3, alignment  3:	47.2031	42.3281
Length    4, position    3, alignment  3:	44.75	40.6875
Length    4, position    1, alignment  0:	60.2188	52.9062
Length    4, position    2, alignment  0:	58.5938	48.8281
Length    5, position    4, alignment  0:	45.5781	40.6875
Length    5, position    4, alignment  0:	44.75	41.5156
Length    5, position    4, alignment  4:	44.75	41.5156
Length    5, position    4, alignment  4:	44.7656	40.6875
Length    5, position    1, alignment  0:	65.1094	56.9688
Length    5, position    2, alignment  0:	61.8594	52.0781
Length    6, position    5, alignment  0:	45.5781	42.3125
Length    6, position    5, alignment  0:	44.7656	41.5
Length    6, position    5, alignment  5:	45.5625	42.3125
Length    6, position    5, alignment  5:	44.7656	41.5
Length    6, position    1, alignment  0:	71.6094	57.7812
Length    6, position    2, alignment  0:	65.9219	55.3438
Length    7, position    6, alignment  0:	45.5781	41.5
Length    7, position    6, alignment  0:	44.7656	41.5
Length    7, position    6, alignment  6:	45.5781	41.5156
Length    7, position    6, alignment  6:	46.3906	40.6875
Length    7, position    1, alignment  0:	79.75	67.5469
Length    7, position    2, alignment  0:	78.9375	58.5938
Length    8, position    7, alignment  0:	55.3281	42.3125
Length    8, position    7, alignment  0:	53.7188	41.5
Length    8, position    7, alignment  7:	45.5625	41.5
Length    8, position    7, alignment  7:	44.7656	40.6875
Length    8, position    1, alignment  0:	67.5469	72.4219
Length    8, position    2, alignment  0:	63.4844	68.3594
Length    9, position    8, alignment  0:	44.7656	41.5156
Length    9, position    8, alignment  0:	45.5781	40.6875
Length    9, position    8, alignment  0:	45.5781	41.5156
Length    9, position    8, alignment  0:	44.7656	41.5
Length    9, position    1, alignment  0:	72.4375	74.8594
Length    9, position    2, alignment  0:	70.7969	72.4219
Length   10, position    9, alignment  0:	44.7656	41.5
Length   10, position    9, alignment  0:	44.75	41.5
Length   10, position    9, alignment  1:	44.7656	40.6875
Length   10, position    9, alignment  1:	43.9375	40.6875
Length   10, position    1, alignment  0:	77.2969	78.125
Length   10, position    2, alignment  0:	74.875	76.5
Length   11, position   10, alignment  0:	45.5781	42.3125
Length   11, position   10, alignment  0:	45.5781	42.3281
Length   11, position   10, alignment  2:	45.5781	42.3125
Length   11, position   10, alignment  2:	45.5781	41.5156
Length   11, position    1, alignment  0:	85.4531	81.375
Length   11, position    2, alignment  0:	81.375	78.125
Length   12, position   11, alignment  0:	54.5312	41.5
Length   12, position   11, alignment  0:	53.7031	40.6875
Length   12, position   11, alignment  3:	44.7656	41.5
Length   12, position   11, alignment  3:	44.7656	40.6875
Length   12, position    1, alignment  0:	76.5	86.2656
Length   12, position    2, alignment  0:	69.9844	80.5781
Length   13, position   12, alignment  0:	44.7656	41.5156
Length   13, position   12, alignment  0:	46.3906	41.5156
Length   13, position   12, alignment  4:	46.3906	40.7031
Length   13, position   12, alignment  4:	43.9531	40.6875
Length   13, position    1, alignment  0:	83.8125	88.7031
Length   13, position    2, alignment  0:	79.75	85.4531
Length   14, position   13, alignment  0:	45.5781	41.5
Length   14, position   13, alignment  0:	45.5781	40.6875
Length   14, position   13, alignment  5:	44.7656	40.7031
Length   14, position   13, alignment  5:	45.5781	40.6875
Length   14, position    1, alignment  0:	87.8906	92.7656
Length   14, position    2, alignment  0:	86.2656	88.7031
Length   15, position   14, alignment  0:	44.7656	42.3125
Length   15, position   14, alignment  0:	44.7656	41.5156
Length   15, position   14, alignment  6:	44.75	41.5156
Length   15, position   14, alignment  6:	45.5781	41.5
Length   15, position    1, alignment  0:	94.3906	96.0312
Length   15, position    2, alignment  0:	90.3281	91.1406
Length   16, position   15, alignment  0:	55.3438	41.5
Length   16, position   15, alignment  0:	55.3281	42.3125
Length   16, position   15, alignment  7:	45.5781	41.5156
Length   16, position   15, alignment  7:	45.5781	43.1406
Length   16, position    1, alignment  0:	85.4531	97.6562
Length   16, position    2, alignment  0:	82.1875	94.4062
Length   17, position   16, alignment  0:	45.5781	41.5
Length   17, position   16, alignment  0:	46.3906	41.5
Length   17, position   16, alignment  0:	45.5781	41.5
Length   17, position   16, alignment  0:	45.5781	41.5
Length   17, position    1, alignment  0:	92.7812	102.531
Length   17, position    2, alignment  0:	90.3281	97.6562
Length   18, position   17, alignment  0:	45.5781	40.6875
Length   18, position   17, alignment  0:	45.5625	41.5
Length   18, position   17, alignment  1:	46.3906	39.875
Length   18, position   17, alignment  1:	44.7656	40.6875
Length   18, position    1, alignment  0:	98.4688	105.797
Length   18, position    2, alignment  0:	95.2188	100.906
Length   19, position   18, alignment  0:	44.75	41.5
Length   19, position   18, alignment  0:	45.5781	40.6875
Length   19, position   18, alignment  2:	44.7656	41.5
Length   19, position   18, alignment  2:	44.7656	40.6875
Length   19, position    1, alignment  0:	103.344	109.047
Length   19, position    2, alignment  0:	100.109	104.969
Length   20, position   19, alignment  0:	55.3281	41.5
Length   20, position   19, alignment  0:	53.7188	41.5
Length   20, position   19, alignment  3:	44.75	41.5156
Length   20, position   19, alignment  3:	45.5781	41.5
Length   20, position    1, alignment  0:	91.9531	111.5
Length   20, position    2, alignment  0:	88.7031	108.234
Length   21, position   20, alignment  0:	45.5781	41.5
Length   21, position   20, alignment  0:	45.5625	42.3125
Length   21, position   20, alignment  4:	45.5781	42.3125
Length   21, position   20, alignment  4:	44.7656	40.6875
Length   21, position    1, alignment  0:	100.094	115.562
Length   21, position    2, alignment  0:	97.6562	111.5
Length   22, position   21, alignment  0:	44.75	40.6875
Length   22, position   21, alignment  0:	45.5781	41.5
Length   22, position   21, alignment  5:	44.75	41.5
Length   22, position   21, alignment  5:	44.7656	40.6875
Length   22, position    1, alignment  0:	105.797	118.812
Length   22, position    2, alignment  0:	101.719	114.734
Length   23, position   22, alignment  0:	44.7656	41.5
Length   23, position   22, alignment  0:	45.5781	42.3281
Length   23, position   22, alignment  6:	44.75	41.5
Length   23, position   22, alignment  6:	45.5781	40.6875
Length   23, position    1, alignment  0:	109.859	120.438
Length   23, position    2, alignment  0:	105.797	118.812
Length   24, position   23, alignment  0:	54.5156	41.5
Length   24, position   23, alignment  0:	54.5312	41.5
Length   24, position   23, alignment  7:	45.5781	40.7031
Length   24, position   23, alignment  7:	46.3906	42.3281
Length   24, position    1, alignment  0:	104.984	124.516
Length   24, position    2, alignment  0:	101.734	122.078
Length   25, position   24, alignment  0:	45.5781	41.5
Length   25, position   24, alignment  0:	44.75	41.5156
Length   25, position   24, alignment  0:	44.7656	42.3281
Length   25, position   24, alignment  0:	45.5781	41.5156
Length   25, position    1, alignment  0:	113.109	129.391
Length   25, position    2, alignment  0:	110.688	124.516
Length   26, position   25, alignment  0:	44.7656	41.5
Length   26, position   25, alignment  0:	44.75	40.6875
Length   26, position   25, alignment  1:	44.7656	39.8906
Length   26, position   25, alignment  1:	44.75	41.5
Length   26, position    1, alignment  0:	119.625	131.828
Length   26, position    2, alignment  0:	115.562	128.578
Length   27, position   26, alignment  0:	44.7656	41.5156
Length   27, position   26, alignment  0:	44.75	42.3125
Length   27, position   26, alignment  2:	44.75	41.5156
Length   27, position   26, alignment  2:	45.5625	41.5
Length   27, position    1, alignment  0:	122.891	134.266
