                       	oldstrsep	strsep	simple_strsep
Length   64/16, alignment  0/ 9, found:	450.031	438.641	2289.23
Length   64/16, alignment  0/ 9, fail:	524.094	510.25	4471.02
Length   64/16, alignment  0/15, found:	451.656	438.641	2276.2
Length   64/16, alignment  0/15, fail:	523.266	510.266	4456.38
Length   64/16, alignment  3/ 0, found:	450.844	438.625	2292.47
Length   64/16, alignment  3/ 0, fail:	523.266	509.438	4472.66
Length   64/16, alignment  3/ 3, found:	441.891	427.234	2282.72
Length   64/16, alignment  3/ 3, fail:	522.469	511.062	4466.16
Length   64/16, alignment  3/ 9, found:	438.641	428.062	2288.41
Length   64/16, alignment  3/ 9, fail:	523.266	512.703	4469.41
Length   64/16, alignment  3/15, found:	450.844	438.641	2273.75
Length   64/16, alignment  3/15, fail:	522.469	508.625	4454.77
Length   64/16, alignment  9/ 0, found:	450.031	438.641	2292.48
Length   64/16, alignment  9/ 0, fail:	524.094	510.266	4474.28
Length   64/16, alignment  9/ 3, found:	449.219	427.234	2283.53
Length   64/16, alignment  9/ 3, fail:	522.469	511.062	4637.05
Length   64/16, alignment  9/ 9, found:	451.656	439.453	2287.59
Length   64/16, alignment  9/ 9, fail:	522.469	509.453	4471.84
Length   64/16, alignment  9/15, found:	450.031	438.641	2276.2
Length   64/16, alignment  9/15, fail:	523.281	509.438	4448.25
Length   64/16, alignment 15/ 0, found:	450.031	437.828	2291.67
Length   64/16, alignment 15/ 0, fail:	522.469	511.062	4475.09
Length   64/16, alignment 15/ 3, found:	438.641	428.062	2284.34
Length   64/16, alignment 15/ 3, fail:	523.281	511.078	4465.33
Length   64/16, alignment 15/ 9, found:	450.844	426.438	2288.41
Length   64/16, alignment 15/ 9, fail:	524.906	510.25	4470.2
Length   64/16, alignment 15/15, found:	450.031	426.438	2277.02
Length   64/16, alignment 15/15, fail:	524.078	510.25	4448.23
Length   80/16, alignment  0/ 0, found:	464.672	453.281	2845.88
Length   80/16, alignment  0/ 0, fail:	559.094	546.062	5560.72
Length   80/16, alignment  0/ 3, found:	463.875	451.672	2838.55
Length   80/16, alignment  0/ 3, fail:	559.891	546.875	5554.2
Length   80/16, alignment  0/ 9, found:	467.125	455.734	2843.42
Length   80/16, alignment  0/ 9, fail:	559.078	546.062	5559.08
Length   80/16, alignment  0/15, found:	463.062	453.297	2822.27
Length   80/16, alignment  0/15, fail:	560.703	547.688	5538.73
Length   80/16, alignment  3/ 0, found:	464.688	456.547	2847.5
Length   80/16, alignment  3/ 0, fail:	559.078	546.062	5562.34
Length   80/16, alignment  3/ 3, found:	467.125	455.734	2838.55
Length   80/16, alignment  3/ 3, fail:	559.906	546.875	5554.2
Length   80/16, alignment  3/ 9, found:	467.938	455.734	2842.61
Length   80/16, alignment  3/ 9, fail:	558.266	546.875	5558.28
Length   80/16, alignment  3/15, found:	467.125	455.734	2821.45
Length   80/16, alignment  3/15, fail:	733.234	548.5	5537.92
Length   80/16, alignment  9/ 0, found:	463.875	452.484	2845.06
Length   80/16, alignment  9/ 0, fail:	559.891	546.875	5560.72
Length   80/16, alignment  9/ 3, found:	463.875	452.484	2837.73
Length   80/16, alignment  9/ 3, fail:	559.078	546.875	5554.2
Length   80/16, alignment  9/ 9, found:	464.672	452.484	2844.23
Length   80/16, alignment  9/ 9, fail:	560.703	546.875	5558.27
Length   80/16, alignment  9/15, found:	463.047	455.734	2820.64
Length   80/16, alignment  9/15, fail:	560.703	546.875	5537.11
Length   80/16, alignment 15/ 0, found:	463.062	452.484	2846.69
Length   80/16, alignment 15/ 0, fail:	559.906	546.875	5562.33
Length   80/16, alignment 15/ 3, found:	464.672	453.297	2838.55
Length   80/16, alignment 15/ 3, fail:	561.531	546.875	5553.39
Length   80/16, alignment 15/ 9, found:	464.688	451.656	2843.44
Length   80/16, alignment 15/ 9, fail:	559.078	546.062	5559.08
Length   80/16, alignment 15/15, found:	467.938	455.734	2820.64
Length   80/16, alignment 15/15, fail:	558.266	547.688	5536.3
Length   96/16, alignment  0/ 0, found:	486.656	474.438	3391.11
Length   96/16, alignment  0/ 0, fail:	597.328	583.5	6650.39
Length   96/16, alignment  0/ 3, found:	485.844	474.438	3381.34
Length   96/16, alignment  0/ 3, fail:	596.516	582.688	6642.25
Length   96/16, alignment  0/ 9, found:	485.844	473.625	3387.05
Length   96/16, alignment  0/ 9, fail:	597.328	582.688	6647.12
Length   96/16, alignment  0/15, found:	485.828	474.438	3366.69
Length   96/16, alignment  0/15, fail:	596.516	584.312	6796.88
Length   96/16, alignment  3/ 0, found:	486.656	474.438	3390.3
Length   96/16, alignment  3/ 0, fail:	597.328	583.5	6650.39
Length   96/16, alignment  3/ 3, found:	485.031	474.453	3382.17
Length   96/16, alignment  3/ 3, fail:	596.516	584.312	6641.44
Length   96/16, alignment  3/ 9, found:	485.828	474.453	3387.05
Length   96/16, alignment  3/ 9, fail:	596.516	583.5	6647.94
Length   96/16, alignment  3/15, found:	485.844	475.266	3365.08
Length   96/16, alignment  3/15, fail:	596.516	584.312	6625.98
Length   96/16, alignment  9/ 0, found:	485.031	474.453	3389.48
Length   96/16, alignment  9/ 0, fail:	594.891	584.297	6650.39
Length   96/16, alignment  9/ 3, found:	485.031	474.453	3382.16
Length   96/16, alignment  9/ 3, fail:	596.531	583.5	6643.06
Length   96/16, alignment  9/ 9, found:	485.844	473.625	3386.23
Length   96/16, alignment  9/ 9, fail:	595.703	584.312	6647.95
Length   96/16, alignment  9/15, found:	485.844	474.438	3365.88
Length   96/16, alignment  9/15, fail:	595.703	582.688	6625.97
Length   96/16, alignment 15/ 0, found:	486.641	473.641	3390.3
Length   96/16, alignment 15/ 0, fail:	596.516	582.688	6649.58
Length   96/16, alignment 15/ 3, found:	485.844	473.625	3382.16
Length   96/16, alignment 15/ 3, fail:	596.516	583.5	6643.06
Length   96/16, alignment 15/ 9, found:	485.844	473.641	3388.67
Length   96/16, alignment 15/ 9, fail:	595.703	582.688	6818.86
Length   96/16, alignment 15/15, found:	486.656	475.266	3367.52
Length   96/16, alignment 15/15, fail:	596.516	583.5	6625.97
Length  112/16, alignment  0/ 0, found:	504.547	492.344	3935.55
Length  112/16, alignment  0/ 0, fail:	633.141	622.562	7737.64
Length  112/16, alignment  0/ 3, found:	504.562	492.344	3928.22
Length  112/16, alignment  0/ 3, fail:	633.141	620.922	7730.31
Length  112/16, alignment  0/ 9, found:	504.562	493.172	3932.3
Length  112/16, alignment  0/ 9, fail:	633.938	619.297	7736
Length  112/16, alignment  0/15, found:	503.75	493.172	3910.33
Length  112/16, alignment  0/15, fail:	633.141	619.312	7714.84
Length  112/16, alignment  3/ 0, found:	505.359	493.156	3935.55
Length  112/16, alignment  3/ 0, fail:	633.953	621.734	7738.44
Length  112/16, alignment  3/ 3, found:	504.562	492.344	3928.22
Length  112/16, alignment  3/ 3, fail:	633.141	620.109	7731.12
Length  112/16, alignment  3/ 9, found:	504.562	491.547	3932.3
Length  112/16, alignment  3/ 9, fail:	633.141	621.75	7736
Length  112/16, alignment  3/15, found:	502.938	492.344	3911.14
Length  112/16, alignment  3/15, fail:	633.141	620.125	7714.03
Length  112/16, alignment  9/ 0, found:	504.562	492.359	3934.73
Length  112/16, alignment  9/ 0, fail:	633.953	619.297	7737.62
Length  112/16, alignment  9/ 3, found:	504.547	494.797	3926.61
Length  112/16, alignment  9/ 3, fail:	633.141	620.109	7730.3
Length  112/16, alignment  9/ 9, found:	503.734	492.344	3933.11
Length  112/16, alignment  9/ 9, fail:	632.328	620.109	7736.81
Length  112/16, alignment  9/15, found:	503.75	493.156	3910.33
Length  112/16, alignment  9/15, fail:	633.141	621.75	7714.03
Length  112/16, alignment 15/ 0, found:	503.75	492.344	3934.73
Length  112/16, alignment 15/ 0, fail:	633.141	620.109	7739.25
Length  112/16, alignment 15/ 3, found:	503.75	492.359	3927.41
Length  112/16, alignment 15/ 3, fail:	632.312	620.109	7731.12
Length  112/16, alignment 15/ 9, found:	504.562	492.344	3931.47
Length  112/16, alignment 15/ 9, fail:	633.125	620.109	7736
Length  112/16, alignment 15/15, found:	503.734	492.344	3910.31
Length  112/16, alignment 15/15, fail:	631.516	620.125	7714.84
Length   68/17, alignment  0/ 0, found:	442.703	430.5	2551.27
Length   68/17, alignment  0/ 0, fail:	537.109	523.266	4971.52
Length   68/17, alignment  0/ 3, found:	441.891	431.312	2543.95
Length   68/17, alignment  0/ 3, fail:	536.297	523.281	4965
Length   68/17, alignment  0/ 9, found:	454.094	430.5	2548.83
Length   68/17, alignment  0/ 9, fail:	537.109	523.266	4969.08
Length   68/17, alignment  0/15, found:	442.719	431.312	2530.92
Length   68/17, alignment  0/15, fail:	534.656	524.094	4952.8
Length   68/17, alignment  3/ 0, found:	454.922	439.453	2726.25
Length   68/17, alignment  3/ 0, fail:	539.547	524.094	4972.33
Length   68/17, alignment  3/ 3, found:	451.672	442.719	2544.75
Length   68/17, alignment  3/ 3, fail:	537.109	524.094	4965.02
Length   68/17, alignment  3/ 9, found:	450.859	440.266	2548.02
Length   68/17, alignment  3/ 9, fail:	536.297	524.078	4968.25
Length   68/17, alignment  3/15, found:	452.469	441.078	2530.92
Length   68/17, alignment  3/15, fail:	537.109	524.094	4951.98
Length   68/17, alignment  9/ 0, found:	455.734	442.703	2551.27
Length   68/17, alignment  9/ 0, fail:	536.297	524.094	4972.33
Length   68/17, alignment  9/ 3, found:	454.094	431.312	2543.95
Length   68/17, alignment  9/ 3, fail:	536.297	524.094	4963.38
Length   68/17, alignment  9/ 9, found:	454.109	442.703	2548.83
Length   68/17, alignment  9/ 9, fail:	536.297	523.281	4970.7
Length   68/17, alignment  9/15, found:	454.109	443.531	2530.92
Length   68/17, alignment  9/15, fail:	536.297	524.094	4951.17
Length   68/17, alignment 15/ 0, found:	463.047	450.031	2552.08
Length   68/17, alignment 15/ 0, fail:	536.297	523.281	4973.14
Length   68/17, alignment 15/ 3, found:	454.094	441.078	2543.95
Length   68/17, alignment 15/ 3, fail:	537.109	523.266	4965.81
Length   68/17, alignment 15/ 9, found:	462.234	451.656	2550.45
Length   68/17, alignment 15/ 9, fail:	536.297	523.281	4969.08
Length   68/17, alignment 15/15, found:	463.062	450.844	2530.92
Length   68/17, alignment 15/15, fail:	537.109	524.094	4951.98
Length   85/17, alignment  0/ 0, found:	472	460.609	3121.75
Length   85/17, alignment  0/ 0, fail:	572.094	560.719	6184.91
Length   85/17, alignment  0/ 3, found:	467.938	458.172	3115.23
Length   85/17, alignment  0/ 3, fail:	573.719	559.078	6348.47
Length   85/17, alignment  0/ 9, found:	473.641	461.422	3118.48
Length   85/17, alignment  0/ 9, fail:	572.922	560.703	6182.45
Length   85/17, alignment  0/15, found:	471.188	459.797	3101.41
Length   85/17, alignment  0/15, fail:	573.734	560.703	6163.75
Length   85/17, alignment  3/ 0, found:	480.141	468.75	3121.75
Length   85/17, alignment  3/ 0, fail:	582.688	569.656	6185.7
Length   85/17, alignment  3/ 3, found:	480.969	470.375	3113.61
Length   85/17, alignment  3/ 3, fail:	581.859	569.672	6177.58
Length   85/17, alignment  3/ 9, found:	481.781	468.75	3118.5
Length   85/17, alignment  3/ 9, fail:	581.875	568.844	6183.27
Length   85/17, alignment  3/15, found:	480.953	469.562	3107.09
Length   85/17, alignment  3/15, fail:	582.688	568.844	6165.36
Length   85/17, alignment  9/ 0, found:	471.188	461.422	3122.56
Length   85/17, alignment  9/ 0, fail:	573.734	560.719	6184.89
Length   85/17, alignment  9/ 3, found:	467.938	454.922	3113.61
Length   85/17, alignment  9/ 3, fail:	572.922	560.703	6177.58
Length   85/17, alignment  9/ 9, found:	472.828	458.984	3119.31
Length   85/17, alignment  9/ 9, fail:	573.719	559.906	6181.64
Length   85/17, alignment  9/15, found:	471.188	458.984	3108.72
Length   85/17, alignment  9/15, fail:	572.922	560.703	6163.75
Length   85/17, alignment 15/ 0, found:	480.141	468.75	3122.56
Length   85/17, alignment 15/ 0, fail:	581.875	570.484	6184.89
Length   85/17, alignment 15/ 3, found:	480.969	469.562	3115.23
Length   85/17, alignment 15/ 3, fail:	581.062	569.656	6349.28
Length   85/17, alignment 15/ 9, found:	482.578	470.375	3118.48
Length   85/17, alignment 15/ 9, fail:	582.672	568.031	6182.45
Length   85/17, alignment 15/15, found:	480.953	469.562	3102.22
Length   85/17, alignment 15/15, fail:	581.859	569.656	6164.55
Length  102/17, alignment  0/ 0, found:	489.906	477.703	3763.84
Length  102/17, alignment  0/ 0, fail:	610.359	598.141	7399.09
Length  102/17, alignment  0/ 3, found:	489.906	479.328	3755.7
Length  102/17, alignment  0/ 3, fail:	609.547	596.516	7389.33
Length  102/17, alignment  0/ 9, found:	489.906	477.703	3761.39
Length  102/17, alignment  0/ 9, fail:	609.547	597.328	7395.02
Length  102/17, alignment  0/15, found:	488.281	478.516	3745.12
Length  102/17, alignment  0/15, fail:	608.734	596.516	7377.94
Length  102/17, alignment  3/ 0, found:	499.672	487.469	3763.84
Length  102/17, alignment  3/ 0, fail:	618.484	606.281	7399.09
Length  102/17, alignment  3/ 3, found:	498.047	487.469	3756.52
Length  102/17, alignment  3/ 3, fail:	619.297	605.469	7390.94
Length  102/17, alignment  3/ 9, found:	498.859	486.656	3762.22
Length  102/17, alignment  3/ 9, fail:	618.5	605.469	7396.66
Length  102/17, alignment  3/15, found:	498.047	487.469	3745.92
Length  102/17, alignment  3/15, fail:	618.484	605.469	7379.56
Length  102/17, alignment  9/ 0, found:	499.672	488.281	3931.48
Length  102/17, alignment  9/ 0, fail:	611.969	598.141	7398.28
Length  102/17, alignment  9/ 3, found:	498.859	488.281	3757.33
Length  102/17, alignment  9/ 3, fail:	609.547	596.516	7390.95
Length  102/17, alignment  9/ 9, found:	499.672	487.469	3762.2
Length  102/17, alignment  9/ 9, fail:	609.531	598.141	7395.83
Length  102/17, alignment  9/15, found:	498.859	487.469	3745.94
Length  102/17, alignment  9/15, fail:	608.719	594.891	7377.11
Length  102/17, alignment 15/ 0, found:	498.859	487.469	3764.64
Length  102/17, alignment 15/ 0, fail:	618.484	605.469	7398.28
Length  102/17, alignment 15/ 3, found:	499.672	487.469	3756.52
Length  102/17, alignment 15/ 3, fail:	618.5	604.656	7390.95
Length  102/17, alignment 15/ 9, found:	498.859	488.281	3762.2
Length  102/17, alignment 15/ 9, fail:	618.484	606.281	7395.02
Length  102/17, alignment 15/15, found:	498.859	488.281	3744.31
Length  102/17, alignment 15/15, fail:	618.5	605.469	7377.92
Length  119/17, alignment  0/ 0, found:	509.438	498.047	4334.31
Length  119/17, alignment  0/ 0, fail:	646.969	632.328	8611.66
Length  119/17, alignment  0/ 3, found:	508.625	495.609	4328.61
Length  119/17, alignment  0/ 3, fail:	647.797	633.953	8603.52
Length  119/17, alignment  0/ 9, found:	508.625	497.234	4501.14
Length  119/17, alignment  0/ 9, fail:	646.969	634.766	8609.22
Length  119/17, alignment  0/15, found:	508.625	495.609	4315.59
Length  119/17, alignment  0/15, fail:	645.344	632.328	8592.12
Length  119/17, alignment  3/ 0, found:	519.203	505.375	4335.12
Length  119/17, alignment  3/ 0, fail:	655.109	642.906	8612.47
Length  119/17, alignment  3/ 3, found:	516.766	506.172	4326.98
Length  119/17, alignment  3/ 3, fail:	655.109	641.281	8604.33
Length  119/17, alignment  3/ 9, found:	516.766	506.188	4332.67
Length  119/17, alignment  3/ 9, fail:	655.109	642.094	8610.03
Length  119/17, alignment  3/15, found:	517.578	506.188	4315.59
Length  119/17, alignment  3/15, fail:	655.109	642.078	8597
Length  119/17, alignment  9/ 0, found:	517.578	507	4335.12
Length  119/17, alignment  9/ 0, fail:	655.109	642.094	8612.47
Length  119/17, alignment  9/ 3, found:	517.578	506.188	4327.8
Length  119/17, alignment  9/ 3, fail:	655.922	643.719	8604.33
Length  119/17, alignment  9/ 9, found:	518.391	505.359	4332.67
Length  119/17, alignment  9/ 9, fail:	656.75	641.281	8610.03
Length  119/17, alignment  9/15, found:	516.766	507	4314.78
Length  119/17, alignment  9/15, fail:	655.109	640.469	8770.34
Length  119/17, alignment 15/ 0, found:	519.203	505.375	4335.12
Length  119/17, alignment 15/ 0, fail:	656.734	642.906	8611.66
Length  119/17, alignment 15/ 3, found:	517.578	505.359	4327.8
Length  119/17, alignment 15/ 3, fail:	655.109	642.906	8604.34
Length  119/17, alignment 15/ 9, found:	516.766	507.812	4332.67
Length  119/17, alignment 15/ 9, fail:	655.922	642.906	8609.22
Length  119/17, alignment 15/15, found:	516.766	507	4315.59
Length  119/17, alignment 15/15, fail:	655.922	643.719	8592.12
Length   72/18, alignment  0/ 0, found:	457.359	444.344	2814.14
Length   72/18, alignment  0/ 0, fail:	550.125	536.281	5498.05
Length   72/18, alignment  0/ 3, found:	454.906	444.328	2805.98
Length   72/18, alignment  0/ 3, fail:	549.312	536.297	5489.91
Length   72/18, alignment  0/ 9, found:	467.125	455.734	2810.06
Length   72/18, alignment  0/ 9, fail:	549.328	536.281	5496.42
Length   72/18, alignment  0/15, found:	456.547	445.953	2792.97
Length   72/18, alignment  0/15, fail:	549.328	537.109	5476.88
Length   72/18, alignment  3/ 0, found:	456.547	445.141	2814.12
Length   72/18, alignment  3/ 0, fail:	549.312	537.109	5498.05
Length   72/18, alignment  3/ 3, found:	454.906	445.156	2805.17
Length   72/18, alignment  3/ 3, fail:	549.312	537.109	5489.91
Length   72/18, alignment  3/ 9, found:	456.547	445.156	2810.88
Length   72/18, alignment  3/ 9, fail:	549.312	536.297	5665.69
Length   72/18, alignment  3/15, found:	457.359	445.969	2795.42
Length   72/18, alignment  3/15, fail:	549.312	536.297	5476.89
Length   72/18, alignment  9/ 0, found:	454.922	454.109	2814.12
Length   72/18, alignment  9/ 0, fail:	549.312	535.484	5498.88
Length   72/18, alignment  9/ 3, found:	455.734	445.141	2806.8
Length   72/18, alignment  9/ 3, fail:	550.141	536.297	5490.72
Length   72/18, alignment  9/ 9, found:	455.734	445.156	2810.88
Length   72/18, alignment  9/ 9, fail:	549.328	536.297	5495.61
Length   72/18, alignment  9/15, found:	467.125	454.906	2794.59
Length   72/18, alignment  9/15, fail:	548.5	537.109	5477.7
Length   72/18, alignment 15/ 0, found:	467.938	454.922	2813.31
Length   72/18, alignment 15/ 0, fail:	549.312	535.484	5497.23
Length   72/18, alignment 15/ 3, found:	467.125	454.922	2806.8
Length   72/18, alignment 15/ 3, fail:	550.125	536.297	5489.91
Length   72/18, alignment 15/ 9, found:	458.984	445.156	2810.06
Length   72/18, alignment 15/ 9, fail:	550.125	537.109	5494.8
Length   72/18, alignment 15/15, found:	455.734	445.141	2793.8
Length   72/18, alignment 15/15, fail:	550.938	537.922	5476.89
Length   90/18, alignment  0/ 0, found:	485.844	472.812	3485.52
Length   90/18, alignment  0/ 0, fail:	585.938	572.922	6842.44
Length   90/18, alignment  0/ 3, found:	485.844	473.625	3479.83
Length   90/18, alignment  0/ 3, fail:	585.938	573.734	6834.31
Length   90/18, alignment  0/ 9, found:	484.219	472.828	3483.89
Length   90/18, alignment  0/ 9, fail:	585.938	575.359	6839.19
Length   90/18, alignment  0/15, found:	672.203	474.438	3466.8
Length   90/18, alignment  0/15, fail:	585.938	573.719	6822.92
Length   90/18, alignment  3/ 0, found:	493.984	481.766	3487.95
Length   90/18, alignment  3/ 0, fail:	595.703	582.688	6842.44
Length   90/18, alignment  3/ 3, found:	493.984	484.219	3479.81
Length   90/18, alignment  3/ 3, fail:	596.516	581.859	6834.3
Length   90/18, alignment  3/ 9, found:	493.984	483.406	3484.7
Length   90/18, alignment  3/ 9, fail:	595.703	582.672	6839.19
Length   90/18, alignment  3/15, found:	493.969	482.594	3466.8
Length   90/18, alignment  3/15, fail:	595.703	581.875	6821.28
Length   90/18, alignment  9/ 0, found:	485.016	473.641	3487.14
Length   90/18, alignment  9/ 0, fail:	586.766	573.719	6841.62
Length   90/18, alignment  9/ 3, found:	485.844	473.641	3479
Length   90/18, alignment  9/ 3, fail:	585.938	574.547	6834.3
Length   90/18, alignment  9/ 9, found:	485.844	473.625	3483.88
Length   90/18, alignment  9/ 9, fail:	585.938	573.719	6839.19
Length   90/18, alignment  9/15, found:	486.641	473.641	3465.98
Length   90/18, alignment  9/15, fail:	587.578	573.719	6822.92
Length   90/18, alignment 15/ 0, found:	494.797	482.578	3486.33
Length   90/18, alignment 15/ 0, fail:	597.328	581.875	6842.45
Length   90/18, alignment 15/ 3, found:	495.609	483.406	3479
Length   90/18, alignment 15/ 3, fail:	594.891	582.672	7003.58
Length   90/18, alignment 15/ 9, found:	495.609	483.391	3484.7
Length   90/18, alignment 15/ 9, fail:	596.516	581.859	6839.19
Length   90/18, alignment 15/15, found:	493.984	482.578	3466.8
Length   90/18, alignment 15/15, fail:	596.516	582.688	6822.09
Length  108/18, alignment  0/ 0, found:	503.734	492.359	4148.77
Length  108/18, alignment  0/ 0, fail:	631.5	619.297	8186.05
Length  108/18, alignment  0/ 3, found:	503.75	491.531	4141.45
Length  108/18, alignment  0/ 3, fail:	630.688	620.109	8177.91
Length  108/18, alignment  0/ 9, found:	503.75	492.344	4147.12
Length  108/18, alignment  0/ 9, fail:	632.328	619.297	8183.59
Length  108/18, alignment  0/15, found:	502.922	491.531	4137.38
Length  108/18, alignment  0/15, fail:	631.5	618.5	8164.88
Length  108/18, alignment  3/ 0, found:	514.312	500.484	4149.58
Length  108/18, alignment  3/ 0, fail:	633.141	619.312	8186.84
Length  108/18, alignment  3/ 3, found:	512.703	501.312	4141.44
Length  108/18, alignment  3/ 3, fail:	632.328	619.297	8180.33
Length  108/18, alignment  3/ 9, found:	513.516	501.312	4145.5
Length  108/18, alignment  3/ 9, fail:	631.516	618.484	8185.23
Length  108/18, alignment  3/15, found:	512.703	499.672	4138.17
Length  108/18, alignment  3/15, fail:	632.328	619.312	8385.42
Length  108/18, alignment  9/ 0, found:	504.562	493.172	4147.14
Length  108/18, alignment  9/ 0, fail:	632.328	619.297	8187.66
Length  108/18, alignment  9/ 3, found:	504.562	491.547	4143.88
Length  108/18, alignment  9/ 3, fail:	632.328	620.109	8179.53
Length  108/18, alignment  9/ 9, found:	503.75	492.344	4145.52
Length  108/18, alignment  9/ 9, fail:	632.328	619.297	8183.59
Length  108/18, alignment  9/15, found:	503.75	492.359	4138.19
Length  108/18, alignment  9/15, fail:	632.328	619.312	8173.02
Length  108/18, alignment 15/ 0, found:	513.5	501.297	4150.39
Length  108/18, alignment 15/ 0, fail:	632.328	619.297	8186.84
Length  108/18, alignment 15/ 3, found:	512.688	501.297	4140.62
Length  108/18, alignment 15/ 3, fail:	633.141	618.484	8179.53
Length  108/18, alignment 15/ 9, found:	511.062	500.484	4145.5
Length  108/18, alignment 15/ 9, fail:	632.328	618.5	8183.59
Length  108/18, alignment 15/15, found:	512.688	501.297	4137.38
Length  108/18, alignment 15/15, fail:	633.141	620.125	8173.83
Length  126/18, alignment  0/ 0, found:	521.656	509.453	4831.55
Length  126/18, alignment  0/ 0, fail:	669.75	656.734	9531.25
Length  126/18, alignment  0/ 3, found:	521.656	510.25	5008.12
Length  126/18, alignment  0/ 3, fail:	669.766	657.547	9524.73
Length  126/18, alignment  0/ 9, found:	521.641	511.891	4828.28
Length  126/18, alignment  0/ 9, fail:	669.75	657.547	9528.81
Length  126/18, alignment  0/15, found:	522.469	509.438	4811.2
Length  126/18, alignment  0/15, fail:	670.578	656.734	9511.72
Length  126/18, alignment  3/ 0, found:	531.422	519.203	4830.73
Length  126/18, alignment  3/ 0, fail:	678.703	665.688	9531.25
Length  126/18, alignment  3/ 3, found:	530.594	519.203	4822.58
Length  126/18, alignment  3/ 3, fail:	677.891	668.953	9523.11
Length  126/18, alignment  3/ 9, found:	532.234	520.016	4828.28
Length  126/18, alignment  3/ 9, fail:	678.703	665.688	9528.8
Length  126/18, alignment  3/15, found:	531.406	519.203	4811.19
Length  126/18, alignment  3/15, fail:	678.719	664.875	9511.72
Length  126/18, alignment  9/ 0, found:	531.406	519.203	4829.91
Length  126/18, alignment  9/ 0, fail:	669.75	656.734	9532.06
Length  126/18, alignment  9/ 3, found:	531.406	520.016	4823.39
Length  126/18, alignment  9/ 3, fail:	669.75	655.109	9707.03
Length  126/18, alignment  9/ 9, found:	532.219	519.203	4828.3
Length  126/18, alignment  9/ 9, fail:	668.953	655.922	9528.81
Length  126/18, alignment  9/15, found:	530.594	520.016	4812.02
Length  126/18, alignment  9/15, fail:	669.766	656.734	9510.91
Length  126/18, alignment 15/ 0, found:	531.406	519.203	4829.92
Length  126/18, alignment 15/ 0, fail:	677.906	666.516	9532.06
Length  126/18, alignment 15/ 3, found:	531.406	519.203	4822.59
Length  126/18, alignment 15/ 3, fail:	677.906	664.875	9523.94
Length  126/18, alignment 15/ 9, found:	531.406	520.828	4828.3
Length  126/18, alignment 15/ 9, fail:	677.906	664.875	9528.81
Length  126/18, alignment 15/15, found:	529.797	520.016	4812.02
Length  126/18, alignment 15/15, fail:	677.906	665.688	9510.91
Length   76/19, alignment  0/ 0, found:	461.422	448.406	3091.62
Length   76/19, alignment  0/ 0, fail:	562.344	550.938	6040.84
Length   76/19, alignment  0/ 3, found:	461.438	449.234	3083.5
Length   76/19, alignment  0/ 3, fail:	563.969	550.125	6032.7
Length   76/19, alignment  0/ 9, found:	460.609	450.031	3086.77
Length   76/19, alignment  0/ 9, fail:	563.156	550.938	6219.89
Length   76/19, alignment  0/15, found:	461.422	450.047	3070.47
Length   76/19, alignment  0/15, fail:	563.156	550.938	6025.39
Length   76/19, alignment  3/ 0, found:	476.891	464.688	3089.19
Length   76/19, alignment  3/ 0, fail:	564.781	550.125	6040.86
Length   76/19, alignment  3/ 3, found:	476.891	467.125	3081.88
Length   76/19, alignment  3/ 3, fail:	562.344	549.312	6034.34
Length   76/19, alignment  3/ 9, found:	480.953	467.938	3085.94
Length   76/19, alignment  3/ 9, fail:	562.344	552.562	6038.41
Length   76/19, alignment  3/15, found:	480.156	467.938	3070.48
Length   76/19, alignment  3/15, fail:	563.156	549.312	6029.45
Length   76/19, alignment  9/ 0, found:	471.203	458.984	3090.83
Length   76/19, alignment  9/ 0, fail:	563.156	549.312	6039.22
Length   76/19, alignment  9/ 3, found:	471.188	458.172	3082.69
Length   76/19, alignment  9/ 3, fail:	563.156	549.312	6031.89
Length   76/19, alignment  9/ 9, found:	470.375	458.984	3085.94
Length   76/19, alignment  9/ 9, fail:	562.328	550.141	6038.41
Length   76/19, alignment  9/15, found:	462.234	448.406	3069.66
Length   76/19, alignment  9/15, fail:	563.156	550.938	6028.64
Length   76/19, alignment 15/ 0, found:	480.141	469.562	3089.2
Length   76/19, alignment 15/ 0, fail:	562.344	551.766	6040.05
Length   76/19, alignment 15/ 3, found:	476.891	468.75	3081.05
Length   76/19, alignment 15/ 3, fail:	563.156	550.125	6034.34
Length   76/19, alignment 15/ 9, found:	477.703	469.562	3086.75
Length   76/19, alignment 15/ 9, fail:	563.156	550.125	6037.59
Length   76/19, alignment 15/15, found:	649.422	467.125	3071.3
Length   76/19, alignment 15/15, fail:	563.969	550.938	6027.83
Length   95/19, alignment  0/ 0, found:	489.094	476.875	3791.52
Length   95/19, alignment  0/ 0, fail:	598.969	586.75	7532.55
Length   95/19, alignment  0/ 3, found:	489.906	478.516	3785
Length   95/19, alignment  0/ 3, fail:	600.578	586.75	7523.61
Length   95/19, alignment  0/ 9, found:	489.922	476.891	3789.06
Length   95/19, alignment  0/ 9, fail:	600.578	586.75	7529.3
Length   95/19, alignment  0/15, found:	489.922	476.875	3773.61
Length   95/19, alignment  0/15, fail:	598.969	586.75	7512.2
Length   95/19, alignment  3/ 0, found:	498.859	486.641	3792.31
Length   95/19, alignment  3/ 0, fail:	608.719	596.516	7531.73
Length   95/19, alignment  3/ 3, found:	498.047	486.656	3784.17
Length   95/19, alignment  3/ 3, fail:	609.547	595.703	7525.22
