                       	wcsncmp	simple_wcsncmp	stupid_wcsncmp
Length    8/  13, alignment 13/ 5:	104.156	114.734	233.562
Length    8/  13, alignment 13/ 2:	103.359	113.109	213.219
Length    8/  13, alignment 26/ 5:	104.969	117.188	231.125
Length    8/  13, alignment 13/ 7:	103.359	116.375	232.75
Length    8/  14, alignment  0/ 0:	96.8438	107.422	201.812
Length    8/  14, alignment  0/ 0:	95.2031	107.422	225.422
Length    8/  14, alignment  0/ 0:	99.2812	109.047	224.609
Length    8/  14, alignment 14/ 6:	104.172	115.547	214.031
Length    8/  14, alignment 14/ 6:	104.984	117.188	240.875
Length    8/  14, alignment 14/ 6:	104.984	115.562	240.062
Length    8/  14, alignment 14/ 4:	100.906	111.484	207.531
Length    8/  14, alignment 28/ 6:	102.547	112.312	231.125
Length    8/  14, alignment 14/ 2:	103.344	115.562	239.25
Length    8/  14, alignment  0/ 0:	96.8438	106.609	201.828
Length    8/  14, alignment  0/ 0:	96.8438	107.422	225.422
Length    8/  14, alignment  0/ 0:	100.094	109.859	224.609
Length    8/  14, alignment 14/ 6:	104.172	115.562	213.219
Length    8/  14, alignment 14/ 6:	105.797	117.188	239.25
Length    8/  14, alignment 14/ 6:	104.172	115.562	240.891
Length    8/  14, alignment 14/ 4:	100.906	112.312	206.703
Length    8/  14, alignment 28/ 6:	101.734	112.297	231.922
Length    8/  14, alignment 14/ 2:	102.547	115.562	240.078
Length    8/  15, alignment  0/ 0:	96.0312	109.047	201.828
Length    8/  15, alignment  0/ 0:	96.8438	106.609	225.422
Length    8/  15, alignment  0/ 0:	100.109	109.047	225.422
Length    8/  15, alignment 15/ 7:	104.984	222.984	213.219
Length    8/  15, alignment 15/ 7:	104.969	118	240.891
Length    8/  15, alignment 15/ 7:	104.172	116.375	242.516
Length    8/  15, alignment 15/ 6:	104.969	114.75	213.219
Length    8/  15, alignment 30/ 7:	104.172	117.188	240.062
Length    8/  15, alignment 15/ 5:	104.172	115.562	242.5
Length    8/  15, alignment  0/ 0:	96.8438	108.234	201.016
Length    8/  15, alignment  0/ 0:	97.6562	106.609	227.047
Length    8/  15, alignment  0/ 0:	99.2812	109.047	224.609
Length    8/  15, alignment 15/ 7:	104.156	116.375	212.391
Length    8/  15, alignment 15/ 7:	104.172	117.188	240.891
Length    8/  15, alignment 15/ 7:	104.172	115.562	240.078
Length    8/  15, alignment 15/ 6:	103.344	115.547	212.391
