                                	strpbrk	simple_strpbrk	stupid_strpbrk
Length   47, alignment  0, rej len  6:	412.609	1980.78	1796.88
Length   48, alignment  0, rej len  6:	420.734	1839.19	1848.14
Length   49, alignment  0, rej len  6:	429.688	1868.48	1875
Length   50, alignment  0, rej len  6:	421.562	1915.7	1913.25
Length   51, alignment  0, rej len  6:	420.734	1944.17	1947.42
Length   52, alignment  0, rej len  6:	429.688	1989.75	1968.58
Length   53, alignment  0, rej len  6:	437.828	2039.39	2037.77
Length   54, alignment  0, rej len  6:	430.5	2069.5	2071.12
Length   55, alignment  0, rej len  6:	430.5	2116.7	2115.08
Length   56, alignment  0, rej len  6:	440.266	2248.55	2152.5
Length   57, alignment  0, rej len  6:	439.453	2168.8	2132.97
Length   58, alignment  0, rej len  6:	439.453	2230.64	2205.41
Length   59, alignment  0, rej len  6:	440.281	2241.22	2231.44
Length   60, alignment  0, rej len  6:	448.406	2291.67	2265.62
Length   61, alignment  0, rej len  6:	448.406	2333.98	2299.8
Length   62, alignment  0, rej len  6:	458.156	2358.39	2349.44
Length   63, alignment  0, rej len  6:	449.219	2460.12	2409.66
