                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length  270/18, alignment  0/ 0, found:	3033.86	3810.23	9764.81
Length  270/18, alignment  0/ 0, fail:	3754.08	4603.69	11230.5
Length  270/18, alignment  0/ 3, found:	3053.38	3812.66	9750.17
Length  270/18, alignment  0/ 3, fail:	3754.89	4602.06	10756.8
Length  270/18, alignment  0/ 9, found:	3021.64	3810.22	9744.47
Length  270/18, alignment  0/ 9, fail:	3754.89	4605.3	10776.4
Length  270/18, alignment  0/15, found:	3029.78	4047.05	9740.41
Length  270/18, alignment  0/15, fail:	3745.94	4602.86	10766.6
Length  270/18, alignment  3/ 0, found:	3015.95	3808.59	9755.05
Length  270/18, alignment  3/ 0, fail:	3745.12	4606.12	11486.8
Length  270/18, alignment  3/ 3, found:	3033.84	3834.62	9750.17
Length  270/18, alignment  3/ 3, fail:	3750	4606.12	10755.2
Length  270/18, alignment  3/ 9, found:	3029.78	3809.41	9759.11
Length  270/18, alignment  3/ 9, fail:	3758.14	4605.31	10756.8
Length  270/18, alignment  3/15, found:	3021.64	3810.22	9924.31
Length  270/18, alignment  3/15, fail:	3760.58	4611.81	10765.8
Length  270/18, alignment  9/ 0, found:	3041.17	3808.59	9756.67
Length  270/18, alignment  9/ 0, fail:	3754.06	4600.42	10773.9
Length  270/18, alignment  9/ 3, found:	3033.84	3813.47	9748.53
Length  270/18, alignment  9/ 3, fail:	3787.44	4600.42	10765.8
Length  270/18, alignment  9/ 9, found:	3021.64	3807.78	9742.84
Length  270/18, alignment  9/ 9, fail:	3789.88	4601.23	10774.7
Length  270/18, alignment  9/15, found:	3022.45	3808.59	9954.44
Length  270/18, alignment  9/15, fail:	3794.77	4609.38	10862.6
Length  270/18, alignment 15/ 0, found:	3032.23	3809.41	9761.56
Length  270/18, alignment 15/ 0, fail:	3760.58	4603.69	10772.3
Length  270/18, alignment 15/ 3, found:	3030.59	4153.64	9745.28
Length  270/18, alignment 15/ 3, fail:	3758.95	4606.11	10795.9
Length  270/18, alignment 15/ 9, found:	3031.42	3809.41	9754.22
Length  270/18, alignment 15/ 9, fail:	3758.14	4606.11	10809.7
Length  270/18, alignment 15/15, found:	3032.23	3809.41	9720.05
Length  270/18, alignment 15/15, fail:	3889.98	4606.94	10745.5
Length   38/19, alignment  0/ 0, found:	1116.53	1963.7	1083.17
Length   38/19, alignment  0/ 0, fail:	1113.28	1975.09	1077.48
Length   38/19, alignment  0/ 3, found:	1112.47	1967.77	1074.22
Length   38/19, alignment  0/ 3, fail:	1111.66	1973.47	1069.34
Length   38/19, alignment  0/ 9, found:	1112.47	1966.16	1081.53
Length   38/19, alignment  0/ 9, fail:	1113.28	1972.66	1101.89
Length   38/19, alignment  0/15, found:	1127.12	1967.78	1072.58
Length   38/19, alignment  0/15, fail:	1109.22	1975.09	1103.52
Length   38/19, alignment  3/ 0, found:	1111.66	1966.95	1081.55
Length   38/19, alignment  3/ 0, fail:	1451.83	1949.88	1104.33
Length   38/19, alignment  3/ 3, found:	1112.47	1968.59	1072.59
Length   38/19, alignment  3/ 3, fail:	1112.47	1971.03	1092.12
Length   38/19, alignment  3/ 9, found:	1112.47	1966.95	1077.47
Length   38/19, alignment  3/ 9, fail:	1113.28	1974.28	1095.38
Length   38/19, alignment  3/15, found:	1109.2	1967.77	1066.89
Length   38/19, alignment  3/15, fail:	1111.66	1974.28	1097
Length   38/19, alignment  9/ 0, found:	1111.66	1966.14	1079.91
Length   38/19, alignment  9/ 0, fail:	1112.47	1971.03	1083.17
Length   38/19, alignment  9/ 3, found:	1128.73	1966.95	1074.22
Length   38/19, alignment  9/ 3, fail:	1129.56	1971.84	1073.39
Length   38/19, alignment  9/ 9, found:	1127.94	1965.33	1077.47
Length   38/19, alignment  9/ 9, fail:	1111.64	1972.66	1105.95
Length   38/19, alignment  9/15, found:	1112.45	1969.41	1069.33
Length   38/19, alignment  9/15, fail:	1110.84	1969.41	1094.56
Length   38/19, alignment 15/ 0, found:	1127.92	1968.59	1070.97
Length   38/19, alignment 15/ 0, fail:	1127.92	1972.66	1091.31
Length   38/19, alignment 15/ 3, found:	1126.3	1966.14	1074.22
Length   38/19, alignment 15/ 3, fail:	1113.28	2165.52	1057.12
Length   38/19, alignment 15/ 9, found:	1113.28	1966.16	1069.33
Length   38/19, alignment 15/ 9, fail:	1114.91	1973.47	1062.83
Length   38/19, alignment 15/15, found:	1110.84	1966.95	1048.98
Length   38/19, alignment 15/15, fail:	1112.47	1977.55	1062.83
Length   57/19, alignment  0/ 0, found:	1269.53	2130.53	1791.98
Length   57/19, alignment  0/ 0, fail:	1326.5	2165.53	1870.92
Length   57/19, alignment  0/ 3, found:	1287.44	2098.8	1784.66
Length   57/19, alignment  0/ 3, fail:	1320.81	2159.02	1862.8
Length   57/19, alignment  0/ 9, found:	1268.72	2100.42	1789.55
Length   57/19, alignment  0/ 9, fail:	1319.17	2157.39	1867.67
Length   57/19, alignment  0/15, found:	1286.62	2539.88	1780.59
Length   57/19, alignment  0/15, fail:	1321.62	2162.28	1862.8
Length   57/19, alignment  3/ 0, found:	1285.8	2101.23	1785.48
Length   57/19, alignment  3/ 0, fail:	1320.8	2187.5	1862.8
Length   57/19, alignment  3/ 3, found:	1269.53	2127.28	1775.72
Length   57/19, alignment  3/ 3, fail:	1315.91	2151.69	1854.66
Length   57/19, alignment  3/ 9, found:	1270.34	2125.64	1783.86
Length   57/19, alignment  3/ 9, fail:	1319.98	2169.61	1870.11
Length   57/19, alignment  3/15, found:	1269.53	2125.66	1778.97
Length   57/19, alignment  3/15, fail:	1317.55	2158.2	1859.55
Length   57/19, alignment  9/ 0, found:	1285	2128.09	1790.38
Length   57/19, alignment  9/ 0, fail:	1301.27	2168.78	1875
Length   57/19, alignment  9/ 3, found:	1287.44	2127.28	1783.86
Length   57/19, alignment  9/ 3, fail:	1299.64	2154.94	1861.17
Length   57/19, alignment  9/ 9, found:	1284.19	2100.42	1790.38
Length   57/19, alignment  9/ 9, fail:	1301.27	2279.48	1875
Length   57/19, alignment  9/15, found:	1270.34	2102.05	1778.97
Length   57/19, alignment  9/15, fail:	1299.64	2154.95	1862.78
Length   57/19, alignment 15/ 0, found:	1285.81	2125.66	1783.03
Length   57/19, alignment 15/ 0, fail:	1317.55	2192.38	1863.61
Length   57/19, alignment 15/ 3, found:	1269.53	2127.28	1783.03
Length   57/19, alignment 15/ 3, fail:	1317.55	2186.69	1854.66
Length   57/19, alignment 15/ 9, found:	1269.53	2128.91	1787.92
Length   57/19, alignment 15/ 9, fail:	1315.11	2163.08	1860.36
Length   57/19, alignment 15/15, found:	1284.17	2127.28	1757.81
Length   57/19, alignment 15/15, fail:	1317.55	2596.03	1835.94
Length   76/19, alignment  0/ 0, found:	1427.41	2287.59	2504.06
Length   76/19, alignment  0/ 0, fail:	1531.58	2393.39	2635.91
Length   76/19, alignment  0/ 3, found:	1445.31	2289.23	2496.73
Length   76/19, alignment  0/ 3, fail:	1542.97	2394.2	2634.28
Length   76/19, alignment  0/ 9, found:	1443.69	2285.97	2500.81
Length   76/19, alignment  0/ 9, fail:	1542.97	2395.03	2639.97
Length   76/19, alignment  0/15, found:	1427.42	2285.97	2492.67
Length   76/19, alignment  0/15, fail:	1531.58	2394.22	2621.25
Length   76/19, alignment  3/ 0, found:	1445.31	2285.16	2495.94
Length   76/19, alignment  3/ 0, fail:	1545.41	2395.02	2636.72
Length   76/19, alignment  3/ 3, found:	1426.59	2262.38	2488.61
Length   76/19, alignment  3/ 3, fail:	1546.22	2395.02	2622.89
Length   76/19, alignment  3/ 9, found:	1427.41	2258.3	2673.34
Length   76/19, alignment  3/ 9, fail:	1547.86	2397.47	2631.84
Length   76/19, alignment  3/15, found:	1444.5	2259.11	2478.02
Length   76/19, alignment  3/15, fail:	1546.22	2395.83	2635.91
Length   76/19, alignment  9/ 0, found:	1426.59	2259.94	2501.62
Length   76/19, alignment  9/ 0, fail:	1493.33	2338.06	2638.34
Length   76/19, alignment  9/ 3, found:	1426.59	2258.3	2493.48
Length   76/19, alignment  9/ 3, fail:	1494.14	2339.67	2631.84
Length   76/19, alignment  9/ 9, found:	1428.22	2259.12	2910.16
Length   76/19, alignment  9/ 9, fail:	1494.14	2354.33	2637.53
Length   76/19, alignment  9/15, found:	1426.59	2259.92	2487.8
Length   76/19, alignment  9/15, fail:	1493.33	2337.23	2632.66
Length   76/19, alignment 15/ 0, found:	1444.5	2260.73	2495.92
Length   76/19, alignment 15/ 0, fail:	1561.69	2396.66	2623.69
Length   76/19, alignment 15/ 3, found:	1441.25	2258.3	2486.98
Length   76/19, alignment 15/ 3, fail:	1539.72	2395.02	2613.12
Length   76/19, alignment 15/ 9, found:	1427.41	2258.3	2489.42
Length   76/19, alignment 15/ 9, fail:	1547.03	2395.83	2619.64
Length   76/19, alignment 15/15, found:	1433.92	2259.12	2465
Length   76/19, alignment 15/15, fail:	1546.22	2393.39	2615.56
Length   95/19, alignment  0/ 0, found:	1586.09	2418.62	3222.66
Length   95/19, alignment  0/ 0, fail:	1751.3	2587.08	3601.89
Length   95/19, alignment  0/ 3, found:	1586.11	2417.8	3214.52
Length   95/19, alignment  0/ 3, fail:	1749.67	2601.72	3426.11
Length   95/19, alignment  0/ 9, found:	1603.2	2444.67	3221.84
Length   95/19, alignment  0/ 9, fail:	1752.11	2596.83	3487.95
Length   95/19, alignment  0/15, found:	1588.55	2418.62	3210.45
Length   95/19, alignment  0/15, fail:	1752.92	2587.89	3444.83
Length   95/19, alignment  3/ 0, found:	1600.75	2419.44	3760.58
Length   95/19, alignment  3/ 0, fail:	1741.53	2591.95	3431
Length   95/19, alignment  3/ 3, found:	1585.3	2419.44	3216.16
Length   95/19, alignment  3/ 3, fail:	1740.72	2588.7	3425.3
Length   95/19, alignment  3/ 9, found:	1586.91	2418.61	3215.34
Length   95/19, alignment  3/ 9, fail:	1738.28	2601.72	3413.09
Length   95/19, alignment  3/15, found:	1586.91	2444.66	3195.8
Length   95/19, alignment  3/15, fail:	1742.34	2591.14	3468.42
Length   95/19, alignment  9/ 0, found:	1586.09	2417.81	3211.27
Length   95/19, alignment  9/ 0, fail:	1665.03	2524.41	3493.66
Length   95/19, alignment  9/ 3, found:	1585.28	2417.81	3212.06
Length   95/19, alignment  9/ 3, fail:	1672.38	2517.91	3413.89
Length   95/19, alignment  9/ 9, found:	1604	2641.62	3220.22
Length   95/19, alignment  9/ 9, fail:	1676.44	2520.34	3485.52
Length   95/19, alignment  9/15, found:	1602.38	2417.81	3209.64
Length   95/19, alignment  9/15, fail:	1672.36	2517.91	3439.14
Length   95/19, alignment 15/ 0, found:	1604.81	2422.69	3220.22
Length   95/19, alignment 15/ 0, fail:	1754.55	2591.16	3425.28
Length   95/19, alignment 15/ 3, found:	1603.19	2420.25	3212.89
Length   95/19, alignment 15/ 3, fail:	1752.94	3549.8	3459.48
Length   95/19, alignment 15/ 9, found:	1603.19	2419.44	3213.7
Length   95/19, alignment 15/ 9, fail:	1751.3	2588.72	3428.55
Length   95/19, alignment 15/15, found:	1606.44	2418.62	3181.95
Length   95/19, alignment 15/15, fail:	1751.3	2598.47	3400.06
Length  114/19, alignment  0/ 0, found:	1761.06	2576.5	3936.36
Length  114/19, alignment  0/ 0, fail:	1979.98	2793.78	4221.2
Length  114/19, alignment  0/ 3, found:	1761.08	2578.94	3909.5
Length  114/19, alignment  0/ 3, fail:	1940.11	2789.7	4217.12
Length  114/19, alignment  0/ 9, found:	1744.8	2576.5	3914.38
Length  114/19, alignment  0/ 9, fail:	1931.16	2790.52	4218.75
Length  114/19, alignment  0/15, found:	2002.77	2575.69	3913.58
Length  114/19, alignment  0/15, fail:	1955.58	2792.14	4237.47
Length  114/19, alignment  3/ 0, found:	1761.89	2576.5	3927.41
Length  114/19, alignment  3/ 0, fail:	1959.62	2792.97	4209.8
Length  114/19, alignment  3/ 3, found:	1744.78	2577.31	3914.39
Length  114/19, alignment  3/ 3, fail:	1931.97	2792.97	4199.22
Length  114/19, alignment  3/ 9, found:	1748.86	2578.94	3918.45
Length  114/19, alignment  3/ 9, fail:	1940.09	2792.16	4190.28
Length  114/19, alignment  3/15, found:	1744.8	2577.31	3901.38
Length  114/19, alignment  3/15, fail:	1936.84	2794.61	4195.95
Length  114/19, alignment  9/ 0, found:	1745.59	2576.48	3926.59
Length  114/19, alignment  9/ 0, fail:	1861.17	2727.05	4213.05
Length  114/19, alignment  9/ 3, found:	1744.78	2600.09	3920.08
Length  114/19, alignment  9/ 3, fail:	1857.91	2740.89	4210.61
Length  114/19, alignment  9/ 9, found:	1745.61	2600.09	3912.75
Length  114/19, alignment  9/ 9, fail:	1859.53	2727.86	4220.39
Length  114/19, alignment  9/15, found:	1743.17	2603.36	4139
Length  114/19, alignment  9/15, fail:	1863.61	2737.64	4231.77
Length  114/19, alignment 15/ 0, found:	1744.78	2578.12	3925.78
Length  114/19, alignment 15/ 0, fail:	1936.03	2797.05	4193.52
Length  114/19, alignment 15/ 3, found:	1745.59	2575.69	3914.39
Length  114/19, alignment 15/ 3, fail:	1937.66	2794.59	4195.95
Length  114/19, alignment 15/ 9, found:	1743.98	3018.39	3922.52
Length  114/19, alignment 15/ 9, fail:	1939.3	2801.92	4227.7
Length  114/19, alignment 15/15, found:	1743.98	2578.94	3885.09
Length  114/19, alignment 15/15, fail:	1939.3	2796.22	4186.2
Length  133/19, alignment  0/ 0, found:	1903.48	2735.19	4635.42
Length  133/19, alignment  0/ 0, fail:	2334.8	3167.31	5064.3
Length  133/19, alignment  0/ 3, found:	1902.67	2734.38	4616.69
Length  133/19, alignment  0/ 3, fail:	2307.14	3166.5	5057.78
Length  133/19, alignment  0/ 9, found:	1902.67	2734.38	4632.98
Length  133/19, alignment  0/ 9, fail:	2309.56	3168.14	5065.91
Length  133/19, alignment  0/15, found:	1903.48	2737.62	4625.64
Length  133/19, alignment  0/15, fail:	2303.88	3166.5	5052.08
Length  133/19, alignment  3/ 0, found:	1903.48	2733.56	4636.23
Length  133/19, alignment  3/ 0, fail:	2303.06	3163.25	5058.59
Length  133/19, alignment  3/ 3, found:	1903.48	2733.56	4612.64
Length  133/19, alignment  3/ 3, fail:	2809.25	3183.59	5051.27
Length  133/19, alignment  3/ 9, found:	1902.67	2733.56	4632.17
Length  133/19, alignment  3/ 9, fail:	2303.06	3158.36	5062.67
Length  133/19, alignment  3/15, found:	1903.48	2735.2	4609.38
Length  133/19, alignment  3/15, fail:	2305.5	3157.55	5039.06
Length  133/19, alignment  9/ 0, found:	1904.3	2734.38	4631.36
Length  133/19, alignment  9/ 0, fail:	2207.03	3082.67	5061.03
Length  133/19, alignment  9/ 3, found:	1917.31	2760.42	4632.16
Length  133/19, alignment  9/ 3, fail:	2209.47	3074.55	5055.34
Length  133/19, alignment  9/ 9, found:	1919.75	2759.61	4875.48
Length  133/19, alignment  9/ 9, fail:	2207.84	3082.67	5065.11
Length  133/19, alignment  9/15, found:	1903.48	2732.75	4611.83
Length  133/19, alignment  9/15, fail:	2184.23	3081.88	5044.77
Length  133/19, alignment 15/ 0, found:	1904.3	2762.86	4609.38
Length  133/19, alignment 15/ 0, fail:	2303.88	3687.33	5081.38
Length  133/19, alignment 15/ 3, found:	1901.86	2764.5	4620.78
Length  133/19, alignment 15/ 3, fail:	2298.98	3199.88	5070.8
Length  133/19, alignment 15/ 9, found:	1901.86	2760.42	4625.64
Length  133/19, alignment 15/ 9, fail:	2303.88	3193.36	5054.53
Length  133/19, alignment 15/15, found:	1902.66	2757.98	4595.53
Length  133/19, alignment 15/15, fail:	2303.06	3194.98	5040.69
Length  152/19, alignment  0/ 0, found:	2076	2918.28	5349.92
Length  152/19, alignment  0/ 0, fail:	2501.62	3388.67	5837.41
Length  152/19, alignment  0/ 3, found:	2061.36	2918.3	5553.38
Length  152/19, alignment  0/ 3, fail:	2507.33	3391.11	5818.69
Length  152/19, alignment  0/ 9, found:	2063	2918.28	5330.41
Length  152/19, alignment  0/ 9, fail:	2498.38	3359.38	5824.39
Length  152/19, alignment  0/15, found:	2062.98	2894.69	5332.03
Length  152/19, alignment  0/15, fail:	2958.98	3361	5813.8
Length  152/19, alignment  3/ 0, found:	2061.36	2893.88	5345.05
Length  152/19, alignment  3/ 0, fail:	2517.09	3382.16	5825.2
Length  152/19, alignment  3/ 3, found:	2062.17	2892.25	5329.59
Length  152/19, alignment  3/ 3, fail:	2515.45	3382.16	5811.36
Length  152/19, alignment  3/ 9, found:	2061.36	2918.28	5337.73
Length  152/19, alignment  3/ 9, fail:	2516.28	3381.36	5820.31
Length  152/19, alignment  3/15, found:	2060.55	2893.88	5323.89
Length  152/19, alignment  3/15, fail:	2515.47	3379.72	6051.42
Length  152/19, alignment  9/ 0, found:	2062.98	2902.02	5343.42
Length  152/19, alignment  9/ 0, fail:	2352.7	3218.58	5829.25
Length  152/19, alignment  9/ 3, found:	2061.36	2893.06	5340.17
Length  152/19, alignment  9/ 3, fail:	2345.38	3251.95	5826.83
Length  152/19, alignment  9/ 9, found:	2620.45	2904.45	5346.67
Length  152/19, alignment  9/ 9, fail:	2351.88	3248.7	5829.27
Length  152/19, alignment  9/15, found:	2060.55	2891.44	5319.83
Length  152/19, alignment  9/15, fail:	2346.19	3240.56	5832.52
Length  152/19, alignment 15/ 0, found:	2062.17	2919.09	5334.48
Length  152/19, alignment 15/ 0, fail:	2517.09	3379.72	5829.27
Length  152/19, alignment 15/ 3, found:	2062.19	2892.25	5327.14
Length  152/19, alignment 15/ 3, fail:	2516.28	3379.72	5836.58
Length  152/19, alignment 15/ 9, found:	2061.36	2892.25	5333.66
Length  152/19, alignment 15/ 9, fail:	2756.34	3386.23	5839.84
Length  152/19, alignment 15/15, found:	2076	2895.5	5300.3
Length  152/19, alignment 15/15, fail:	2516.28	3380.53	5805.67
Length  171/19, alignment  0/ 0, found:	2220.86	3055.81	6544.59
Length  171/19, alignment  0/ 0, fail:	2727.88	3599.45	6620.28
Length  171/19, alignment  0/ 3, found:	2219.25	3077.8	6041.66
Length  171/19, alignment  0/ 3, fail:	2707.53	3593.75	6610.52
Length  171/19, alignment  0/ 9, found:	2220.06	3076.17	6035.16
Length  171/19, alignment  0/ 9, fail:	2709.16	3596.19	6616.22
Length  171/19, alignment  0/15, found:	2219.23	3076.98	6030.28
Length  171/19, alignment  0/15, fail:	2720.55	3594.56	6612.95
Length  171/19, alignment  3/ 0, found:	2220.06	3076.98	6040.84
Length  171/19, alignment  3/ 0, fail:	2723.8	3821.61	6633.31
Length  171/19, alignment  3/ 3, found:	2219.23	3076.17	6037.61
Length  171/19, alignment  3/ 3, fail:	2711.58	3597.83	6624.34
Length  171/19, alignment  3/ 9, found:	2223.31	3050.12	6560.88
Length  171/19, alignment  3/ 9, fail:	2733.56	3596.19	6630.03
Length  171/19, alignment  3/15, found:	2234.7	3081.88	6029.47
Length  171/19, alignment  3/15, fail:	2722.98	3595.38	6614.59
Length  171/19, alignment  9/ 0, found:	2235.52	3077.8	6044.92
Length  171/19, alignment  9/ 0, fail:	2530.92	3418.78	6633.3
Length  171/19, alignment  9/ 3, found:	2220.06	3051.77	6041.67
Length  171/19, alignment  9/ 3, fail:	2531.73	3412.27	6608.89
Length  171/19, alignment  9/ 9, found:	2217.61	3055.83	6031.09
Length  171/19, alignment  9/ 9, fail:	2533.36	3661.3	6614.59
Length  171/19, alignment  9/15, found:	2234.7	3051.77	6025.39
Length  171/19, alignment  9/15, fail:	2527.67	3419.59	6619.47
Length  171/19, alignment 15/ 0, found:	2218.42	3050.94	6551.92
Length  171/19, alignment 15/ 0, fail:	2701.81	3578.3	6611.33
Length  171/19, alignment 15/ 3, found:	2219.23	3050.12	6040.86
Length  171/19, alignment 15/ 3, fail:	2695.31	3596.19	6632.48
Length  171/19, alignment 15/ 9, found:	2219.23	3053.39	6045.73
Length  171/19, alignment 15/ 9, fail:	2718.09	3597	6621.09
Length  171/19, alignment 15/15, found:	2220.86	3050.95	6010.75
Length  171/19, alignment 15/15, fail:	2722.17	3593.75	6564.95
Length  190/19, alignment  0/ 0, found:	2377.94	3236.5	6757.81
Length  190/19, alignment  0/ 0, fail:	2910.16	4021.8	7399.09
Length  190/19, alignment  0/ 3, found:	2382.81	3343.09	6750.48
Length  190/19, alignment  0/ 3, fail:	2915.84	3789.88	7403.97
Length  190/19, alignment  0/ 9, found:	2785.64	3221.84	6756.17
Length  190/19, alignment  0/ 9, fail:	2912.59	3791.5	7399.91
Length  190/19, alignment  0/15, found:	2394.22	3208.83	6741.55
Length  190/19, alignment  0/15, fail:	2911.78	3785.81	7394.2
Length  190/19, alignment  3/ 0, found:	2377.11	3243	6751.3
Length  190/19, alignment  3/ 0, fail:	2912.59	3788.25	7403.98
Length  190/19, alignment  3/ 3, found:	2393.39	3234.86	6743.97
Length  190/19, alignment  3/ 3, fail:	2910.16	3781.75	7395.83
Length  190/19, alignment  3/ 9, found:	2393.39	3480.62	6759.44
Length  190/19, alignment  3/ 9, fail:	2910.16	3787.44	7407.22
Length  190/19, alignment  3/15, found:	2393.39	3236.5	6738.28
Length  190/19, alignment  3/15, fail:	3334.95	3783.36	7386.08
Length  190/19, alignment  9/ 0, found:	2396.64	3234.05	6755.38
Length  190/19, alignment  9/ 0, fail:	2718.92	3601.89	7393.39
Length  190/19, alignment  9/ 3, found:	2393.39	3208.83	6745.59
Length  190/19, alignment  9/ 3, fail:	2715.66	3601.08	7401.53
Length  190/19, alignment  9/ 9, found:	2394.2	3208.83	6739.91
Length  190/19, alignment  9/ 9, fail:	2713.22	3614.09	7399.09
Length  190/19, alignment  9/15, found:	2377.94	3241.38	6739.91
Length  190/19, alignment  9/15, fail:	2715.66	3882.64	7395.84
Length  190/19, alignment 15/ 0, found:	2379.56	3241.38	6756.19
Length  190/19, alignment 15/ 0, fail:	2913.41	3793.14	7429.2
Length  190/19, alignment 15/ 3, found:	2880.05	3243.81	6722
Length  190/19, alignment 15/ 3, fail:	2911.78	3786.61	7421.88
Length  190/19, alignment 15/ 9, found:	2377.94	3236.48	6745.61
Length  190/19, alignment 15/ 9, fail:	2908.52	3788.25	7382
Length  190/19, alignment 15/15, found:	2377.92	3236.5	6717.94
Length  190/19, alignment 15/15, fail:	2915.86	3793.14	7354.33
Length  209/19, alignment  0/ 0, found:	2550.47	3392.73	7470.7
Length  209/19, alignment  0/ 0, fail:	3125	3977.86	8230.8
Length  209/19, alignment  0/ 3, found:	2552.08	3396	7460.12
Length  209/19, alignment  0/ 3, fail:	3102.22	3983.56	8205.56
Length  209/19, alignment  0/ 9, found:	2537.44	3396.81	7907.72
Length  209/19, alignment  0/ 9, fail:	3102.22	3981.12	8207.2
Length  209/19, alignment  0/15, found:	2537.44	3387.86	7450.34
Length  209/19, alignment  0/15, fail:	3111.17	3977.88	8192.55
Length  209/19, alignment  3/ 0, found:	2537.42	3395.17	7462.56
Length  209/19, alignment  3/ 0, fail:	3096.52	3979.5	8206.39
Length  209/19, alignment  3/ 3, found:	2552.08	3400.06	7457.67
Length  209/19, alignment  3/ 3, fail:	3095.7	3977.88	8215.33
Length  209/19, alignment  3/ 9, found:	2536.61	3397.62	7446.28
Length  209/19, alignment  3/ 9, fail:	3102.22	3978.67	8190.11
Length  209/19, alignment  3/15, found:	2536.62	3393.56	7962.25
Length  209/19, alignment  3/15, fail:	3095.7	3981.11	8180.34
Length  209/19, alignment  9/ 0, found:	2548.83	3394.38	7462.56
Length  209/19, alignment  9/ 0, fail:	2881.67	3789.06	8232.42
Length  209/19, alignment  9/ 3, found:	2552.89	3396.81	7440.59
Length  209/19, alignment  9/ 3, fail:	2884.11	3805.33	8173.83
Length  209/19, alignment  9/ 9, found:	2552.09	3391.92	7457.69
Length  209/19, alignment  9/ 9, fail:	2880.05	3786.62	8183.59
Length  209/19, alignment  9/15, found:	2537.44	3392.73	7731.95
Length  209/19, alignment  9/15, fail:	2884.11	3824.88	8202.31
Length  209/19, alignment 15/ 0, found:	2536.62	3392.73	7456.06
Length  209/19, alignment 15/ 0, fail:	3579.11	3976.23	8187.67
Length  209/19, alignment 15/ 3, found:	2537.44	3367.52	7448.72
Length  209/19, alignment 15/ 3, fail:	3094.89	3979.5	8209.64
Length  209/19, alignment 15/ 9, found:	2536.62	3366.7	7453.62
Length  209/19, alignment 15/ 9, fail:	3095.7	3977.86	8167.33
Length  209/19, alignment 15/15, found:	2551.28	3396	7425.95
Length  209/19, alignment 15/15, fail:	3094.89	3976.23	8158.38
Length  228/19, alignment  0/ 0, found:	2693.69	3552.25	8173.83
Length  228/19, alignment  0/ 0, fail:	3478.19	4361.98	9021.8
Length  228/19, alignment  0/ 3, found:	2698.58	3553.88	8677.56
Length  228/19, alignment  0/ 3, fail:	3469.25	4355.47	9014.48
Length  228/19, alignment  0/ 9, found:	2698.58	3525.39	8173.02
Length  228/19, alignment  0/ 9, fail:	3448.89	4350.59	9079.59
Length  228/19, alignment  0/15, found:	2696.12	3527.02	8156.73
Length  228/19, alignment  0/15, fail:	3459.47	4350.58	9092.62
Length  228/19, alignment  3/ 0, found:	2693.67	3524.58	8162.44
Length  228/19, alignment  3/ 0, fail:	3461.11	4338.39	9012.05
Length  228/19, alignment  3/ 3, found:	2695.31	3792.33	8156.73
Length  228/19, alignment  3/ 3, fail:	3452.14	4342.45	9011.23
Length  228/19, alignment  3/ 9, found:	2696.94	4069.83	8156.73
Length  228/19, alignment  3/ 9, fail:	3434.25	4357.91	9006.34
Length  228/19, alignment  3/15, found:	2694.5	3559.56	8146.98
Length  228/19, alignment  3/15, fail:	3461.09	4349.77	9051.92
Length  228/19, alignment  9/ 0, found:	2695.31	3555.5	8167.31
Length  228/19, alignment  9/ 0, fail:	3218.58	4128.41	9018.56
Length  228/19, alignment  9/ 3, found:	2695.31	3528.64	8148.61
Length  228/19, alignment  9/ 3, fail:	3221.84	4129.23	9257.81
Length  228/19, alignment  9/ 9, found:	2711.58	3526.22	8154.3
Length  228/19, alignment  9/ 9, fail:	3221.03	4120.28	9554.86
Length  228/19, alignment  9/15, found:	2709.95	3533.53	8151.03
Length  228/19, alignment  9/15, fail:	3204.77	4121.09	9061.69
Length  228/19, alignment 15/ 0, found:	2694.5	3527.83	8161.62
Length  228/19, alignment 15/ 0, fail:	3459.47	4339.19	9058.42
Length  228/19, alignment 15/ 3, found:	2694.5	3528.66	8166.5
Length  228/19, alignment 15/ 3, fail:	3460.28	4337.56	9051.11
Length  228/19, alignment 15/ 9, found:	2693.67	3527.83	8169.75
Length  228/19, alignment 15/ 9, fail:	3457.84	4614.27	9055.17
Length  228/19, alignment 15/15, found:	2694.5	3528.64	8131.52
Length  228/19, alignment 15/15, fail:	3942.06	4338.38	9003.91
Length  247/19, alignment  0/ 0, found:	2851.56	3687.34	8879.41
Length  247/19, alignment  0/ 0, fail:	3685.7	4565.44	9815.27
Length  247/19, alignment  0/ 3, found:	2875.16	3685.7	8871.27
Length  247/19, alignment  0/ 3, fail:	3691.41	4570.31	9798.98
Length  247/19, alignment  0/ 9, found:	2852.38	3717.44	8872.89
Length  247/19, alignment  0/ 9, fail:	3678.39	4575.19	9825.84
Length  247/19, alignment  0/15, found:	2854	4034.02	8860.67
Length  247/19, alignment  0/15, fail:	3686.52	4576.02	10285.6
Length  247/19, alignment  3/ 0, found:	2871.91	3693.03	8875.33
Length  247/19, alignment  3/ 0, fail:	3696.28	4577.64	9809.58
Length  247/19, alignment  3/ 3, found:	2867.02	3689.78	8869.62
Length  247/19, alignment  3/ 3, fail:	3684.89	4567.88	9801.42
Length  247/19, alignment  3/ 9, found:	2851.56	3684.89	8868
Length  247/19, alignment  3/ 9, fail:	3679.2	4568.69	9794.11
Length  247/19, alignment  3/15, found:	2859.7	3685.7	8855.8
Length  247/19, alignment  3/15, fail:	3939.61	4586.59	9853.52
