                        	bzero	builtin_bzero	simple_bzero
Length   96, alignment  0, c  0:	88.7031	69.9844	205.078
Length   96, alignment 32, c  0:	88.7188	69.9844	204.266
Length  128, alignment  0, c  0:	98.4688	75.6719	258.781
Length  128, alignment  0, c  0:	97.6562	74.8594	257.984
Length  160, alignment  0, c  0:	109.875	93.5781	310.875
Length  160, alignment 32, c  0:	108.234	93.5938	320.625
Length  192, alignment  0, c  0:	120.453	99.2812	364.578
Length  192, alignment  0, c  0:	118.812	101.719	365.406
Length  224, alignment  0, c  0:	129.391	115.562	418.281
Length  224, alignment 32, c  0:	129.391	105.797	426.422
Length  256, alignment  0, c  0:	138.344	112.312	471.188
Length  256, alignment  0, c  0:	139.156	113.938	470.375
Length  288, alignment  0, c  0:	156.25	120.453	524.094
Length  288, alignment 32, c  0:	157.062	119.625	524.891
Length  320, alignment  0, c  0:	168.453	142.406	681.141
Length  320, alignment  0, c  0:	171.703	126.953	593.266
Length  352, alignment  0, c  0:	179.844	136.719	642.094
Length  352, alignment 32, c  0:	179.047	134.281	638.828
Length  384, alignment  0, c  0:	189.625	139.969	695.797
Length  384, alignment  0, c  0:	188.797	140.781	693.359
Length  416, alignment  0, c  0:	198.562	147.297	746.25
Length  416, alignment 32, c  0:	198.562	146.484	747.891
Length  448, alignment  0, c  0:	208.328	154.625	800.781
Length  448, alignment  0, c  0:	208.344	153	800.781
Length  480, alignment  0, c  0:	218.922	159.5	843.922
Length  480, alignment 32, c  0:	218.094	166.828	844.719
Length   14, alignment  1, c  0:	74.875	65.9219	67.5469
Length 1024, alignment  3, c  0:	498.047	277.5	1751.3
Length   64, alignment  4, c  0:	88.7031	69.9844	151.359
Length   25, alignment  2, c  0:	76.5	61.8438	87.0781
Length 1056, alignment  0, c  0:	398.766	279.938	1813.97
Length 1056, alignment 33, c  0:	522.453	285.641	1814.78
Length 1184, alignment  0, c  0:	437.812	306.797	2026.38
Length 1184, alignment 37, c  0:	458.984	312.5	2025.55
Length 1312, alignment  0, c  0:	487.469	332.844	2240.39
Length 1312, alignment 41, c  0:	627.438	338.547	2239.58
Length 1440, alignment  0, c  0:	518.391	359.703	2460.94
Length 1440, alignment 45, c  0:	530.609	373.531	2454.42
Length 1568, alignment  0, c  0:	566.406	386.547	2665.2
Length 1568, alignment 49, c  0:	734.062	391.438	2666.83
Length 1696, alignment  0, c  0:	607.094	412.594	2888.19
Length 1696, alignment 53, c  0:	610.359	418.297	2880.05
Length 1824, alignment  0, c  0:	646.156	439.453	3100.59
Length 1824, alignment 57, c  0:	848.797	445.156	3101.39
Length 1952, alignment  0, c  0:	678.703	475.25	3307.28
Length 1952, alignment 61, c  0:	690.109	479.328	3308.11
Length 2080, alignment  0, c  0:	718.594	493.172	3520.5
Length 2080, alignment  1, c  0:	948.078	506.188	3527.02
Length 2208, alignment  0, c  0:	758.469	528.156	3738.61
Length 2208, alignment  5, c  0:	769.844	526.531	3739.42
Length 2336, alignment  0, c  0:	806.469	546.875	3953.44
Length 2336, alignment  9, c  0:	1053.88	560.703	3955.08
Length 2464, alignment  0, c  0:	839.031	575.359	4166.66
Length 2464, alignment 13, c  0:	850.422	578.625	4166.66
Length 2592, alignment  0, c  0:	878.906	600.594	4569.5
Length 2592, alignment 17, c  0:	1161.3	604.656	4380.69
Length 2720, alignment  0, c  0:	917.969	636.406	4591.47
Length 2720, alignment 21, c  0:	938.312	629.891	4591.48
Length 2848, alignment  0, c  0:	967.609	653.484	4813.64
Length 2848, alignment 25, c  0:	1275.23	659.188	4807.12
Length 2976, alignment  0, c  0:	1008.31	680.344	5026.84
Length 2976, alignment 29, c  0:	1018.06	685.219	5018.72
Length 3104, alignment  0, c  0:	1048.98	713.703	5233.56
Length 3104, alignment 33, c  0:	1374.52	712.891	5253.91
Length 3232, alignment  0, c  0:	1086.42	733.234	5447.59
Length 3232, alignment 37, c  0:	1091.31	747.062	5455.72
Length 3360, alignment  0, c  0:	1127.11	760.906	5659.17
Length 3360, alignment 41, c  0:	1489.27	765.781	5667.31
Length 3488, alignment  0, c  0:	1168.61	796.719	5878.91
Length 3488, alignment 45, c  0:	1180	791.828	5878.91
Length 3616, alignment  0, c  0:	1207.69	814.609	6096.19
Length 3616, alignment 49, c  0:	1595.05	819.484	6101.08
Length 3744, alignment  0, c  0:	1246.73	839.844	6499.84
Length 3744, alignment 53, c  0:	1260.58	844.719	6318.36
Length 3872, alignment  0, c  0:	1285.81	868.328	6520.19
Length 3872, alignment 57, c  0:	1702.48	880.531	6522.62
Length 4000, alignment  0, c  0:	1319.17	893.547	6754.55
Length 4000, alignment 61, c  0:	1338.7	899.25	6733.41
Length 4128, alignment  0, c  0:	1367.19	927.734	6948.25
