                       	strncmp	simple_strncmp	stupid_strncmp
Length    8/   3, alignment  3/ 3:	69.1875	54.5312	112.312
Length    8/   3, alignment  3/ 6:	68.3594	60.2188	141.609
Length    8/   3, alignment  6/ 3:	69.9844	53.7031	115.562
Length    8/   3, alignment  3/ 1:	70.8125	55.3281	113.125
Length    8/   3, alignment  0/ 0:	68.3594	58.5938	114.75
Length    8/   3, alignment  0/ 0:	71.6094	55.3438	113.938
Length    8/   3, alignment  0/ 0:	70.7969	54.5156	113.125
Length    8/   3, alignment  3/ 3:	67.5469	59.4062	104.984
Length    8/   3, alignment  3/ 3:	69.9844	55.3438	104.984
Length    8/   3, alignment  3/ 3:	69.1719	54.5156	103.359
Length    8/   3, alignment  3/ 6:	66.7344	59.4062	117.188
Length    8/   3, alignment  6/ 3:	69.9844	55.3281	119.625
Length    8/   3, alignment  3/ 1:	70.7969	55.3438	113.922
Length    8/   4, alignment  0/ 0:	77.3125	69.1719	120.438
Length    8/   4, alignment  0/ 0:	66.7188	59.4062	118
Length    8/   4, alignment  0/ 0:	68.3594	58.5938	118.812
Length    8/   4, alignment  4/ 4:	76.5	69.9844	118.812
Length    8/   4, alignment  4/ 4:	67.5469	59.4062	118.812
Length    8/   4, alignment  4/ 4:	67.5469	59.4062	118
Length    8/   4, alignment  4/ 0:	76.5	69.1719	119.625
Length    8/   4, alignment  8/ 4:	66.7344	60.2188	117.188
Length    8/   4, alignment  4/ 4:	67.5469	59.4062	118
Length    8/   4, alignment  0/ 0:	77.2969	69.1719	118.812
Length    8/   4, alignment  0/ 0:	68.3594	58.5938	118.812
Length    8/   4, alignment  0/ 0:	67.5312	58.5938	118
Length    8/   4, alignment  4/ 4:	76.4844	69.1719	119.625
Length    8/   4, alignment  4/ 4:	68.3594	59.4062	118
Length    8/   4, alignment  4/ 4:	67.5312	59.4062	119.625
Length    8/   4, alignment  4/ 0:	78.125	70.7969	118.812
Length    8/   4, alignment  8/ 4:	67.5469	58.5938	119.625
Length    8/   4, alignment  4/ 4:	67.5469	58.5938	118.016
Length    8/   5, alignment  0/ 0:	82.2031	77.2969	141.594
Length    8/   5, alignment  0/ 0:	83.0156	72.4219	138.344
Length    8/   5, alignment  0/ 0:	82.2031	72.4219	137.547
Length    8/   5, alignment  5/ 5:	82.1875	75.6875	163.578
Length    8/   5, alignment  5/ 5:	83	72.4375	152.188
Length    8/   5, alignment  5/ 5:	81.375	72.4375	149.734
Length    8/   5, alignment  5/ 2:	83.0156	75.6875	140.781
Length    8/   5, alignment 10/ 5:	82.1875	72.4219	138.344
Length    8/   5, alignment  5/ 7:	82.1875	72.4219	132.656
Length    8/   5, alignment  0/ 0:	83	77.3125	139.156
Length    8/   5, alignment  0/ 0:	82.2031	71.625	136.719
Length    8/   5, alignment  0/ 0:	82.1875	72.4219	136.719
Length    8/   5, alignment  5/ 5:	82.1875	76.5	143.234
Length    8/   5, alignment  5/ 5:	82.1875	72.4219	144.047
Length    8/   5, alignment  5/ 5:	81.3906	73.25	143.234
Length    8/   5, alignment  5/ 2:	83	76.5	139.156
Length    8/   5, alignment 10/ 5:	82.2031	72.4375	144.859
Length    8/   5, alignment  5/ 7:	82.1875	73.2344	131.844
Length    8/   6, alignment  0/ 0:	89.5156	83.0156	143.219
Length    8/   6, alignment  0/ 0:	90.3281	76.4844	142.406
Length    8/   6, alignment  0/ 0:	90.3281	77.3125	142.406
Length    8/   6, alignment  6/ 6:	88.7031	82.1875	137.531
Length    8/   6, alignment  6/ 6:	90.3281	77.3125	136.719
Length    8/   6, alignment  6/ 6:	90.3281	76.5	136.719
Length    8/   6, alignment  6/ 4:	87.8906	82.2031	140.781
Length    8/   6, alignment 12/ 6:	90.3281	78.9375	149.75
Length    8/   6, alignment  6/ 2:	89.5312	77.3125	137.531
Length    8/   6, alignment  0/ 0:	88.7031	81.3906	144.047
Length    8/   6, alignment  0/ 0:	91.1406	78.125	143.234
Length    8/   6, alignment  0/ 0:	89.5156	76.4844	141.609
Length    8/   6, alignment  6/ 6:	88.7031	80.5625	137.531
Length    8/   6, alignment  6/ 6:	90.3281	78.125	137.531
Length    8/   6, alignment  6/ 6:	90.3281	77.3125	136.719
Length    8/   6, alignment  6/ 4:	87.8906	81.375	139.969
Length    8/   6, alignment 12/ 6:	90.3281	77.3125	147.297
Length    8/   6, alignment  6/ 2:	90.3281	77.3125	136.719
Length    8/   7, alignment  0/ 0:	93.5781	86.2656	148.109
Length    8/   7, alignment  0/ 0:	96.0312	82.1875	145.672
Length    8/   7, alignment  0/ 0:	95.2188	82.1875	145.672
Length    8/   7, alignment  7/ 7:	94.4062	86.2656	162.766
Length    8/   7, alignment  7/ 7:	96.0312	81.375	154.625
Length    8/   7, alignment  7/ 7:	96.0156	83.0156	162.766
Length    8/   7, alignment  7/ 6:	94.4062	87.8906	166.828
Length    8/   7, alignment 14/ 7:	95.2188	82.2031	182.297
Length    8/   7, alignment  7/ 5:	96.0312	83.0156	156.25
Length    8/   7, alignment  0/ 0:	92.7812	87.0781	158.688
Length    8/   7, alignment  0/ 0:	95.2188	82.2031	157.875
Length    8/   7, alignment  0/ 0:	95.2031	82.1875	158.688
Length    8/   7, alignment  7/ 7:	92.7656	87.0781	162.75
Length    8/   7, alignment  7/ 7:	95.2031	83	175.781
Length    8/   7, alignment  7/ 7:	95.2031	82.1875	178.234
Length    8/   7, alignment  7/ 6:	92.7812	87.8906	166.016
Length    8/   7, alignment 14/ 7:	96.8438	83.8281	181.484
Length    8/   7, alignment  7/ 5:	96.0312	83.0156	166.828
Length    8/   8, alignment  0/ 0:	108.234	91.9531	150.547
Length    8/   8, alignment  0/ 0:	91.9531	87.0781	149.734
Length    8/   8, alignment  0/ 0:	91.9531	87.8906	150.562
Length    8/   8, alignment  8/ 0:	109.859	91.1406	151.375
Length    8/   8, alignment  8/ 0:	91.9688	87.8906	149.734
Length    8/   8, alignment  8/ 0:	90.3281	87.0625	149.734
Length    8/   8, alignment  8/ 0:	101.719	92.7656	151.359
Length    8/   8, alignment 16/ 0:	91.1562	87.0781	151.359
Length    8/   8, alignment  8/ 0:	91.9531	87.8906	149.75
Length    8/   8, alignment  0/ 0:	100.906	91.1406	163.578
Length    8/   8, alignment  0/ 0:	91.9531	87.8906	163.578
Length    8/   8, alignment  0/ 0:	91.9688	88.7031	161.938
Length    8/   8, alignment  8/ 0:	101.734	91.9531	162.766
Length    8/   8, alignment  8/ 0:	91.9531	87.0781	161.953
Length    8/   8, alignment  8/ 0:	92.7812	87.0781	161.953
Length    8/   8, alignment  8/ 0:	100.906	91.9688	162.766
Length    8/   8, alignment 16/ 0:	91.9531	87.0781	163.578
Length    8/   8, alignment  8/ 0:	91.9688	87.8906	161.938
Length    8/   9, alignment  0/ 0:	106.609	96.0156	168.453
Length    8/   9, alignment  0/ 0:	105.797	92.7656	183.922
Length    8/   9, alignment  0/ 0:	104.984	91.9688	168.469
Length    8/   9, alignment  9/ 1:	104.984	96.0156	183.906
Length    8/   9, alignment  9/ 1:	105.797	91.9531	184.734
Length    8/   9, alignment  9/ 1:	105.781	91.9531	196.938
Length    8/   9, alignment  9/ 2:	105.781	95.2188	197.75
Length    8/   9, alignment 18/ 1:	105.781	91.9531	176.594
Length    8/   9, alignment  9/ 3:	106.609	92.7656	169.281
Length    8/   9, alignment  0/ 0:	105.797	95.2031	181.484
Length    8/   9, alignment  0/ 0:	105.797	91.9688	196.125
Length    8/   9, alignment  0/ 0:	106.609	92.7812	196.125
Length    8/   9, alignment  9/ 1:	105.781	95.2031	200.203
Length    8/   9, alignment  9/ 1:	105.797	93.5781	398.766
Length    8/   9, alignment  9/ 1:	105.781	93.5781	231.922
Length    8/   9, alignment  9/ 2:	105.781	96.8438	195.312
Length    8/   9, alignment 18/ 1:	105.797	92.7812	190.438
Length    8/   9, alignment  9/ 3:	104.969	93.5781	186.359
Length    8/  10, alignment  0/ 0:	105.797	93.5781	171.719
Length    8/  10, alignment  0/ 0:	106.609	92.7812	179.031
Length    8/  10, alignment  0/ 0:	105.797	93.5938	168.453
Length    8/  10, alignment 10/ 2:	106.609	94.3906	177.406
Length    8/  10, alignment 10/ 2:	105.797	91.9688	179.859
Length    8/  10, alignment 10/ 2:	105.797	92.7656	179.844
Length    8/  10, alignment 10/ 4:	106.609	94.4062	174.156
Length    8/  10, alignment 20/ 2:	104.984	92.7812	194.5
Length    8/  10, alignment 10/ 6:	104.984	93.5938	179.859
